Date,Open,High,Low,Close,Adj Close,Volume
2017-11-13,143.100006,143.449997,141.199997,141.399994,141.399994,39931
2017-11-14,141.649994,143.350006,141.300003,141.899994,141.899994,26940
2017-11-15,141.199997,141.5,140.5,141.300003,141.300003,17623
2017-11-16,141.850006,143.350006,141.5,143.100006,143.100006,21189
2017-11-17,143.199997,143.800003,142.25,142.649994,142.649994,17144
2017-11-20,142.0,143.449997,141.550003,143.149994,143.149994,22623
2017-11-21,143.0,144.899994,142.699997,144.800003,144.800003,30181
2017-11-22,145.050003,151.899994,145.050003,148.399994,148.399994,93777
2017-11-23,147.600006,149.399994,147.600006,149.399994,149.399994,34121
2017-11-24,149.0,149.699997,147.899994,148.149994,148.149994,23224
