Date,Open,High,Low,Close,Adj Close,Volume
2017-11-14,,,,,,
2017-11-15,97.0,97.0,97.0,97.0,97.0,126.0
2017-11-16,97.0,97.010002,97.0,97.010002,97.010002,60.0
2017-11-17,98.0,98.0,97.010002,97.010002,97.010002,87.0
2017-11-20,98.480003,98.480003,96.110001,96.110001,96.110001,71.0
2017-11-21,98.489998,98.489998,98.489998,98.489998,98.489998,4.0
2017-11-22,98.489998,98.489998,96.110001,96.110001,96.110001,91.0
2017-11-23,96.099998,96.160004,96.099998,96.160004,96.160004,326.0
2017-11-24,96.989998,97.0,96.989998,97.0,97.0,29.0
2017-11-23,,,,,,
2017-11-24,96.989998,97.0,96.989998,97.0,97.0,29.0
2017-11-27,96.160004,96.160004,96.160004,96.160004,96.160004,67.0
2017-11-28,98.389999,98.389999,97.0,97.0,97.0,52.0
2017-11-29,96.239998,96.239998,96.239998,96.239998,96.239998,55.0
2017-11-30,96.0,96.0,96.0,96.0,96.0,150.0
