Date,Open,High,Low,Close,Adj Close,Volume
2017-11-14,,,,,,
2017-11-15,26.105,26.355,25.9,26.355,26.355,3695.0
2017-11-16,26.135,26.485001,25.700001,25.75,25.75,2650.0
2017-11-17,25.950001,25.950001,25.700001,25.700001,25.700001,668.0
2017-11-20,25.9,25.9,25.9,25.9,25.9,350.0
2017-11-21,25.9,25.9,25.51,25.875,25.875,1566.0
2017-11-22,25.870001,25.875,25.51,25.51,25.51,1390.0
2017-11-23,25.504999,25.785,25.504999,25.559999,25.559999,906.0
2017-11-24,25.870001,25.875,25.58,25.58,25.58,3418.0
2017-11-23,,,,,,
2017-11-24,25.870001000000002,25.875,25.58,25.58,25.58,3418.0
2017-11-27,25.790001,25.799999,25.559998999999998,25.799999,25.799999,1860.0
2017-11-28,25.799999,25.875,25.65,25.875,25.875,1661.0
2017-11-29,25.879998999999998,26.5,25.879998999999998,26.495001000000002,26.495001000000002,4524.0
2017-11-30,26.495001000000002,26.5,26.02,26.105,26.105,4377.0
