Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,37.299999,37.5,37.299999,37.299999,16.664038,0.0
2000-01-05,37.299999,37.299999,37.299999,37.299999,16.664038,251.0
2000-01-06,37.299999,37.299999,37.299999,37.299999,16.664038,31.0
2000-01-07,37.299999,37.299999,37.299999,37.299999,16.664038,50.0
2000-01-10,37.200001,37.5,37.200001,37.5,16.753386,784.0
2000-01-11,37.5,37.5,37.5,37.5,16.753386,0.0
2000-01-12,37.5,37.5,37.5,37.5,16.753386,330.0
2000-01-13,37.099998,37.099998,37.099998,37.099998,16.574688000000002,251.0
2000-01-14,37.099998,37.099998,37.099998,37.099998,16.574688000000002,0.0
2000-01-17,37.099998,37.299999,37.099998,37.299999,16.664038,203.0
2000-01-18,37.0,37.0,37.0,37.0,16.530014,193.0
2000-01-19,37.0,37.0,37.0,37.0,16.530014,310.0
2000-01-20,36.5,36.5,36.5,36.5,16.306632999999998,65.0
2000-01-21,36.5,36.5,36.5,36.5,16.306632999999998,50.0
2000-01-24,37.0,37.0,36.5,36.5,16.306632999999998,601.0
2000-01-25,35.75,35.75,35.75,35.75,15.971565,251.0
2000-01-26,35.75,35.75,35.75,35.75,15.971565,101.0
2000-01-27,35.75,35.75,35.75,35.75,15.971565,743.0
2000-01-28,32.200001,32.200001,32.200001,32.200001,14.38558,0.0
2000-01-31,32.200001,32.200001,31.0,31.0,13.849467,372.0
2000-02-01,31.0,31.0,31.0,31.0,13.849467,251.0
2000-02-02,31.25,31.25,31.25,31.25,13.961160999999999,301.0
2000-02-03,32.0,33.299999,32.0,32.0,14.296225,0.0
2000-02-04,33.0,33.0,33.0,33.0,14.742985000000001,0.0
2000-02-07,33.0,33.0,33.0,33.0,14.742985000000001,125.0
2000-02-08,32.299999,32.299999,32.0,32.0,14.296225,470.0
2000-02-09,31.5,31.5,31.5,31.5,14.072848,303.0
2000-02-10,31.0,31.0,31.0,31.0,13.849467,421.0
2000-02-11,30.959999,30.959999,30.959999,30.959999,13.831597,536.0
2000-02-14,29.0,29.0,29.0,29.0,12.955956,763.0
2000-02-15,29.75,29.75,29.75,29.75,13.291022,219.0
2000-02-16,29.75,29.75,29.75,29.75,13.291022,525.0
2000-02-17,30.25,30.25,30.25,30.25,13.514401999999999,200.0
2000-02-18,31.799999,31.799999,31.799999,31.799999,14.206874,435.0
2000-02-21,32.0,32.0,32.0,32.0,14.296225,166.0
2000-02-22,33.0,33.0,33.0,33.0,14.742985000000001,100.0
2000-02-23,30.25,30.25,30.25,30.25,13.514401999999999,472.0
2000-02-24,31.0,31.0,31.0,31.0,13.849467,240.0
2000-02-25,30.25,30.25,30.25,30.25,13.514401999999999,89.0
2000-02-28,30.25,30.25,30.25,30.25,13.514401999999999,74.0
2000-02-29,29.9,29.9,29.5,29.5,13.179331,1187.0
2000-03-01,30.1,30.1,30.1,30.1,13.447386999999999,165.0
2000-03-02,32.0,32.0,32.0,32.0,14.296225,12.0
2000-03-03,30.1,30.1,30.1,30.1,13.447386999999999,600.0
2000-03-06,32.0,32.0,32.0,32.0,14.296225,0.0
2000-03-07,32.0,32.0,32.0,32.0,14.296225,249.0
2000-03-08,30.0,30.0,30.0,30.0,13.402712,2002.0
2000-03-09,30.0,30.0,30.0,30.0,13.402712,900.0
2000-03-10,30.0,30.0,29.52,29.52,13.188267999999999,1674.0
2000-03-13,29.52,29.52,29.52,29.52,13.188267999999999,0.0
2000-03-14,31.0,31.0,31.0,31.0,13.849467,700.0
2000-03-15,31.0,31.0,30.1,30.1,13.447386999999999,126.0
2000-03-16,30.1,31.0,30.1,30.1,13.447386999999999,0.0
2000-03-17,30.1,31.0,30.1,30.1,13.447386999999999,0.0
2000-03-20,30.1,30.1,30.1,30.1,13.447386999999999,151.0
2000-03-21,30.15,30.15,30.15,30.15,13.469724,10.0
2000-03-22,31.0,31.0,31.0,31.0,13.849467,120.0
2000-03-23,30.6,30.6,30.6,30.6,13.670767000000001,101.0
2000-03-24,31.0,31.0,30.15,30.15,13.469724,350.0
2000-03-27,30.5,30.5,30.5,30.5,13.626095000000001,135.0
2000-03-28,30.5,30.5,30.5,30.5,13.626095000000001,80.0
2000-03-29,30.6,30.6,30.6,30.6,13.670767000000001,86.0
2000-03-30,30.15,30.15,30.15,30.15,13.469724,160.0
2000-03-31,30.200001,30.200001,30.200001,30.200001,13.492064000000001,80.0
2000-04-03,31.0,31.0,31.0,31.0,13.849467,359.0
2000-04-04,31.200001,32.0,31.200001,31.200001,13.938819,0.0
2000-04-05,32.0,32.0,32.0,32.0,14.296225,160.0
2000-04-06,32.0,32.0,32.0,32.0,14.296225,569.0
2000-04-07,32.0,32.0,32.0,32.0,14.296225,0.0
2000-04-10,32.0,32.0,32.0,32.0,14.296225,200.0
2000-04-11,32.0,32.0,32.0,32.0,14.296225,80.0
2000-04-12,31.0,32.0,31.0,31.0,13.849467,0.0
2000-04-13,31.0,32.0,31.0,31.0,13.849467,0.0
2000-04-14,32.0,32.0,32.0,32.0,14.296225,200.0
2000-04-17,32.0,32.0,32.0,32.0,14.296225,250.0
2000-04-18,32.0,32.0,32.0,32.0,14.296225,250.0
2000-04-19,31.0,31.0,31.0,31.0,13.849467,101.0
2000-04-20,31.0,31.0,31.0,31.0,13.849467,42.0
2000-04-21,31.0,31.0,31.0,31.0,13.849467,0.0
2000-04-24,31.0,31.0,31.0,31.0,13.849467,0.0
2000-04-25,31.0,31.0,31.0,31.0,13.849467,250.0
2000-04-26,30.450001,30.450001,30.450001,30.450001,13.603751,302.0
2000-04-27,30.450001,32.0,30.450001,30.450001,13.603751,0.0
2000-04-28,30.450001,30.450001,30.450001,30.450001,13.603751,101.0
2000-05-01,30.450001,30.450001,30.450001,30.450001,13.603751,0.0
2000-05-02,31.950001,31.950001,31.950001,31.950001,14.273887,150.0
2000-05-03,31.0,32.299999,31.0,31.0,13.849467,0.0
2000-05-04,32.0,32.0,32.0,32.0,14.296225,100.0
2000-05-05,32.0,32.0,31.0,31.0,13.849467,60.0
2000-05-08,31.0,32.0,31.0,32.0,14.296225,525.0
2000-05-09,32.0,32.0,32.0,32.0,14.296225,0.0
2000-05-10,31.0,31.0,31.0,31.0,13.849467,71.0
2000-05-11,31.0,31.0,31.0,31.0,13.849467,24.0
2000-05-12,31.0,32.0,31.0,31.0,13.849467,0.0
2000-05-15,31.0,31.0,31.0,31.0,13.849467,211.0
2000-05-16,32.0,32.0,31.0,31.0,13.849467,771.0
2000-05-17,32.0,32.0,32.0,32.0,14.296225,355.0
2000-05-18,31.0,31.0,31.0,31.0,13.849467,40.0
2000-05-19,31.0,31.0,31.0,31.0,13.849467,120.0
2000-05-22,31.0,32.0,31.0,31.0,13.849467,0.0
2000-05-23,31.0,32.0,31.0,31.0,13.849467,0.0
2000-05-24,31.0,32.0,31.0,31.0,13.849467,0.0
2000-05-25,31.1,32.0,31.1,31.1,13.894143,0.0
2000-05-26,32.0,32.0,32.0,32.0,14.296225,149.0
2000-05-29,31.1,31.1,31.1,31.1,13.894143,101.0
2000-05-30,31.1,31.1,31.1,31.1,13.894143,100.0
2000-05-31,31.1,31.1,31.1,31.1,13.894143,40.0
2000-06-01,31.1,31.1,31.1,31.1,13.894143,0.0
2000-06-02,31.1,32.0,31.1,31.1,13.894143,0.0
2000-06-05,31.1,31.1,31.1,31.1,13.894143,0.0
2000-06-06,31.1,31.1,31.1,31.1,13.894143,41.0
2000-06-07,31.1,31.1,31.1,31.1,13.894143,151.0
2000-06-08,32.0,32.0,32.0,32.0,14.296225,68.0
2000-06-09,31.200001,32.0,31.200001,32.0,14.296225,1202.0
2000-06-12,32.0,32.0,32.0,32.0,14.296225,0.0
2000-06-13,31.299999,32.0,31.299999,31.299999,13.983495000000001,0.0
2000-06-14,31.299999,31.299999,31.299999,31.299999,13.983495000000001,130.0
2000-06-15,31.299999,31.299999,31.299999,31.299999,13.983495000000001,0.0
2000-06-16,31.299999,31.299999,31.299999,31.299999,13.983495000000001,70.0
2000-06-19,31.299999,31.299999,31.299999,31.299999,13.983495000000001,0.0
2000-06-20,31.299999,31.299999,31.299999,31.299999,13.983495000000001,1240.0
2000-06-21,31.5,31.5,31.1,31.1,13.894143,352.0
2000-06-22,31.1,32.0,31.1,31.1,13.894143,0.0
2000-06-23,32.0,32.0,32.0,32.0,14.296225,79.0
2000-06-26,31.51,31.51,31.51,31.51,14.077316,25.0
2000-06-27,31.51,31.51,31.51,31.51,14.077316,0.0
2000-06-28,31.51,31.51,31.51,31.51,14.077316,42.0
2000-06-29,31.51,31.51,31.51,31.51,14.077316,202.0
2000-06-30,31.51,31.51,31.51,31.51,14.077316,101.0
2000-07-03,31.549999,31.549999,31.549999,31.549999,14.095184,0.0
2000-07-04,31.549999,31.549999,31.549999,31.549999,14.095184,315.0
2000-07-05,31.549999,32.0,31.549999,31.549999,14.095184,0.0
2000-07-06,32.0,32.0,32.0,32.0,14.296225,499.0
2000-07-07,32.0,32.0,32.0,32.0,14.296225,0.0
2000-07-10,31.549999,32.0,31.549999,31.549999,14.095184,0.0
2000-07-11,31.6,32.0,31.6,31.6,14.117521,0.0
2000-07-12,32.0,32.0,32.0,32.0,14.296225,75.0
2000-07-13,31.6,32.0,31.6,31.6,14.117521,0.0
2000-07-14,31.6,31.6,31.6,31.6,14.117521,101.0
