Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,68.0,68.0,68.0,68.0,9.45683,60.0
2000-01-05,68.0,68.0,68.0,68.0,9.45683,1.0
2000-01-06,68.0,68.0,67.5,67.5,9.387295,0.0
2000-01-07,68.0,68.0,68.0,68.0,9.45683,20.0
2000-01-10,68.0,69.0,68.0,69.0,9.595899000000001,275.0
2000-01-11,69.0,69.0,69.0,69.0,9.595899000000001,0.0
2000-01-12,70.0,70.0,69.5,69.5,9.665434,129.0
2000-01-13,71.0,71.0,70.0,70.0,9.73497,85.0
2000-01-14,71.0,71.0,71.0,71.0,9.874042999999999,170.0
2000-01-17,71.0,71.0,71.0,71.0,9.874042999999999,367.0
2000-01-18,70.949997,70.949997,69.5,69.5,9.665434,275.0
2000-01-19,69.5,69.5,69.0,69.0,9.595899000000001,1400.0
2000-01-20,69.5,70.0,69.5,70.0,9.73497,125.0
2000-01-21,69.0,69.0,69.0,69.0,9.595899000000001,119.0
2000-01-24,69.949997,70.0,69.949997,70.0,9.73497,230.0
2000-01-25,70.0,70.0,70.0,70.0,9.73497,149.0
2000-01-26,70.0,70.0,69.0,69.0,9.595899000000001,115.0
2000-01-27,70.0,70.0,70.0,70.0,9.73497,140.0
2000-01-28,68.099998,68.099998,68.099998,68.099998,9.470737,6.0
2000-01-31,70.400002,70.400002,70.0,70.0,9.73497,0.0
2000-02-01,70.400002,70.400002,70.0,70.0,9.73497,30.0
2000-02-02,70.0,70.0,70.0,70.0,9.73497,50.0
2000-02-03,68.099998,68.099998,68.099998,68.099998,9.470737,136.0
2000-02-04,68.099998,68.099998,68.099998,68.099998,9.470737,59.0
2000-02-07,70.0,70.0,70.0,70.0,9.73497,60.0
2000-02-08,70.0,70.0,70.0,70.0,9.73497,260.0
2000-02-09,69.0,69.0,69.0,69.0,9.595899000000001,197.0
2000-02-10,69.0,69.0,69.0,69.0,9.595899000000001,1342.0
2000-02-11,68.5,68.5,68.5,68.5,9.526365,110.0
2000-02-14,68.5,68.5,68.0,68.0,9.45683,285.0
2000-02-15,68.900002,68.900002,66.0,66.0,9.178687,600.0
2000-02-16,68.800003,68.800003,68.800003,68.800003,9.568088000000001,60.0
2000-02-17,68.800003,68.800003,67.0,67.0,9.317757,170.0
2000-02-18,66.0,66.0,63.0,63.0,8.761472999999999,630.0
2000-02-21,63.0,63.0,63.0,63.0,8.761472999999999,190.0
2000-02-22,60.049999,63.0,60.049999,63.0,8.761472999999999,110.0
2000-02-23,63.0,63.0,62.0,62.0,8.622404,70.0
2000-02-24,62.0,62.0,62.0,62.0,8.622404,120.0
2000-02-25,62.0,62.0,62.0,62.0,8.622404,300.0
2000-02-28,63.0,63.0,63.0,63.0,8.761472999999999,100.0
2000-02-29,63.0,63.0,62.950001,62.950001,8.75452,85.0
2000-03-01,62.0,63.0,62.0,63.0,8.761472999999999,270.0
2000-03-02,65.0,66.0,65.0,66.0,9.178687,244.0
2000-03-03,67.900002,67.900002,67.900002,67.900002,9.442922,420.0
2000-03-06,67.900002,67.900002,67.900002,67.900002,9.442922,611.0
2000-03-07,67.900002,67.900002,67.900002,67.900002,9.442922,700.0
2000-03-08,67.0,68.0,67.0,68.0,9.45683,500.0
2000-03-09,68.0,69.0,68.0,69.0,9.595899000000001,400.0
2000-03-10,70.0,70.0,70.0,70.0,9.73497,115.0
2000-03-13,70.0,70.0,67.5,67.5,9.387295,140.0
2000-03-14,70.0,70.0,70.0,70.0,9.73497,100.0
2000-03-15,70.0,70.0,69.900002,69.900002,9.721064,45.0
2000-03-16,69.0,69.900002,69.0,69.900002,9.721064,347.0
2000-03-17,69.0,69.0,69.0,69.0,9.595899000000001,531.0
2000-03-20,69.900002,69.900002,69.900002,69.900002,9.721064,391.0
2000-03-21,67.099998,67.099998,67.099998,67.099998,9.331664,100.0
2000-03-22,69.900002,69.900002,69.900002,69.900002,9.721064,160.0
2000-03-23,69.900002,69.900002,69.900002,69.900002,9.721064,64.0
2000-03-24,67.0,67.0,67.0,67.0,9.317757,145.0
2000-03-27,66.5,69.300003,66.5,69.300003,9.637624,267.0
2000-03-28,69.900002,69.900002,69.900002,69.900002,9.721064,40.0
2000-03-29,69.900002,69.900002,69.900002,69.900002,9.721064,40.0
2000-03-30,66.5,66.5,66.5,66.5,9.248222,230.0
2000-03-31,69.800003,69.800003,69.800003,69.800003,9.707157,80.0
2000-04-03,69.800003,69.800003,69.800003,69.800003,9.707157,110.0
2000-04-04,69.5,69.5,69.5,69.5,9.665434,40.0
2000-04-05,69.5,69.5,69.5,69.5,9.665434,60.0
2000-04-06,69.5,69.5,69.5,69.5,9.665434,205.0
2000-04-07,68.0,68.0,67.0,67.0,9.317757,0.0
2000-04-10,67.0,67.0,67.0,67.0,9.317757,35.0
2000-04-11,68.0,68.0,66.5,66.5,9.248222,0.0
2000-04-12,68.0,68.0,66.5,66.5,9.248222,0.0
2000-04-13,66.5,66.5,66.5,66.5,9.248222,20.0
2000-04-14,68.0,68.0,68.0,68.0,9.45683,20.0
2000-04-17,68.0,68.0,66.5,66.5,9.248222,0.0
2000-04-18,66.5,66.5,66.5,66.5,9.248222,1.0
2000-04-19,65.5,65.5,65.5,65.5,9.109154,80.0
