Date,Open,High,Low,Close,Adj Close,Volume
2017-11-14,,,,,,
2017-11-15,3.7,3.728,3.65,3.69,3.69,93725.0
2017-11-16,3.7,3.7,3.673,3.69,3.69,78581.0
2017-11-17,3.68,3.995,3.68,3.95,3.95,210798.0
2017-11-20,3.96,4.16,3.96,4.012,4.012,395119.0
2017-11-21,4.085,4.085,3.96,3.971,3.971,170327.0
2017-11-22,3.971,4.021,3.88,3.909,3.909,155140.0
2017-11-23,3.929,3.937,3.884,3.911,3.911,40535.0
2017-11-24,3.909,3.95,3.8110000000000004,3.9,3.9,97588.0
2017-11-23,,,,,,
2017-11-24,3.909,3.95,3.811,3.9,3.9,97588.0
2017-11-27,3.9,3.9,3.82,3.848,3.848,69523.0
2017-11-28,3.842,3.852,3.802,3.832,3.832,42413.0
2017-11-29,3.83,3.833,3.74,3.809,3.809,89812.0
2017-11-30,3.776,3.852,3.75,3.798,3.798,104373.0
