Date,Open,High,Low,Close,Adj Close,Volume
2017-11-14,,,,,,
2017-11-15,6.54,6.544,6.22,6.301,6.301,2862646.0
2017-11-16,6.35,6.431,6.1,6.2589999999999995,6.2589999999999995,1377048.0
2017-11-17,6.32,6.465,6.19,6.388,6.388,877234.0
2017-11-20,6.42,6.495,6.245,6.352,6.352,616356.0
2017-11-21,6.449,6.4670000000000005,6.3020000000000005,6.329,6.329,436070.0
2017-11-22,6.329,6.4110000000000005,6.169,6.365,6.365,659228.0
2017-11-23,6.388,6.388,6.215,6.222,6.222,362575.0
2017-11-24,6.254,6.3389999999999995,6.102,6.255,6.255,1167101.0
2017-11-23,,,,,,
2017-11-24,6.254,6.339,6.102,6.255,6.255,1167101.0
2017-11-27,6.201,6.26,6.107,6.208,6.208,829486.0
2017-11-28,6.187,6.187,5.95,6.018,6.018,1664509.0
2017-11-29,6.049,6.129,6.01,6.051,6.051,573047.0
2017-11-30,6.019,6.044,5.931,5.983,5.983,728122.0
