Date,Open,High,Low,Close,Adj Close,Volume
2004-03-22,24.5,25.85,24.5,25.67,9.617601,23445153.0
2004-03-23,25.719999,26.1,25.68,25.9,9.703773,3767085.0
2004-03-24,25.950001,25.950001,25.209999,25.4,9.516443,3057732.0
2004-03-25,25.5,25.6,25.200001,25.450001,9.535177,2971271.0
2004-03-26,25.6,25.6,25.049999,25.09,9.400297,895416.0
2004-03-29,25.1,25.549999,25.049999,25.4,9.516443,2234470.0
2004-03-30,25.26,25.35,25.040001,25.1,9.404044,1091652.0
2004-03-31,25.15,25.9,25.15,25.700001,9.62884,1838465.0
2004-04-01,25.790001,25.790001,25.4,25.5,9.553907,1070556.0
2004-04-02,25.65,26.200001,25.549999,26.049999,9.759973,3483242.0
2004-04-05,26.25,26.25,25.9,26.0,9.741239,1250045.0
2004-04-06,26.049999,26.25,26.0,26.25,9.834906,1006290.0
2004-04-07,26.030001,26.389999,25.75,25.75,9.647576,1144796.0
2004-04-08,26.0,26.24,25.969999,26.02,9.748734,510688.0
2004-04-09,,,,,,
2004-04-12,,,,,,
2004-04-13,26.02,26.219999,25.809999,26.08,9.771213,469167.0
2004-04-14,26.02,26.1,25.59,25.790001,9.662562,513780.0
2004-04-15,25.879999,26.139999,25.65,25.75,9.647576,1006447.0
2004-04-16,25.9,25.9,25.6,25.82,9.6738,562500.0
2004-04-19,25.620001,25.809999,25.559999,25.6,9.591375,946075.0
2004-04-20,25.6,26.0,25.57,26.0,9.741239,508730.0
2004-04-21,25.700001,25.870001,25.450001,25.700001,9.62884,811638.0
2004-04-22,25.719999,25.98,25.719999,25.799999,9.666307000000002,805715.0
2004-04-23,25.950001,25.950001,25.41,25.51,9.557656,715125.0
2004-04-26,25.65,25.700001,25.35,25.6,9.591375,751833.0
2004-04-27,25.42,25.75,25.42,25.559999,9.57639,458388.0
2004-04-28,25.700001,25.73,25.219999,25.219999,9.449003,469214.0
2004-04-29,25.26,25.469999,25.1,25.34,9.493962,811187.0
2004-04-30,25.17,25.34,25.09,25.299999,9.478976,1170958.0
2004-05-03,25.200001,25.25,25.1,25.15,9.422777,147266.0
