Date,Open,High,Low,Close,Adj Close,Volume
2001-10-09,565.0,575.0,550.0,575.0,534.073425,116.0
2001-10-10,550.0,580.0,550.0,579.0,537.788696,86.0
2001-10-11,563.0,610.0,563.0,572.0,531.286926,121.0
2001-10-12,572.0,600.0,550.0,575.0,534.073425,92.0
2001-10-15,560.0,589.0,560.0,566.0,525.713989,59.0
2001-10-16,555.0,560.0,550.0,558.0,518.283447,60.0
2001-10-17,558.0,565.0,552.0,565.0,524.785217,31.0
2001-10-18,555.0,565.0,550.0,550.0,510.852875,106.0
2001-10-19,551.0,564.0,550.0,550.0,510.852875,109.0
2001-10-22,550.0,550.0,540.0,549.0,509.924042,46.0
2001-10-23,550.0,555.0,540.0,555.0,515.4969480000002,68.0
2001-10-24,560.0,560.0,540.0,540.0,501.564606,225.0
2001-10-25,560.0,585.0,550.0,574.0,533.144592,522.0
2001-10-26,570.0,590.0,550.0,550.0,510.852875,311.0
2001-10-29,550.0,574.0,550.0,555.0,515.4969480000002,30.0
2001-10-30,551.0,560.0,548.0,557.0,517.354614,58.0
2001-10-31,548.0,559.0,541.0,542.0,503.422272,34.0
2001-11-01,550.0,565.0,550.0,550.0,510.852875,135.0
2001-11-02,535.0,550.0,525.0,525.0,487.63229400000006,92.0
2001-11-05,525.0,529.0,501.0,524.0,486.70343,99.0
2001-11-06,530.0,530.0,520.0,520.0,482.988159,63.0
2001-11-07,515.0,515.0,500.0,510.0,473.699921,91.0
2001-11-08,510.0,510.0,500.0,505.0,469.055817,83.0
2001-11-09,501.0,510.0,500.0,503.0,467.198151,33.0
2001-11-12,501.0,510.0,460.0,460.0,427.258759,235.0
2001-11-13,460.0,505.0,460.0,481.0,446.764038,217.0
2001-11-14,500.0,510.0,490.0,505.0,469.055817,142.0
2001-11-15,505.0,530.0,495.0,521.0,483.916931,240.0
2001-11-16,526.0,551.0,526.0,536.0,497.849335,177.0
2001-11-19,562.0,609.0,560.0,598.0,555.4364009999998,963.0
2001-11-20,615.0,640.0,569.0,575.0,534.073425,755.0
2001-11-21,569.0,570.0,550.0,552.0,512.710449,153.0
2001-11-22,551.0,585.0,551.0,585.0,543.361633,142.0
2001-11-23,598.0,598.0,561.0,580.0,538.7175900000002,124.0
2001-11-26,580.0,590.0,570.0,590.0,548.005798,100.0
2001-11-27,585.0,585.0,570.0,570.0,529.429321,33.0
2001-11-28,580.0,580.0,565.0,570.0,529.429321,90.0
2001-11-29,565.0,570.0,561.0,561.0,521.069885,30.0
2001-11-30,570.0,570.0,562.0,565.0,524.785217,29.0
2001-12-03,562.0,567.0,560.0,567.0,526.642883,219.0
2001-12-04,570.0,575.0,552.0,552.0,512.710449,59.0
2001-12-05,574.0,574.0,550.0,567.0,526.642883,159.0
2001-12-06,569.0,570.0,551.0,565.0,524.785217,29.0
2001-12-07,565.0,574.0,552.0,560.0,520.141113,47.0
2001-12-10,560.0,573.0,560.0,567.0,526.642883,47.0
2001-12-11,565.0,574.0,565.0,568.0,527.571655,30.0
2001-12-12,570.0,573.0,555.0,555.0,515.4969480000002,28.0
2001-12-13,560.0,560.0,550.0,550.0,510.852875,68.0
2001-12-14,550.0,569.0,550.0,560.0,520.141113,53.0
2001-12-17,551.0,570.0,551.0,560.0,520.141113,37.0
2001-12-18,560.0,570.0,548.0,548.0,508.995209,110.0
2001-12-19,550.0,569.0,541.0,541.0,502.493439,71.0
2001-12-20,542.0,555.0,542.0,545.0,506.208771,43.0
2001-12-21,550.0,550.0,530.0,532.0,494.134003,188.0
2001-12-24,550.0,565.0,545.0,551.0,511.781677,149.0
2001-12-25,,,,,,
2001-12-26,,,,,,
2001-12-27,560.0,568.0,541.0,555.0,515.4969480000002,22.0
2001-12-28,545.0,565.0,545.0,547.0,508.066437,29.0
2001-12-31,,,,,,
2002-01-01,,,,,,
2002-01-02,560.0,560.0,545.0,545.0,506.208771,64.0
2002-01-03,555.0,555.0,531.0,545.0,506.208771,60.0
2002-01-04,540.0,545.0,530.0,533.0,495.062866,104.0
2002-01-07,535.0,545.0,535.0,545.0,506.208771,103.0
2002-01-08,540.0,540.0,535.0,535.0,496.920502,27.0
2002-01-09,539.0,545.0,530.0,545.0,506.208771,130.0
2002-01-10,559.0,594.0,555.0,570.0,529.429321,1726.0
2002-01-11,583.0,585.0,560.0,570.0,529.429321,557.0
2002-01-14,575.0,579.0,565.0,572.0,531.286926,356.0
2002-01-15,570.0,570.0,556.0,556.0,516.4257809999998,137.0
2002-01-16,,,,,,
2002-01-17,550.0,570.0,550.0,552.0,512.710449,212.0
2002-01-18,554.0,560.0,545.0,545.0,506.208771,106.0
2002-01-21,550.0,558.0,545.0,545.0,506.208771,58.0
2002-01-22,541.0,544.0,520.0,530.0,492.276367,282.0
2002-01-23,,,,,,
2002-01-24,515.0,530.0,515.0,516.0,479.272827,125.0
2002-01-25,538.0,538.0,510.0,510.0,473.699921,259.0
2002-01-28,525.0,525.0,504.0,504.0,468.126984,177.0
2002-01-29,506.0,525.0,504.0,525.0,487.63229400000006,115.0
2002-01-30,524.0,524.0,505.0,508.0,471.842285,137.0
2002-01-31,510.0,525.0,508.0,508.0,471.842285,108.0
2002-02-01,510.0,522.0,508.0,515.0,478.344025,95.0
2002-02-04,520.0,520.0,505.0,520.0,482.988159,70.0
2002-02-05,505.0,520.0,500.0,500.0,464.411682,289.0
2002-02-06,500.0,510.0,490.0,490.0,455.12344400000006,168.0
2002-02-07,490.0,500.0,490.0,495.0,459.767548,234.0
2002-02-08,495.0,499.0,485.0,495.0,459.767548,105.0
2002-02-11,497.0,498.0,469.0,472.0,438.404602,193.0
2002-02-12,493.0,493.0,470.0,475.0,441.191071,122.0
2002-02-13,475.0,485.0,466.0,485.0,450.479309,99.0
