Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,269.0,269.0,269.0,269.0,102.040001,45.0
2003-12-02,274.899994,274.899994,274.899994,274.899994,104.278061,77.0
2003-12-03,267.899994,267.899994,267.899994,267.899994,101.622749,70.0
2003-12-04,266.0,266.0,266.0,266.0,100.902008,49.0
2003-12-05,260.0,260.0,260.0,260.0,98.62603,10.0
2003-12-08,260.200012,260.200012,260.200012,260.200012,98.701912,1.0
2003-12-09,,,,,,
2003-12-10,,,,,,
2003-12-11,264.0,264.0,264.0,264.0,100.143349,24.0
2003-12-12,264.0,264.0,264.0,264.0,100.143349,19.0
2003-12-15,,,,,,
2003-12-16,265.0,265.0,265.0,265.0,100.522675,107.0
2003-12-17,266.0,266.0,266.0,266.0,100.902008,25.0
2003-12-18,266.0,266.0,266.0,266.0,100.902008,45.0
2003-12-19,266.0,266.0,266.0,266.0,100.902008,20.0
2003-12-22,263.0,263.0,263.0,263.0,99.764023,104.0
2003-12-23,,,,,,
2003-12-24,265.0,265.0,265.0,265.0,100.522675,20.0
2003-12-25,,,,,,
2003-12-26,,,,,,
2003-12-29,265.0,265.0,265.0,265.0,100.522675,21.0
2003-12-30,266.0,266.0,266.0,266.0,100.902008,140.0
2003-12-31,,,,,,
2004-01-01,,,,,,
2004-01-02,,,,,,
2004-01-05,265.0,265.0,265.0,265.0,100.522675,40.0
2004-01-06,,,,,,
2004-01-07,,,,,,
2004-01-08,256.899994,256.899994,256.899994,256.899994,97.450119,120.0
2004-01-09,257.0,257.0,257.0,257.0,97.488029,25.0
2004-01-12,258.0,258.0,258.0,258.0,97.867363,10.0
2004-01-13,258.0,258.0,258.0,258.0,97.867363,19.0
2004-01-14,258.0,258.0,258.0,258.0,97.867363,101.0
2004-01-15,,,,,,
2004-01-16,,,,,,
2004-01-19,260.0,260.0,260.0,260.0,98.62603,65.0
2004-01-20,,,,,,
2004-01-21,,,,,,
2004-01-22,,,,,,
2004-01-23,,,,,,
2004-01-26,265.0,265.0,265.0,265.0,100.522675,30.0
2004-01-27,265.0,265.0,265.0,265.0,100.522675,140.0
