Date,value,action
2002-05-31,0.88,DIVIDEND
2003-05-29,0.88,DIVIDEND
2004-05-28,0.92,DIVIDEND
2005-05-27,1.04,DIVIDEND
2005-08-26,0.52,DIVIDEND
2006-06-02,0.64,DIVIDEND
2006-08-11,0.58,DIVIDEND
2007-05-25,0.82,DIVIDEND
2007-08-10,0.7,DIVIDEND
2008-05-02,0.59,DIVIDEND
2010-05-03,0.08,DIVIDEND
2011-05-02,0.08,DIVIDEND
2012-04-30,0.08,DIVIDEND
2012-08-07,10.0,SPLIT
2013-04-26,1.2,DIVIDEND
2013-12-10,1.0,DIVIDEND
2014-05-05,1.4,DIVIDEND
2015-05-06,1.55,DIVIDEND
2016-05-09,1.65,DIVIDEND
2017-05-29,2.1,DIVIDEND
