Date,Adj Close,Close,High,Low,Open,Volume,action,value
2000-01-04,41.151413,8.8,9.25,8.8,9.25,43200.0,,
2000-01-05,40.216152,8.6,8.75,8.6,8.75,119600.0,,
2000-01-06,42.08667,9.0,9.0,9.0,9.0,18000.0,,
2000-01-07,40.44997,8.65,9.0,8.65,9.0,0.0,,
2000-01-10,42.08667,9.0,9.0,8.6,8.6,30800.0,,
2000-01-11,42.08667,9.0,9.0,9.0,9.0,0.0,,
2000-01-12,40.917599,8.75,8.75,8.75,8.75,32000.0,,
2000-01-13,38.930176,8.325,8.755,8.325,8.755,344000.0,,
2000-01-14,40.917599,8.75,8.75,8.75,8.75,6000.0,,
2000-01-17,40.44997,8.65,8.8,8.45,8.8,157200.0,,
2000-01-18,39.748528,8.5,8.75,8.5,8.75,64000.0,,
2000-01-19,39.514717,8.45,8.745,8.45,8.745,33600.0,,
2000-01-20,39.748528,8.5,8.5,8.5,8.5,12000.0,,
2000-01-21,42.039913,8.99,8.99,8.5,8.5,84000.0,,
2000-01-24,41.969776,8.975,8.975,8.65,8.65,46000.0,,
2000-01-25,40.44997,8.65,8.655,8.65,8.655,18000.0,,
2000-01-26,40.473351,8.655,8.655,8.655,8.655,6000.0,,
2000-01-27,40.44997,8.65,8.7,8.65,8.7,28800.0,,
2000-01-28,39.982342,8.55,8.55,8.55,8.55,10800.0,,
2000-01-31,41.829475,8.945,8.945,8.945,8.945,2400.0,,
2000-02-01,39.748528,8.5,8.5,8.5,8.5,62800.0,,
2000-02-02,39.047077,8.35,8.45,8.35,8.45,144800.0,,
2000-02-03,38.930176,8.325,8.325,8.325,8.325,50000.0,,
2000-02-04,39.047077,8.35,8.35,8.35,8.35,127200.0,,
2000-02-07,38.813267,8.3,8.4,8.2,8.4,189600.0,,
2000-02-08,37.994915,8.125,8.225,8.125,8.225,68000.0,,
2000-02-09,36.241306,7.75,8.1,7.75,8.1,149200.0,,
2000-02-10,36.241306,7.75,7.75,7.6,7.6,164800.0,,
2000-02-11,36.264687,7.755,8.195,7.75,8.195,108800.0,,
2000-02-14,37.410378,8.0,8.0,8.0,8.0,22000.0,,
2000-02-15,36.732319,7.855,8.195,7.85,8.195,66000.0,,
2000-02-16,36.825848,7.875,7.875,7.875,7.875,19600.0,,
2000-02-17,36.708931,7.85,7.9,7.85,7.85,86800.0,,
2000-02-18,36.708931,7.85,7.875,7.8,7.875,66000.0,,
2000-02-21,36.708931,7.85,7.85,7.85,7.85,52400.0,,
