Date,Adj Close,Close,High,Low,Open,Volume,action,value
2000-01-04,4.7994639999999995,16.5,17.0,16.5,16.6,16310.0,,
2000-01-05,4.886727,16.799999,16.799999,16.5,16.5,6425.0,,
2000-01-06,4.828551,16.6,16.799999,16.52,16.52,7975.0,,
2000-01-07,4.886727,16.799999,16.9,16.6,16.6,11800.0,,
2000-01-10,4.944902,17.0,17.059998999999998,16.799999,16.799999,43775.0,,
2000-01-11,4.944902,17.0,17.0,17.0,17.0,0.0,,
2000-01-12,4.9245410000000005,16.93,17.18,16.9,16.92,13675.0,,
2000-01-13,4.92745,16.940001000000002,17.08,16.9,16.92,10100.0,,
2000-01-14,4.976898,17.110001,17.200001,16.92,16.940001000000002,27740.0,,
2000-01-17,5.087431,17.49,17.5,17.110001,17.110001,21965.0,,
2000-01-18,4.921631,16.92,17.34,16.9,17.26,15885.0,,
2000-01-19,4.799464,16.5,16.860001,16.4,16.860001,24625.0,,
2000-01-20,4.712201,16.200001,16.4,16.1,16.200001,15520.0,,
2000-01-21,4.654026,16.0,16.4,16.0,16.200001,11485.0,,
2000-01-24,4.654026,16.0,16.120001000000002,16.0,16.0,7040.0,,
2000-01-25,4.601666000000002,15.82,16.120001000000002,15.82,16.059998999999998,25800.0,,
2000-01-26,4.610394,15.85,16.0,15.8,15.84,26855.0,,
2000-01-27,4.537674,15.6,16.0,15.2,15.86,36560.0,,
2000-01-28,4.537674,15.6,15.6,15.44,15.6,22395.0,,
2000-01-31,4.537674,15.6,15.8,15.5,15.6,9060.0,,
2000-02-01,4.508587,15.5,15.8,15.5,15.8,4430.0,,
2000-02-02,4.43296,15.24,15.69,15.24,15.5,11435.0,,
2000-02-03,4.211893,14.48,15.48,14.48,15.2,18280.0,,
2000-02-04,4.363149,15.0,15.0,14.5,15.0,13005.0,,
2000-02-07,4.1886220000000005,14.4,15.0,14.4,14.48,11975.0,,
2000-02-08,4.095543,14.08,14.6,13.6,14.41,18235.0,,
2000-02-09,4.072272,14.0,14.08,13.77,14.0,34535.0,,
