Date,value,action
2000-06-14,45.0,DIVIDEND
2001-06-05,1.62,DIVIDEND
2002-06-03,1.71,DIVIDEND
2003-02-06,0.15,DIVIDEND
2003-06-02,2.0266,DIVIDEND
2004-06-01,2.27,DIVIDEND
2006-06-06,6.7,DIVIDEND
2007-05-02,1.8,DIVIDEND
2008-05-05,0.9,DIVIDEND
2009-05-04,0.9,DIVIDEND
2010-05-03,1.65,DIVIDEND
2011-05-02,2.15,DIVIDEND
2012-05-02,2.15,DIVIDEND
2013-05-02,2.15,DIVIDEND
2014-05-02,2.15,DIVIDEND
2014-11-18,1.35,DIVIDEND
2015-05-04,2.15,DIVIDEND
2015-11-17,1.35,DIVIDEND
2016-05-02,2.15,DIVIDEND
2016-11-22,1.35,DIVIDEND
2017-05-02,2.15,DIVIDEND
