Date,Open,High,Low,Close,Adj Close,Volume
2007-11-07,7.1,7.3,7.0,7.25,7.25,192842.0
2007-11-08,7.25,7.25,7.2,7.22,7.22,21689.0
2007-11-09,7.22,7.25,7.11,7.24,7.24,25864.0
2007-11-12,7.2,7.25,7.1,7.25,7.25,26798.0
2007-11-13,7.25,7.25,7.2,7.2,7.2,7202.0
2007-11-14,7.2,7.29,7.2,7.25,7.25,45980.0
2007-11-15,7.2,7.25,7.14,7.2,7.2,3277.0
2007-11-16,7.25,7.25,7.19,7.2,7.2,2025.0
2007-11-19,7.2,7.2,7.1,7.15,7.15,3730.0
2007-11-20,7.0,7.15,7.0,7.0,7.0,25306.0
2007-11-21,7.09,7.1,7.0,7.0,7.0,10926.0
2007-11-22,7.0,7.01,7.0,7.0,7.0,26292.0
2007-11-23,7.0,7.01,7.0,7.0,7.0,24924.0
2007-11-26,7.0,7.05,7.0,7.0,7.0,27219.0
2007-11-27,7.0,7.0,7.0,7.0,7.0,30031.0
2007-11-28,7.0,7.01,7.0,7.0,7.0,24052.0
2007-11-29,7.0,7.02,7.0,7.02,7.02,5878.0
2007-11-30,7.02,7.02,7.0,7.0,7.0,0.0
2007-12-03,7.02,7.02,7.0,7.0,7.0,1800.0
2007-12-04,7.05,7.05,7.05,7.05,7.05,700.0
2007-12-05,7.05,7.05,7.05,7.05,7.05,780.0
2007-12-06,7.05,7.05,7.0,7.0,7.0,4508.0
2007-12-07,7.04,7.05,7.0,7.0,7.0,7479.0
2007-12-10,7.05,7.05,7.02,7.05,7.05,1550.0
2007-12-11,7.1,7.1,6.95,7.0,7.0,7323.0
2007-12-12,7.0,7.0,6.9,6.9,6.9,596.0
2007-12-13,6.98,6.98,6.91,6.91,6.91,32678.0
2007-12-14,7.0,7.0,6.75,6.75,6.75,5835.0
2007-12-17,6.6,6.95,6.6,6.75,6.75,4506.0
2007-12-18,6.77,7.05,6.75,6.8,6.8,86018.0
2007-12-19,6.81,6.81,6.71,6.71,6.71,2594.0
2007-12-20,6.71,6.71,6.2,6.5,6.5,4117.0
2007-12-21,7.0,7.0,6.8,6.9,6.9,2777.0
2007-12-24,6.9,7.0,6.9,7.0,7.0,4006.0
2007-12-27,6.95,6.95,6.75,6.95,6.95,1555.0
2007-12-28,7.0,7.0,6.9,7.0,7.0,3340.0
2007-12-31,7.0,7.0,7.0,7.0,7.0,1500.0
2008-01-02,7.0,7.0,6.9,7.0,7.0,6530.0
2008-01-03,6.95,6.95,6.8,6.9,6.9,19935.0
2008-01-04,7.0,7.0,6.96,6.96,6.96,518.0
2008-01-07,6.75,7.1,6.71,6.71,6.71,3138.0
2008-01-08,6.9,6.95,6.9,6.95,6.95,373.0
2008-01-09,7.09,7.09,6.7,7.09,7.09,816.0
2008-01-10,7.0,7.1,7.0,7.1,7.1,4586.0
2008-01-11,7.09,7.1,6.9,7.02,7.02,3050.0
2008-01-14,6.96,6.96,6.9,6.9,6.9,675.0
2008-01-15,6.96,7.1,6.6,6.7,6.7,8244.0
2008-01-16,7.0,7.0,6.9,7.0,7.0,19726.0
2008-01-17,6.7,6.93,6.6,6.93,6.93,1140.0
2008-01-18,6.69,6.69,6.38,6.38,6.38,5917.0
2008-01-21,6.38,6.38,6.0,6.1,6.1,7266.0
2008-01-22,5.82,6.0,4.0,6.0,6.0,5711.0
2008-01-23,6.11,6.45,6.11,6.11,6.11,600.0
2008-01-24,6.0,6.17,6.0,6.0,6.0,550.0
2008-01-25,6.3,6.79,6.3,6.3,6.3,6207.0
2008-01-28,6.51,6.66,6.25,6.51,6.51,3750.0
2008-01-29,6.66,6.66,6.64,6.64,6.64,1083.0
2008-01-30,6.27,6.59,6.25,6.35,6.35,2683.0
2008-01-31,6.3,6.4,6.2,6.4,6.4,4973.0
2008-02-01,6.4,6.4,6.11,6.11,6.11,3365.0
2008-02-04,6.2,6.39,6.2,6.39,6.39,2510.0
2008-02-05,6.2,6.45,6.11,6.11,6.11,1179.0
2008-02-06,6.15,6.15,6.11,6.11,6.11,142.0
2008-02-07,6.2,6.4,6.2,6.4,6.4,1905.0
2008-02-08,6.3,6.38,6.11,6.38,6.38,1996.0
2008-02-11,6.37,6.37,6.37,6.37,6.37,400.0
2008-02-12,6.2,6.2,6.11,6.2,6.2,998.0
2008-02-13,6.1,6.1,6.1,6.1,6.1,75063.0
2008-02-14,6.11,6.3,6.0,6.01,6.01,4120.0
2008-02-15,6.25,6.25,6.02,6.02,6.02,0.0
2008-02-18,6.3,6.34,6.3,6.34,6.34,1165.0
2008-02-19,6.35,6.38,6.3,6.35,6.35,3005.0
2008-02-20,6.35,6.38,6.25,6.25,6.25,5927.0
2008-02-21,6.25,6.25,6.2,6.25,6.25,6000.0
2008-02-22,6.25,6.25,6.2,6.25,6.25,1400.0
2008-02-25,6.25,6.25,6.2,6.2,6.2,1380.0
2008-02-26,6.2,6.25,6.2,6.2,6.2,2520.0
2008-02-27,6.4,6.4,6.4,6.4,6.4,2277.0
2008-02-28,6.5,6.5,6.28,6.45,6.45,6571.0
2008-02-29,6.45,6.5,6.28,6.28,6.28,5800.0
