Date,Open,High,Low,Close,Adj Close,Volume
2009-12-30,495.0,495.0,495.0,495.0,494.292877,38.0
2009-12-31,500.5,500.5,500.5,500.5,499.785004,2.0
2010-01-04,600.0,600.0,600.0,600.0,599.142883,7.0
2010-01-05,550.0,550.0,550.0,550.0,549.214294,8.0
2010-01-06,,,,,,
2010-01-07,470.0,470.0,470.0,470.0,469.328583,6.0
2010-01-08,,,,,,
2010-01-11,,,,,,
2010-01-12,,,,,,
2010-01-13,,,,,,
2010-01-14,,,,,,
2010-01-15,,,,,,
2010-01-18,,,,,,
2010-01-19,,,,,,
2010-01-20,,,,,,
2010-01-21,,,,,,
2010-01-22,,,,,,
2010-01-25,,,,,,
2010-01-26,,,,,,
2010-01-27,,,,,,
2010-01-28,,,,,,
2010-01-29,501.5,501.5,501.5,501.5,500.7836,7.0
2010-02-01,501.5,501.5,501.5,501.5,500.7836,1.0
2010-02-02,,,,,,
2010-02-03,,,,,,
2010-02-04,,,,,,
2010-02-05,,,,,,
2010-02-08,,,,,,
2010-02-09,,,,,,
2010-02-10,,,,,,
2010-02-11,,,,,,
2010-02-12,,,,,,
2010-02-15,,,,,,
2010-02-16,,,,,,
2010-02-17,,,,,,
2010-02-18,455.0,455.0,455.0,455.0,454.35000599999995,2.0
2010-02-19,500.0,500.0,500.0,500.0,499.28573600000004,0.0
2010-02-22,435.0,435.0,435.0,435.0,434.378571,6.0
2010-02-23,494.5,494.5,494.5,494.5,493.793579,812.0
2010-02-24,,,,,,
2010-02-25,,,,,,
2010-02-26,496.0,496.0,496.0,496.0,495.29144299999996,3.0
2010-03-01,,,,,,
2010-03-02,494.5,494.5,494.5,494.5,493.793579,232.0
2010-03-03,,,,,,
2010-03-04,,,,,,
2010-03-05,,,,,,
2010-03-08,,,,,,
2010-03-09,,,,,,
2010-03-10,,,,,,
2010-03-11,,,,,,
2010-03-12,,,,,,
2010-03-15,,,,,,
2010-03-16,452.5,452.5,452.5,452.5,451.853577,8.0
2010-03-17,450.5,450.5,450.5,450.5,449.856445,23.0
2010-03-18,445.0,445.0,445.0,445.0,444.364288,21.0
2010-03-19,,,,,,
2010-03-22,445.0,445.0,445.0,445.0,444.364288,18.0
2010-03-23,435.0,435.0,435.0,435.0,434.378571,2.0
2010-03-24,,,,,,
2010-03-25,435.0,435.0,435.0,435.0,434.378571,20.0
2010-03-26,,,,,,
2010-03-29,,,,,,
2010-03-30,,,,,,
2010-03-31,470.0,470.0,470.0,470.0,469.328583,12.0
2010-04-01,,,,,,
2010-04-06,,,,,,
2010-04-07,,,,,,
2010-04-08,,,,,,
2010-04-09,470.0,470.0,470.0,470.0,469.328583,5.0
2010-04-12,,,,,,
2010-04-13,,,,,,
2010-04-14,,,,,,
2010-04-15,,,,,,
2010-04-16,,,,,,
2010-04-19,,,,,,
2010-04-20,430.0,430.0,430.0,430.0,429.385712,14.0
2010-04-21,,,,,,
2010-04-22,430.0,430.0,430.0,430.0,429.385712,8.0
2010-04-23,,,,,,
2010-04-26,425.0,425.0,425.0,425.0,424.392883,10.0
2010-04-27,,,,,,
2010-04-28,,,,,,
2010-04-29,,,,,,
2010-04-30,470.0,470.0,470.0,470.0,469.328583,16.0
2010-05-03,430.0,430.0,430.0,430.0,429.385712,12.0
