Date,Open,High,Low,Close,Adj Close,Volume
2000-10-26,7.23,7.23,7.21,7.23,-3.982478,6835.0
2000-10-27,6.96,7.27,6.96,7.01,-3.861296,2660.0
2000-10-30,7.18,7.18,6.92,7.01,-3.861296,7380.0
2000-10-31,7.01,7.01,7.01,7.01,-3.861296,0.0
2000-11-01,7.01,7.1,7.01,7.01,-3.861296,950.0
2000-11-02,7.01,7.08,6.88,7.01,-3.861296,6955.0
2000-11-03,6.99,7.01,6.97,7.0,-3.8557879999999995,9570.0
2000-11-06,6.98,6.98,6.81,6.81,-3.7511309999999995,3540.0
2000-11-07,6.95,6.95,6.66,6.88,-3.789689,12440.0
2000-11-08,6.73,6.92,6.73,6.73,-3.707065,4725.0
2000-11-09,6.9,6.9,6.71,6.73,-3.707065,4320.0
2000-11-10,6.89,6.95,6.71,6.9,-3.8007050000000002,9065.0
2000-11-13,6.73,6.73,6.27,6.27,-3.4536839999999995,14620.0
2000-11-14,6.27,6.27,6.27,6.27,-3.4536839999999995,0.0
2000-11-15,6.62,6.92,6.57,6.57,-3.618933,11636.0
2000-11-16,6.88,6.88,6.57,6.6,-3.635457,5402.0
2000-11-17,6.6,6.6,6.27,6.53,-3.5968989999999996,5820.0
2000-11-20,6.56,6.68,6.47,6.64,-3.657489,7022.0
2000-11-21,6.57,6.62,6.31,6.55,-3.6079160000000003,15835.0
2000-11-22,6.44,6.56,6.24,6.24,-3.437159,2740.0
2000-11-23,6.24,6.56,6.18,6.56,-3.6134230000000014,2360.0
2000-11-24,6.19,6.31,6.14,6.31,-3.475718,10385.0
2000-11-27,6.49,6.53,6.14,6.31,-3.475718,5961.0
2000-11-28,6.44,6.49,6.09,6.35,-3.497751,20519.0
2000-11-29,6.35,6.49,6.22,6.35,-3.497751,4333.0
2000-11-30,6.22,6.38,6.14,6.14,-3.382076,5445.0
2000-12-01,6.35,6.35,6.14,6.14,-3.382076,3155.0
2000-12-04,6.35,6.35,5.7,5.7,-3.139713,16531.0
2000-12-05,5.92,5.92,5.7,5.92,-3.260895,5587.0
2000-12-06,6.14,6.27,6.14,6.14,-3.382076,5870.0
2000-12-07,6.16,6.35,6.16,6.35,-3.497751,8963.0
2000-12-08,6.21,6.35,6.14,6.35,-3.497751,2510.0
2000-12-11,6.35,6.46,6.35,6.46,-3.5583410000000004,2033.0
2000-12-12,6.53,6.57,6.46,6.49,-3.5748660000000005,3610.0
2000-12-13,6.46,6.62,6.46,6.57,-3.618933,2710.0
2000-12-14,6.62,6.62,6.45,6.57,-3.618933,7135.0
2000-12-15,6.57,6.62,6.4,6.62,-3.6464730000000003,14195.0
2000-12-18,6.64,6.84,6.64,6.79,-3.740114,10166.0
2000-12-19,6.79,7.01,6.79,7.01,-3.861296,6870.0
2000-12-20,7.01,7.32,7.01,7.32,-4.032051999999998,6700.0
2000-12-21,7.45,7.45,7.01,7.01,-3.861296,13707.0
2000-12-22,7.23,7.34,7.01,7.01,-3.861296,4170.0
2000-12-25,,,,,,
2000-12-27,7.01,7.23,6.79,6.9,-3.8007050000000002,16909.0
2000-12-28,6.71,7.12,6.71,7.12,-3.9218870000000003,2850.0
2001-01-02,6.77,7.01,6.62,6.69,-3.685031,20392.0
2001-01-03,6.69,6.96,6.68,6.9,-3.8007050000000002,3270.0
2001-01-04,6.9,7.23,6.79,7.23,-3.982478,11100.0
2001-01-05,7.23,7.78,7.1,7.63,-4.202808,7016.0
2001-01-08,7.89,7.89,7.49,7.87,-4.335008,7445.0
2001-01-09,7.5,7.54,7.42,7.42,-4.087135,3268.0
2001-01-10,7.24,7.45,7.01,7.01,-3.861296,960.0
2001-01-11,7.01,7.03,7.01,7.01,-3.861296,10396.0
2001-01-12,7.24,7.6,7.14,7.14,-3.932903,4750.0
2001-01-15,7.59,7.59,7.26,7.41,-4.081626,4710.0
2001-01-16,7.41,7.41,7.23,7.28,-4.0100190000000016,3307.0
2001-01-17,7.23,7.57,7.23,7.24,-3.9879860000000003,6978.0
2001-01-18,7.56,7.56,7.02,7.02,-3.866804,3065.0
2001-01-19,7.02,7.34,7.02,7.34,-4.043069,2255.0
2001-01-22,7.36,7.63,7.1,7.54,-4.153235,7669.0
2001-01-23,7.41,7.8,7.37,7.8,-4.296449,9857.0
2001-01-25,7.87,7.88,7.67,7.88,-4.340515,6484.0
2001-01-29,7.71,7.71,7.38,7.45,-4.1036589999999995,6104.0
2001-01-30,7.45,8.11,7.41,8.11,-4.467205,22538.0
2001-01-31,8.11,8.2,7.93,7.93,-4.368056,4100.0
2001-02-01,7.94,8.11,7.93,8.06,-4.439664,7874.0
2001-02-02,8.11,8.46,8.11,8.46,-4.659994999999999,11263.0
2001-02-05,8.2,8.44,7.89,7.89,-4.346024,1305.0
2001-02-06,8.06,8.06,7.89,7.89,-4.346024,1990.0
2001-02-07,7.89,7.89,7.49,7.54,-4.153235,8490.0
2001-02-08,7.49,8.15,7.49,8.11,-4.467205,20465.0
2001-02-09,8.26,8.41,7.89,8.2,-4.516780000000002,15645.0
2001-02-12,8.0,8.06,7.6,7.89,-4.346024,3550.0
2001-02-13,7.73,7.89,7.73,7.89,-4.346024,1800.0
2001-02-14,8.1,8.1,7.73,7.73,-4.257891000000001,2750.0
2001-02-15,7.98,7.98,7.69,7.78,-4.285433,3479.0
2001-02-16,7.86,7.86,7.69,7.69,-4.235858,4964.0
2001-02-19,7.78,7.89,7.71,7.71,-4.246875,2290.0
2001-02-20,7.88,7.89,7.71,7.82,-4.307466000000002,3400.0
2001-02-21,7.8,8.11,7.67,7.67,-4.224842,9910.0
2001-02-22,7.67,7.71,7.65,7.65,-4.213825,1800.0
2001-02-23,7.59,7.6,7.47,7.47,-4.114676,3260.0
2001-02-26,7.45,7.67,7.45,7.56,-4.164251,5580.0
2001-02-27,7.57,7.58,7.45,7.45,-4.1036589999999995,8910.0
2001-02-28,7.67,7.67,7.49,7.49,-4.125693,80120.0
