Date,Open,High,Low,Close,Adj Close,Volume
2007-04-11,3.57,3.57,3.57,3.57,3.57,3590.0
2007-04-12,,,,,,
2007-10-03,3.85,3.85,3.85,3.85,3.85,500.0
2007-10-18,3.8,3.8,3.8,3.8,3.8,80.0
2011-08-29,0.89,0.89,0.89,0.89,0.89,4200.0
2011-09-13,1.5,1.5,1.5,1.5,1.5,1020.0
2016-08-03,0.6,0.6,0.6,0.6,0.6,0.0
2016-09-09,0.6,0.6,0.6,0.6,0.6,501.0
2016-09-21,0.6,0.6,0.6,0.6,0.6,138.0
2016-10-06,0.6,0.6,0.6,0.6,0.6,1500.0
2016-10-31,0.6,0.6,0.6,0.6,0.6,1100.0
2016-11-08,0.6,0.6,0.6,0.6,0.6,75.0
2016-11-28,0.6,0.6,0.6,0.6,0.6,500.0
2016-12-06,0.6,0.6,0.6,0.6,0.6,750.0
2016-12-16,0.6,0.6,0.6,0.6,0.6,531.0
2017-01-11,0.6,0.6,0.6,0.6,0.6,100.0
2017-01-16,0.6,0.6,0.6,0.6,0.6,2000.0
2017-02-15,0.6,0.6,0.6,0.6,0.6,295.0
2017-03-09,0.57,0.57,0.57,0.57,0.57,1000.0
2017-03-10,0.57,0.57,0.57,0.57,0.57,0.0
2017-03-23,0.57,0.57,0.57,0.57,0.57,735.0
2017-04-12,1.49,1.49,1.49,1.49,1.49,1000.0
2017-04-13,1.49,1.49,1.49,1.49,1.49,0.0
2017-05-16,0.55,0.55,0.55,0.55,0.55,250.0
2017-05-17,0.55,0.55,0.55,0.55,0.55,0.0
2017-06-08,0.55,0.55,0.55,0.55,0.55,500.0
2017-06-21,0.55,0.55,0.55,0.55,0.55,300.0
2017-06-28,0.55,0.55,0.55,0.55,0.55,1000.0
2017-07-31,0.54,0.54,0.54,0.54,0.54,0.0
2017-09-04,0.54,0.54,0.54,0.54,0.54,450.0
2017-09-05,0.5,0.5,0.5,0.5,0.5,150.0
2017-09-06,0.5,0.5,0.5,0.5,0.5,0.0
2017-10-20,0.5,0.5,0.5,0.5,0.5,1500.0
2017-11-29,0.5,0.5,0.5,0.5,0.5,70.0
2017-12-11,0.5,0.5,0.5,0.5,0.5,1.0
