Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,24.0,24.0,23.5,23.5,-8.063551,1630.0
2000-01-05,23.799999,23.799999,23.0,23.0,-7.891986,3148.0
2000-01-06,22.1,22.1,22.1,22.1,-7.583169,1378.0
2000-01-07,23.0,23.0,23.0,23.0,-7.891986,707.0
2000-01-10,22.5,22.5,22.5,22.5,-7.720421000000001,950.0
2000-01-11,22.5,22.5,22.5,22.5,-7.720421000000001,0.0
2000-01-12,22.5,22.5,22.5,22.5,-7.720421000000001,80.0
2000-01-13,22.0,22.0,22.0,22.0,-7.5488550000000005,510.0
2000-01-14,22.01,22.01,22.01,22.01,-7.552287,640.0
2000-01-17,22.0,22.0,21.9,21.9,-7.514542999999999,765.0
2000-01-18,22.0,22.0,22.0,22.0,-7.5488550000000005,1314.0
2000-01-19,22.0,22.0,22.0,22.0,-7.5488550000000005,30.0
2000-01-20,21.9,22.0,21.9,22.0,-7.5488550000000005,580.0
2000-01-21,22.0,22.0,22.0,22.0,-7.5488550000000005,680.0
2000-01-24,21.82,21.82,21.82,21.82,-7.487092,430.0
2000-01-25,21.9,21.9,21.76,21.76,-7.466505000000001,461.0
2000-01-26,21.799999,21.799999,21.75,21.75,-7.463073,710.0
2000-01-27,21.700001,21.700001,21.1,21.1,-7.240039,1330.0
2000-01-28,20.799999,20.799999,20.0,20.0,-6.862595,1585.0
2000-01-31,20.6,21.0,20.6,21.0,-7.205727,57.0
2000-02-01,20.5,20.5,20.299999,20.299999,-6.965536,360.0
2000-02-02,20.209999,20.209999,20.200001,20.200001,-6.931222999999999,530.0
2000-02-03,20.25,20.25,20.25,20.25,-6.948378,2451.0
2000-02-04,20.200001,20.200001,20.200001,20.200001,-6.931222999999999,1245.0
2000-02-07,21.0,21.0,20.209999,20.209999,-6.934653,1268.0
2000-02-08,20.26,20.26,20.26,20.26,-6.951810000000001,555.0
2000-02-09,20.209999,20.219998999999998,20.209999,20.219998999999998,-6.938084,2082.0
2000-02-10,20.25,20.299999,20.25,20.299999,-6.965536,1100.0
2000-02-11,20.209999,20.209999,20.209999,20.209999,-6.934653,2212.0
2000-02-14,20.309998999999998,20.309998999999998,20.309998999999998,20.309998999999998,-6.968966,1503.0
2000-02-15,20.549999,20.549999,20.549999,20.549999,-7.0513179999999975,1008.0
2000-02-16,20.299999,20.65,20.299999,20.65,-7.08563,481.0
2000-02-17,21.969998999999998,21.969998999999998,21.969998999999998,21.969998999999998,-7.538561,1100.0
2000-02-18,21.959999,21.959999,21.5,21.5,-7.3772910000000005,1250.0
2000-02-21,21.5,21.5,21.5,21.5,-7.3772910000000005,296.0
2000-02-22,21.1,21.1,21.0,21.0,-7.205727,854.0
