Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,16.6,17.0,16.5,16.5,4.799464,16310.0
2000-01-05,16.5,16.799999,16.5,16.799999,4.886727,6425.0
2000-01-06,16.52,16.799999,16.52,16.6,4.828551,7975.0
2000-01-07,16.6,16.9,16.6,16.799999,4.886727,11800.0
2000-01-10,16.799999,17.059998999999998,16.799999,17.0,4.944902,43775.0
2000-01-11,17.0,17.0,17.0,17.0,4.944902,0.0
2000-01-12,16.92,17.18,16.9,16.93,4.9245410000000005,13675.0
2000-01-13,16.92,17.08,16.9,16.940001000000002,4.92745,10100.0
2000-01-14,16.940001000000002,17.200001,16.92,17.110001,4.976898,27740.0
2000-01-17,17.110001,17.5,17.110001,17.49,5.087431,21965.0
2000-01-18,17.26,17.34,16.9,16.92,4.921631,15885.0
2000-01-19,16.860001,16.860001,16.4,16.5,4.799464,24625.0
2000-01-20,16.200001,16.4,16.1,16.200001,4.712201,15520.0
2000-01-21,16.200001,16.4,16.0,16.0,4.654026,11485.0
2000-01-24,16.0,16.120001000000002,16.0,16.0,4.654026,7040.0
2000-01-25,16.059998999999998,16.120001000000002,15.82,15.82,4.601666000000002,25800.0
2000-01-26,15.84,16.0,15.8,15.85,4.610394,26855.0
2000-01-27,15.86,16.0,15.2,15.6,4.537674,36560.0
2000-01-28,15.6,15.6,15.44,15.6,4.537674,22395.0
2000-01-31,15.6,15.8,15.5,15.6,4.537674,9060.0
2000-02-01,15.8,15.8,15.5,15.5,4.508587,4430.0
2000-02-02,15.5,15.69,15.24,15.24,4.43296,11435.0
2000-02-03,15.2,15.48,14.48,14.48,4.211893,18280.0
2000-02-04,15.0,15.0,14.5,15.0,4.363149,13005.0
2000-02-07,14.48,15.0,14.4,14.4,4.1886220000000005,11975.0
2000-02-08,14.41,14.6,13.6,14.08,4.095543,18235.0
2000-02-09,14.0,14.08,13.77,14.0,4.072272,34535.0
2000-02-10,14.0,14.14,13.9,14.0,4.072272,15375.0
2000-02-11,14.0,14.05,14.0,14.0,4.072272,17900.0
2000-02-14,14.0,14.7,14.0,14.0,4.072272,16770.0
2000-02-15,13.82,14.58,13.82,14.12,4.107178,11745.0
2000-02-16,14.6,15.0,14.2,14.7,4.275885,32895.0
2000-02-17,15.0,16.0,15.0,15.99,4.651116,23255.0
2000-02-18,16.0,16.0,15.0,15.4,4.479499,11530.0
2000-02-21,15.2,15.5,14.8,14.8,4.304973,15360.0
2000-02-22,14.8,15.0,14.8,14.8,4.304973,13590.0
2000-02-23,14.8,15.0,14.8,14.8,4.304973,11600.0
2000-02-24,14.8,14.81,14.8,14.8,4.304973,11960.0
2000-02-25,14.8,15.0,14.8,14.8,4.304973,6535.0
2000-02-28,14.8,15.0,14.8,14.8,4.304973,4180.0
2000-02-29,14.8,15.08,14.8,15.08,4.386418,19380.0
2000-03-01,14.8,15.1,14.8,15.1,4.3922370000000015,3840.0
2000-03-02,15.1,15.4,14.8,15.0,4.363149,9155.0
2000-03-03,15.4,15.4,14.59,14.8,4.304973,17515.0
2000-03-06,14.8,15.0,14.8,14.8,4.304973,8390.0
2000-03-07,14.8,14.9,14.8,14.8,4.304973,4300.0
2000-03-08,14.8,14.96,14.8,14.8,4.304973,21370.0
2000-03-09,14.81,15.0,14.8,14.82,4.310791,27560.0
2000-03-10,14.81,15.2,14.8,14.8,4.304973,5495.0
2000-03-13,14.8,14.8,14.8,14.8,4.304973,0.0
2000-03-14,15.0,15.6,15.0,15.6,4.537674,12380.0
2000-03-15,15.2,16.0,15.2,16.0,4.654026,7460.0
2000-03-16,15.6,16.0,15.3,15.94,4.636573,10090.0
2000-03-17,15.52,15.8,15.52,15.79,4.592942,11160.0
2000-03-20,15.8,16.0,15.44,15.44,4.491135,9775.0
2000-03-21,15.6,15.6,15.0,15.0,4.363149,11150.0
2000-03-22,15.0,15.4,15.0,15.0,4.363149,14740.0
2000-03-23,15.0,15.2,15.0,15.0,4.363149,5130.0
2000-03-24,15.0,15.6,15.0,15.6,4.537674,5230.0
2000-03-27,15.1,15.78,15.1,15.6,4.537674,6100.0
2000-03-28,15.5,15.78,15.1,15.78,4.590033,4645.0
2000-03-29,13.6,14.38,13.6,13.9,4.043185,145255.0
