Date,Open,High,Low,Close,Adj Close,Volume
2001-11-20,0.48,0.48,0.48,0.48,0.48,259.0
2001-11-21,,,,,,
2002-03-28,0.94,0.94,0.94,0.94,0.94,5.0
2002-04-25,1.1,1.1,1.1,1.1,1.1,820.0
2002-05-02,1.41,1.41,1.41,1.41,1.41,150.0
2002-05-03,1.45,1.45,1.45,1.45,1.45,300.0
2002-05-06,1.5,1.5,1.5,1.5,1.5,1250.0
2002-05-08,1.52,1.52,1.52,1.52,1.52,370.0
2002-05-13,1.59,1.59,1.59,1.59,1.59,50.0
2002-05-14,1.62,1.62,1.62,1.62,1.62,25.0
2002-05-21,2.07,2.07,2.07,2.07,2.07,180.0
2002-05-24,2.5,2.5,2.5,2.5,2.5,190.0
2002-05-28,3.0,3.0,3.0,3.0,3.0,1410.0
2002-05-30,3.28,3.28,3.28,3.28,3.28,60.0
2002-06-03,3.8,3.8,3.8,3.8,3.8,275.0
2002-06-05,4.25,4.25,4.25,4.25,4.25,700.0
2002-06-07,4.7,4.7,4.7,4.7,4.7,580.0
2002-06-10,4.95,4.95,4.95,4.95,4.95,100.0
2002-08-08,2.75,2.75,2.75,2.75,2.75,100.0
2002-08-15,2.5,2.5,2.5,2.5,2.5,349.0
2002-08-28,2.74,2.74,2.74,2.74,2.74,40.0
2002-10-09,1.09,1.09,1.09,1.09,1.09,1151.0
2002-10-16,1.5,1.5,1.5,1.5,1.5,399.0
2002-10-24,2.0,2.0,2.0,2.0,2.0,677.0
2002-10-28,2.0,2.0,2.0,2.0,2.0,199.0
2002-12-16,2.29,2.29,2.29,2.29,2.29,400.0
2003-04-02,1.44,1.44,1.44,1.44,1.44,400.0
2003-04-22,2.0,2.0,2.0,2.0,2.0,100.0
2003-08-05,1.24,1.24,1.24,1.24,1.24,25.0
2004-01-28,1.29,1.29,1.29,1.29,1.29,125.0
2006-05-25,2.0,2.0,2.0,2.0,2.0,720.0
2006-06-06,3.74,3.74,3.74,3.74,3.74,1018.0
2006-06-15,3.9,3.9,3.9,3.9,3.9,120.0
2006-06-16,4.2,4.2,4.2,4.2,4.2,300.0
2007-01-12,4.31,4.31,4.31,4.31,4.31,30.0
2007-02-20,25.040001,25.709999,25.040001,25.709999,25.709999,1990.0
2008-01-22,9.8,10.0,9.8,9.8,9.8,386.0
2008-09-30,4.16,4.16,4.16,4.16,4.16,50.0
2008-10-08,3.24,4.17,3.24,4.17,4.17,433.0
2009-11-23,3.25,3.25,3.25,3.25,3.25,50.0
2009-11-24,3.55,3.55,3.55,3.55,3.55,130.0
2009-12-11,4.79,4.79,4.79,4.79,4.79,250.0
2009-12-22,5.39,5.39,5.39,5.39,5.39,100.0
2010-04-08,4.2,4.2,3.9,3.9,3.9,1214.0
2010-12-07,5.52,5.52,5.52,5.52,5.52,154.0
2011-09-06,7.21,7.3,7.2,7.2,7.2,500.0
2011-09-09,5.0,5.0,5.0,5.0,5.0,365.0
2011-09-14,7.0,7.0,5.0,5.0,5.0,365.0
2011-09-16,4.3,4.4,0.01,3.0,3.0,2585.0
2014-11-27,1.8,1.8,1.8,1.8,1.8,0.0
2014-12-08,1.8,1.8,1.8,1.8,1.8,1545.0
2014-12-10,1.81,1.81,1.81,1.81,1.81,145.0
2014-12-11,1.81,1.81,1.81,1.81,1.81,0.0
2014-12-19,1.81,1.81,1.81,1.81,1.81,55.0
