Date,Open,High,Low,Close,Adj Close,Volume
2001-10-11,775.0,775.0,775.0,775.0,368.862762,6.0
2001-10-12,,,,,,
2001-10-15,771.0,771.0,771.0,771.0,366.958893,6.0
2001-10-16,777.0,777.0,777.0,777.0,369.814667,16.0
2001-10-17,771.0,771.0,771.0,771.0,366.958893,5.0
2001-10-18,760.5,760.5,760.5,760.5,361.961456,20.0
2001-10-22,765.0,765.0,765.0,765.0,364.103241,10.0
2001-10-23,765.0,765.0,765.0,765.0,364.103241,15.0
2001-10-25,777.0,777.0,777.0,777.0,369.814667,5.0
2001-10-26,765.0,765.0,765.0,765.0,364.103241,31.0
2001-10-29,765.5,765.5,765.5,765.5,364.341217,5.0
2001-10-31,761.0,761.0,761.0,761.0,362.199463,10.0
2001-11-06,765.5,765.5,765.5,765.5,364.341217,10.0
2001-11-09,768.0,768.0,768.0,768.0,365.531128,26.0
2001-11-13,765.0,765.0,765.0,765.0,364.103241,23.0
2001-11-14,768.0,768.0,768.0,768.0,365.531128,20.0
2001-11-16,761.5,761.5,761.5,761.5,362.437469,150.0
2001-11-19,770.0,770.0,770.0,770.0,366.483002,16.0
2001-11-26,765.0,765.0,765.0,765.0,364.103241,25.0
2001-11-27,765.0,765.0,765.0,765.0,364.103241,3.0
2001-11-28,800.0,800.0,800.0,800.0,380.761566,6.0
2001-11-29,766.0,766.0,766.0,766.0,364.579193,26.0
2001-12-03,800.0,800.0,800.0,800.0,380.761566,19.0
2001-12-06,802.0,802.0,802.0,802.0,381.713531,18.0
2001-12-10,800.0,800.0,800.0,800.0,380.761566,46.0
2001-12-12,800.0,800.0,800.0,800.0,380.761566,7.0
2001-12-14,776.0,776.0,776.0,776.0,369.338715,7.0
2001-12-18,810.0,810.0,810.0,810.0,385.521088,13.0
2001-12-19,810.0,810.0,810.0,810.0,385.521088,5.0
2001-12-20,781.0,781.0,781.0,781.0,371.718475,3.0
2001-12-24,782.5,782.5,782.5,782.5,372.432404,1.0
2001-12-27,783.0,783.0,783.0,783.0,372.67038,5.0
2002-01-04,785.0,785.0,785.0,785.0,373.622375,25.0
2002-01-14,787.5,787.5,787.5,787.5,374.812164,10.0
2002-01-21,798.0,798.0,798.0,798.0,379.809631,49.0
2002-01-22,798.0,798.0,798.0,798.0,379.809631,6.0
2002-01-24,859.0,859.0,859.0,859.0,408.842743,4.0
2002-01-28,804.0,804.0,804.0,804.0,382.665344,20.0
2002-01-30,800.0,800.0,800.0,800.0,380.761566,15.0
2002-01-31,787.0,787.0,787.0,787.0,374.574219,50.0
2002-02-01,790.0,790.0,790.0,790.0,376.002075,1.0
2002-02-04,790.0,790.0,790.0,790.0,376.002075,2.0
2002-02-05,790.0,790.0,790.0,790.0,376.002075,5.0
2002-02-06,787.0,787.0,787.0,787.0,374.574219,58.0
2002-02-08,799.0,799.0,799.0,799.0,380.28564500000016,13.0
2002-02-14,787.0,787.0,787.0,787.0,374.574219,20.0
2002-02-18,785.0,785.0,785.0,785.0,373.622375,182.0
2002-02-19,785.5,785.5,785.5,785.5,373.860229,100.0
2002-02-20,785.5,785.5,785.5,785.5,373.860229,134.0
2002-02-21,785.0,785.0,785.0,785.0,373.622375,88.0
2002-02-25,780.0,780.0,780.0,780.0,371.242554,223.0
2002-02-26,777.0,777.0,777.0,777.0,369.814667,110.0
2002-02-27,776.0,776.0,776.0,776.0,369.338715,10.0
2002-02-28,776.0,776.0,776.0,776.0,369.338715,57.0
2002-03-01,776.0,776.0,776.0,776.0,369.338715,302.0
2002-03-04,770.0,770.0,770.0,770.0,366.483002,804.0
2002-03-05,800.0,800.0,800.0,800.0,380.761566,39.0
2002-03-07,775.0,775.0,775.0,775.0,368.862762,25.0
2002-03-11,781.0,781.0,781.0,781.0,371.718475,9.0
2002-03-13,800.0,800.0,800.0,800.0,380.761566,20.0
2002-03-14,800.0,800.0,800.0,800.0,380.761566,10.0
2002-03-15,775.0,775.0,775.0,775.0,368.862762,75.0
2002-03-18,770.0,770.0,770.0,770.0,366.483002,63.0
2002-03-20,769.5,769.5,769.5,769.5,366.245087,5.0
2002-03-21,768.0,768.0,768.0,768.0,365.531128,40.0
2002-03-22,768.0,768.0,768.0,768.0,365.531128,45.0
2002-03-25,768.0,768.0,768.0,768.0,365.531128,13.0
2002-03-26,770.0,770.0,770.0,770.0,366.483002,5.0
2002-03-27,800.0,800.0,800.0,800.0,380.761566,22.0
2002-03-28,785.0,785.0,785.0,785.0,373.622375,3.0
2002-04-08,770.0,770.0,770.0,770.0,366.483002,12.0
2002-04-12,776.0,776.0,776.0,776.0,369.338715,11.0
2002-04-15,775.0,775.0,775.0,775.0,368.862762,16.0
2002-04-16,775.0,775.0,775.0,775.0,368.862762,45.0
2002-04-17,776.0,776.0,776.0,776.0,369.338715,15.0
2002-04-18,776.0,776.0,776.0,776.0,369.338715,5.0
2002-04-22,777.5,777.5,777.5,777.5,370.052612,2.0
2002-04-23,779.5,779.5,779.5,779.5,371.004578,10.0
2002-04-24,782.0,782.0,782.0,782.0,372.194366,1.0
2002-04-25,780.0,780.0,780.0,780.0,371.242554,24.0
2002-04-26,780.0,780.0,780.0,780.0,371.242554,21.0
2002-05-02,782.0,782.0,782.0,782.0,372.194366,4.0
2002-05-03,780.0,780.0,780.0,780.0,371.242554,45.0
2002-05-06,782.5,782.5,782.5,782.5,372.432404,12.0
2002-05-07,790.0,790.0,790.0,790.0,376.002075,4.0
2002-05-08,792.0,792.0,792.0,792.0,376.953979,18.0
2002-05-13,800.0,800.0,800.0,800.0,380.761566,8.0
2002-05-17,813.0,813.0,813.0,813.0,386.948914,10.0
2002-05-21,829.0,829.0,829.0,829.0,394.564117,51.0
2002-05-22,849.0,849.0,849.0,849.0,404.083191,78.0
2002-05-23,844.0,844.0,844.0,844.0,401.7034,40.0
2002-05-24,847.0,847.0,847.0,847.0,403.131317,26.0
2002-05-28,844.0,844.0,844.0,844.0,401.7034,10.0
2002-05-29,820.0,820.0,820.0,820.0,390.280579,10.0
2002-05-30,805.0,805.0,805.0,805.0,383.141327,22.0
2002-05-31,805.0,805.0,805.0,805.0,383.141327,10.0
2002-06-03,802.5,802.5,802.5,802.5,381.951416,30.0
2002-06-05,821.0,821.0,821.0,821.0,390.7565,10.0
2002-06-07,810.0,810.0,810.0,810.0,385.521088,30.0
2002-06-11,820.0,820.0,820.0,820.0,390.280579,20.0
2002-06-14,810.0,810.0,810.0,810.0,385.521088,10.0
2002-06-19,815.0,815.0,815.0,815.0,387.900787,18.0
2002-06-25,815.0,815.0,815.0,815.0,387.900787,2.0
2002-06-26,776.0,776.0,776.0,776.0,398.690155,7.0
2002-07-01,799.5,799.5,799.5,799.5,410.763916,10.0
2002-07-04,799.5,799.5,799.5,799.5,410.763916,35.0
2002-07-05,801.0,801.0,801.0,801.0,411.534546,40.0
2002-07-09,800.0,800.0,800.0,800.0,411.020782,20.0
2002-07-12,810.0,810.0,810.0,810.0,416.158539,10.0
2002-07-15,810.0,810.0,810.0,810.0,416.158539,5.0
2002-07-16,810.0,810.0,810.0,810.0,416.158539,33.0
2002-07-17,810.0,810.0,810.0,810.0,416.158539,9.0
2002-07-18,810.0,810.0,810.0,810.0,416.158539,35.0
2002-07-22,800.0,800.0,800.0,800.0,411.020782,31.0
2002-07-23,800.0,800.0,800.0,800.0,411.020782,10.0
2002-07-24,825.0,825.0,825.0,825.0,423.865143,50.0
2002-07-25,800.0,800.0,800.0,800.0,411.020782,2.0
2002-07-26,800.0,800.0,800.0,800.0,411.020782,40.0
2002-08-06,800.5,800.5,800.5,800.5,411.277618,10.0
2002-08-12,800.0,800.0,800.0,800.0,411.020782,25.0
2002-08-16,802.0,802.0,802.0,802.0,412.048309,10.0
2002-08-19,805.0,805.0,805.0,805.0,413.589661,8.0
2002-08-22,819.0,819.0,819.0,819.0,420.78244000000007,8.0
2002-08-27,820.0,820.0,820.0,820.0,421.296326,65.0
2002-09-03,811.0,811.0,811.0,811.0,416.672302,16.0
2002-09-05,840.0,840.0,840.0,840.0,431.571747,10.0
2002-09-09,824.5,824.5,824.5,824.5,423.608246,5.0
2002-09-11,825.0,825.0,825.0,825.0,423.865143,125.0
2002-09-12,825.0,825.0,825.0,825.0,423.865143,5.0
2002-09-16,820.0,820.0,820.0,820.0,421.296326,20.0
2002-09-17,820.0,820.0,820.0,820.0,421.296326,5.0
2002-09-20,820.0,820.0,820.0,820.0,421.296326,10.0
2002-09-23,825.0,825.0,825.0,825.0,423.865143,34.0
2002-09-27,826.0,826.0,826.0,826.0,424.378998,25.0
2002-09-30,830.0,830.0,830.0,830.0,426.43399000000005,7.0
2002-10-01,830.0,830.0,830.0,830.0,426.43399000000005,29.0
2002-10-07,835.0,835.0,835.0,835.0,429.002991,15.0
2002-10-09,830.0,830.0,830.0,830.0,426.43399000000005,10.0
2002-10-11,835.0,835.0,835.0,835.0,429.002991,17.0
2002-10-14,840.0,840.0,840.0,840.0,431.571747,21.0
2002-10-16,820.0,820.0,820.0,820.0,421.296326,6.0
2002-10-22,840.0,840.0,840.0,840.0,431.571747,15.0
2002-10-24,840.0,840.0,840.0,840.0,431.571747,12.0
2002-10-25,845.0,845.0,845.0,845.0,434.140686,11.0
2002-10-28,845.0,845.0,845.0,845.0,434.140686,25.0
2002-10-29,845.0,845.0,845.0,845.0,434.140686,19.0
2002-10-30,845.0,845.0,845.0,845.0,434.140686,20.0
2002-11-04,845.0,845.0,845.0,845.0,434.140686,6.0
2002-11-05,845.0,845.0,845.0,845.0,434.140686,15.0
2002-11-08,850.0,850.0,850.0,850.0,436.709564,16.0
2002-11-12,850.0,850.0,850.0,850.0,436.709564,25.0
2002-11-13,850.0,850.0,850.0,850.0,436.709564,14.0
2002-11-18,846.0,846.0,846.0,846.0,434.654419,20.0
2002-11-19,846.0,846.0,846.0,846.0,434.654419,28.0
2002-11-21,846.0,846.0,846.0,846.0,434.654419,10.0
2002-11-26,802.0,802.0,802.0,802.0,412.048309,42.0
2002-11-28,802.0,802.0,802.0,802.0,412.048309,61.0
2002-12-02,835.0,835.0,835.0,835.0,429.002991,45.0
2002-12-04,845.0,845.0,845.0,845.0,434.140686,10.0
