Date,Close,High,Low,Open,Symbol,Volume
1998-07-20,3.0555,3.1462,3.0555,3.1311,XAMS:ARCAD,129804
1998-07-21,3.1008,3.1008,3.0403,3.1008,XAMS:ARCAD,262242
1998-07-22,3.116,3.1462,3.0706,3.1008,XAMS:ARCAD,17364
1998-07-23,3.1613,3.1613,3.1008,3.1462,XAMS:ARCAD,22314
1998-07-24,3.1008,3.1462,3.1008,3.1462,XAMS:ARCAD,9498
1998-07-27,3.1462,3.1462,3.1008,3.1008,XAMS:ARCAD,18459
1998-07-28,3.0555,3.1462,3.0555,3.1462,XAMS:ARCAD,61842
1998-07-29,3.0555,3.1008,3.0555,3.1008,XAMS:ARCAD,19701
1998-07-30,3.0252,3.0555,2.9949,3.0555,XAMS:ARCAD,44622
1998-07-31,3.0101,3.0252,2.9496,3.0252,XAMS:ARCAD,147846
1998-08-03,2.9798,3.1008,2.9798,3.0252,XAMS:ARCAD,47610
1998-08-04,3.0252,3.0555,3.0252,3.0252,XAMS:ARCAD,57408
1998-08-05,3.0252,3.0252,2.9647,2.9647,XAMS:ARCAD,83883
1998-08-06,3.0252,3.0857,3.0252,3.0857,XAMS:ARCAD,58491
1998-08-07,2.9496,3.0252,2.9193,3.0252,XAMS:ARCAD,115161
1998-08-10,2.7983,2.9798,2.7227,2.9496,XAMS:ARCAD,334974
1998-08-11,2.7983,2.8286,2.7983,2.8134,XAMS:ARCAD,257931
1998-08-12,2.7832,2.7983,2.7378,2.7681,XAMS:ARCAD,31710
1998-08-13,2.7983,2.8134,2.7681,2.7983,XAMS:ARCAD,47433
1998-08-14,2.7983,2.7983,2.7529,2.7529,XAMS:ARCAD,14730
1998-08-17,2.7832,2.7983,2.7832,2.7983,XAMS:ARCAD,15477
1998-08-18,2.7529,2.7983,2.7227,2.7983,XAMS:ARCAD,154875
1998-08-19,2.6773,2.7983,2.6773,2.7529,XAMS:ARCAD,222684
1998-08-20,2.7227,2.7832,2.7227,2.7529,XAMS:ARCAD,66504
1998-08-21,2.7227,2.7529,2.7227,2.7227,XAMS:ARCAD,48540
1998-08-24,2.7076,2.7227,2.6924,2.7227,XAMS:ARCAD,61260
1998-08-25,2.7227,2.7227,2.7076,2.7227,XAMS:ARCAD,26502
1998-08-26,2.7227,2.7227,2.6924,2.7227,XAMS:ARCAD,30387
1998-08-27,2.7227,2.7227,2.6773,2.7227,XAMS:ARCAD,75186
1998-08-28,2.5865,2.6924,2.4958,2.6773,XAMS:ARCAD,83313
1998-08-31,2.5714,2.5714,2.4958,2.5714,XAMS:ARCAD,44313
1998-09-01,2.4958,2.5714,2.4202,2.4958,XAMS:ARCAD,30447
1998-09-02,2.5714,2.647,2.5412,2.5412,XAMS:ARCAD,42093
1998-09-03,2.5412,2.5714,2.4958,2.5412,XAMS:ARCAD,55395
1998-09-04,2.5109,2.5109,2.4958,2.4958,XAMS:ARCAD,43890
1998-09-07,2.526,2.5714,2.4958,2.4958,XAMS:ARCAD,62664
1998-09-08,2.4958,2.5714,2.4353,2.5714,XAMS:ARCAD,35286
1998-09-09,2.4958,2.526,2.4958,2.526,XAMS:ARCAD,7365
1998-09-10,2.4202,2.4958,2.4202,2.4958,XAMS:ARCAD,46485
1998-09-11,2.405,2.4202,2.2992,2.3445,XAMS:ARCAD,72390
1998-09-14,2.4202,2.4202,2.3445,2.405,XAMS:ARCAD,53202
1998-09-15,2.3597,2.4504,2.3597,2.4504,XAMS:ARCAD,46686
1998-09-16,2.3597,2.4353,2.3445,2.4353,XAMS:ARCAD,14859
1998-09-17,2.2992,2.3899,2.2992,2.3899,XAMS:ARCAD,18180
