Date,Close,High,Low,Open,Symbol,Volume
2016-06-10,20.0,20.9,19.815,20.45,XAMS:ASRNL,15853702
2016-06-13,19.645,19.85,19.51,19.8,XAMS:ASRNL,1545430
2016-06-14,19.5,19.665,19.5,19.525,XAMS:ASRNL,2880747
2016-06-15,19.55,19.65,19.5,19.545,XAMS:ASRNL,630248
2016-06-16,19.5,19.55,19.5,19.5,XAMS:ASRNL,2059864
2016-06-17,19.525,19.605,19.515,19.54,XAMS:ASRNL,191315
2016-06-20,19.9,19.94,19.6,19.63,XAMS:ASRNL,484575
2016-06-21,19.75,19.88,19.715,19.85,XAMS:ASRNL,168188
2016-06-22,19.785,19.84,19.5,19.84,XAMS:ASRNL,505830
2016-06-23,20.07,20.095,19.645,19.65,XAMS:ASRNL,746485
2016-06-24,19.22,19.37,19.05,19.3,XAMS:ASRNL,2536514
2016-06-27,18.25,19.22,18.25,19.1,XAMS:ASRNL,1364114
2016-06-28,18.41,18.575,18.25,18.5,XAMS:ASRNL,338070
2016-06-29,18.8,19.33,18.61,18.615,XAMS:ASRNL,153375
2016-06-30,19.45,19.54,18.8,18.805,XAMS:ASRNL,181991
2016-07-01,19.2,19.355,19.19,19.345,XAMS:ASRNL,145186
2016-07-04,18.86,19.37,18.86,19.335,XAMS:ASRNL,43583
2016-07-05,18.63,18.985,18.63,18.76,XAMS:ASRNL,48840
2016-07-06,17.245,18.6,17.19,18.585,XAMS:ASRNL,512695
2016-07-07,17.14,17.6,17.14,17.29,XAMS:ASRNL,598808
2016-07-08,17.465,17.585,17.15,17.15,XAMS:ASRNL,254002
2016-07-11,17.235,17.8,17.2,17.8,XAMS:ASRNL,95162
2016-07-12,17.3,17.48,17.2,17.225,XAMS:ASRNL,198175
2016-07-13,17.2,17.38,17.2,17.295,XAMS:ASRNL,95268
2016-07-14,17.145,17.37,17.0,17.2,XAMS:ASRNL,87527
2016-07-15,17.2,17.4,17.1,17.15,XAMS:ASRNL,171836
2016-07-18,17.195,17.37,17.18,17.23,XAMS:ASRNL,62816
2016-07-19,17.22,17.5,17.05,17.47,XAMS:ASRNL,56131
2016-07-20,17.8,18.155,17.545,18.09,XAMS:ASRNL,280726
2016-07-21,17.785,18.035,17.65,17.88,XAMS:ASRNL,97681
2016-07-22,17.885,17.95,17.8,17.87,XAMS:ASRNL,75168
2016-07-25,17.72,18.0,17.72,17.815,XAMS:ASRNL,67533
2016-07-26,17.695,17.9,17.67,17.73,XAMS:ASRNL,24457
2016-07-27,17.675,17.895,17.645,17.7,XAMS:ASRNL,55521
2016-07-28,17.38,17.845,17.31,17.635,XAMS:ASRNL,94895
2016-07-29,17.925,17.98,17.5,17.5,XAMS:ASRNL,91486
2016-08-01,18.42,18.605,17.92,17.97,XAMS:ASRNL,311397
2016-08-02,18.335,18.55,18.05,18.53,XAMS:ASRNL,83002
2016-08-03,18.26,18.5,18.255,18.33,XAMS:ASRNL,28820
2016-08-04,18.4,18.45,18.215,18.4,XAMS:ASRNL,71584
2016-08-05,18.15,18.48,18.04,18.43,XAMS:ASRNL,61086
2016-08-08,18.3,18.395,18.18,18.18,XAMS:ASRNL,51267
2016-08-09,18.37,18.43,18.205,18.35,XAMS:ASRNL,33139
2016-08-10,18.64,18.75,18.3,18.39,XAMS:ASRNL,70099
2016-08-11,18.45,18.64,18.375,18.64,XAMS:ASRNL,69570
2016-08-12,18.715,18.8,18.45,18.45,XAMS:ASRNL,76913
2016-08-15,18.6,18.61,18.395,18.575,XAMS:ASRNL,78033
2016-08-16,18.31,18.45,18.28,18.45,XAMS:ASRNL,46047
2016-08-17,18.285,18.33,18.115,18.33,XAMS:ASRNL,37048
2016-08-18,18.48,18.64,18.3,18.35,XAMS:ASRNL,130292
2016-08-19,18.5,18.595,18.29,18.595,XAMS:ASRNL,60380
2016-08-22,18.59,18.68,18.4,18.4,XAMS:ASRNL,86278
2016-08-23,19.165,19.18,18.61,18.68,XAMS:ASRNL,106324
2016-08-24,18.85,19.975,18.805,19.975,XAMS:ASRNL,395985
2016-08-25,18.49,18.92,18.345,18.885,XAMS:ASRNL,158507
2016-08-26,18.635,18.76,18.49,18.495,XAMS:ASRNL,156198
2016-08-29,18.71,18.79,18.6,18.65,XAMS:ASRNL,56951
2016-08-30,18.855,18.965,18.78,18.84,XAMS:ASRNL,49605
2016-08-31,19.03,19.12,18.765,18.935,XAMS:ASRNL,125740
2016-09-01,19.05,19.095,18.905,18.99,XAMS:ASRNL,113318
2016-09-02,19.13,19.24,19.01,19.05,XAMS:ASRNL,90000
2016-09-05,19.02,19.21,19.015,19.15,XAMS:ASRNL,28938
2016-09-06,18.97,19.15,18.82,19.1,XAMS:ASRNL,43393
2016-09-07,19.06,19.095,18.89,19.04,XAMS:ASRNL,44974
2016-09-08,19.085,19.145,18.96,19.095,XAMS:ASRNL,76141
2016-09-09,19.305,19.315,19.1,19.1,XAMS:ASRNL,99827
2016-09-12,19.055,19.19,19.0,19.15,XAMS:ASRNL,124940
2016-09-13,18.65,19.15,18.65,19.1,XAMS:ASRNL,68001
2016-09-14,18.5,18.72,18.47,18.72,XAMS:ASRNL,147485
2016-09-15,18.74,18.8,18.525,18.55,XAMS:ASRNL,72740
2016-09-16,18.785,18.8,18.525,18.655,XAMS:ASRNL,97771
2016-09-19,18.855,19.0,18.79,18.835,XAMS:ASRNL,58467
2016-09-20,18.455,18.855,18.245,18.85,XAMS:ASRNL,78779
2016-09-21,18.51,18.66,18.465,18.53,XAMS:ASRNL,45561
2016-09-22,18.555,18.66,18.475,18.66,XAMS:ASRNL,186859
