Date,Close,High,Low,Open,Symbol,Volume
2014-01-31,7.1452,7.4627,7.0752,7.0752,XAMS:ATC,47674753
2014-02-03,7.2502,7.3252,7.204,7.2877,XAMS:ATC,4974724
2014-02-04,7.169,7.2802,7.1252,7.2802,XAMS:ATC,1819549
2014-02-05,7.2502,7.2927,7.1802,7.2127,XAMS:ATC,3225621
2014-02-06,7.2502,7.2752,7.2502,7.2515,XAMS:ATC,1017599
2014-02-07,7.338999999999999,7.369,7.2502,7.2527,XAMS:ATC,2347602
2014-02-10,7.3877,7.449,7.359,7.3727,XAMS:ATC,1294903
2014-02-11,7.3877,7.4727,7.3765,7.4727,XAMS:ATC,1351030
2014-02-12,7.4377,7.4727,7.3627,7.3877,XAMS:ATC,826072
2014-02-13,7.4377,7.4752,7.3527,7.3527,XAMS:ATC,498698
2014-02-14,7.4289999999999985,7.4977,7.4202,7.4977,XAMS:ATC,648433
2014-02-17,7.5252,7.5702,7.404,7.4852,XAMS:ATC,922606
2014-02-18,7.4877,7.704,7.479,7.704,XAMS:ATC,1332066
2014-02-19,7.5252,7.5902,7.4002,7.4415,XAMS:ATC,685004
2014-02-20,7.4752,7.504,7.3915,7.3915,XAMS:ATC,254844
2014-02-21,7.4902,7.524,7.4602,7.4877,XAMS:ATC,408524
2014-02-24,7.8002,7.8615,7.499,7.5002,XAMS:ATC,1704540
2014-02-25,7.7777,7.8665,7.734,7.7877,XAMS:ATC,306775
2014-02-26,7.8377,7.869,7.7189999999999985,7.8127,XAMS:ATC,270032
2014-02-27,7.8252,8.3752,7.814,8.1552,XAMS:ATC,375221
2014-02-28,7.8752,7.9027,7.8252,7.8252,XAMS:ATC,427188
2014-03-03,7.7527,7.8302,7.7002,7.7027,XAMS:ATC,272632
2014-03-04,7.8752,7.8752,7.7827,7.7827,XAMS:ATC,220345
2014-03-05,7.8527,7.9002,7.838999999999999,7.9002,XAMS:ATC,82993
2014-03-06,7.5252,7.9015,7.4502,7.8752,XAMS:ATC,739811
2014-03-07,7.4027,7.6502,7.3252,7.6502,XAMS:ATC,290603
2014-03-10,6.8777,7.279,6.3764,7.2752,XAMS:ATC,3133972
2014-03-11,7.0502,7.0902,6.7502,6.8777,XAMS:ATC,1914734
2014-03-12,7.1252,7.1252,6.9827,7.0502,XAMS:ATC,1665437
2014-03-13,6.9827,7.6252,6.9127,7.3252,XAMS:ATC,323970
2014-03-14,7.5002,8.0652,6.6839,7.1252,XAMS:ATC,4302951
2014-03-17,7.6252,7.6877,7.5002,7.5752,XAMS:ATC,477418
2014-03-18,8.0002,8.0002,7.5002,7.6277,XAMS:ATC,382941
2014-03-19,8.2877,8.4377,7.9752,7.9752,XAMS:ATC,457455
2014-03-20,8.0752,8.5002,7.7627,8.3627,XAMS:ATC,886511
2014-03-21,8.0802,8.3477,7.7865,7.9977,XAMS:ATC,309843
2014-03-24,7.8002,8.2502,7.8002,8.2502,XAMS:ATC,100145
2014-03-25,7.8252,8.099,7.8215,7.8677,XAMS:ATC,40086
2014-03-26,7.9227,8.0477,7.6965,7.8502,XAMS:ATC,382561
2014-03-27,8.0502,8.1002,7.8127,7.9215,XAMS:ATC,542988
2014-03-28,7.9252,8.2252,7.7315,8.1252,XAMS:ATC,850984
2014-03-31,8.0852,8.1977,7.814,8.1977,XAMS:ATC,617678
2014-04-01,8.0252,8.1752,7.9752,8.1252,XAMS:ATC,630294
2014-04-02,7.9627,8.0752,7.8977,8.0002,XAMS:ATC,488078
2014-04-03,7.8377,8.0002,7.8127,7.9627,XAMS:ATC,565056
2014-04-04,7.5352,8.0002,7.3277,7.8252,XAMS:ATC,809229
2014-04-07,8.4002,8.5002,7.9402,8.2002,XAMS:ATC,1759990
2014-04-08,8.8102,8.9102,8.3127,8.4977,XAMS:ATC,777034
2014-04-09,8.9002,9.344,8.8502,8.9152,XAMS:ATC,347902
2014-04-10,8.8752,9.1103,8.7715,9.1103,XAMS:ATC,256244
2014-04-11,8.8627,8.9578,8.738999999999999,8.8502,XAMS:ATC,126752
2014-04-14,8.8802,9.049,8.8502,9.049,XAMS:ATC,87993
2014-04-15,8.9002,9.0003,8.874,8.8752,XAMS:ATC,220037
2014-04-16,8.9002,9.0378,8.8852,9.0378,XAMS:ATC,289527
2014-04-17,9.0328,9.2878,8.9328,9.0003,XAMS:ATC,363453
2014-04-18,9.0328,9.0328,9.0328,9.0328,XAMS:ATC,0
2014-04-21,9.0328,9.0328,9.0328,9.0328,XAMS:ATC,0
