Date,Close,High,Low,Open,Symbol,Volume
2015-08-10,29.0,32.0,28.9,31.95,XAMS:ATCB,530132
2015-08-11,29.58,29.895,28.6,29.5,XAMS:ATCB,421912
2015-08-12,27.5,29.89,27.155,29.11,XAMS:ATCB,293997
2015-08-13,27.115,28.5,26.785,28.445,XAMS:ATCB,568738
2015-08-14,27.1,28.45,26.65,27.455,XAMS:ATCB,1001771
2015-08-17,27.1,27.5,26.605,27.5,XAMS:ATCB,374418
2015-08-18,28.64,28.78,26.67,26.955,XAMS:ATCB,640733
2015-08-19,28.5,29.2,28.5,29.0,XAMS:ATCB,90551
2015-08-20,27.5,29.19,25.505,29.19,XAMS:ATCB,331235
2015-08-21,26.5,28.11,25.41,26.55,XAMS:ATCB,439732
2015-08-24,25.555,26.07,22.5,25.0,XAMS:ATCB,424939
2015-08-25,27.5,27.615,25.04,25.22,XAMS:ATCB,255908
2015-08-26,26.45,27.425,25.63,26.5,XAMS:ATCB,567880
2015-08-27,27.0,27.335,26.37,26.37,XAMS:ATCB,345886
2015-08-28,26.96,27.25,26.635,27.1,XAMS:ATCB,107520
2015-08-31,27.98,27.98,25.87,26.31,XAMS:ATCB,332502
2015-09-01,25.68,27.845,25.445,27.395,XAMS:ATCB,132911
2015-09-02,25.95,26.03,25.295,25.43,XAMS:ATCB,271312
2015-09-03,26.22,26.725,25.525,26.045,XAMS:ATCB,98957
2015-09-04,25.35,26.4,25.235,26.4,XAMS:ATCB,80556
2015-09-07,25.495,26.315,25.21,25.51,XAMS:ATCB,34581
2015-09-08,25.315,26.23,25.315,26.23,XAMS:ATCB,61836
2015-09-09,26.0,26.86,26.0,26.265,XAMS:ATCB,213329
2015-09-10,25.8,26.35,25.275,25.785,XAMS:ATCB,87758
2015-09-11,24.73,26.0,24.73,26.0,XAMS:ATCB,116010
2015-09-14,24.535,25.12,24.225,24.95,XAMS:ATCB,108361
2015-09-15,25.58,26.065,24.205,24.205,XAMS:ATCB,70687
2015-09-16,25.625,26.45,25.51,25.72,XAMS:ATCB,118037
2015-09-17,26.16,29.05,25.85,26.62,XAMS:ATCB,404393
2015-09-18,25.48,26.305,24.45,26.16,XAMS:ATCB,208673
2015-09-21,25.38,25.99,25.06,25.06,XAMS:ATCB,174417
2015-09-22,23.8,25.22,23.53,25.22,XAMS:ATCB,175401
2015-09-23,22.58,23.795,22.58,23.445,XAMS:ATCB,91100
2015-09-24,22.47,23.54,22.27,22.27,XAMS:ATCB,57590
2015-09-25,23.3,23.975,23.125,23.975,XAMS:ATCB,52414
2015-09-28,22.4,23.665,22.065,23.245,XAMS:ATCB,80830
2015-09-29,19.975,22.095,19.855,21.45,XAMS:ATCB,136011
2015-09-30,19.965,20.58,18.45,20.47,XAMS:ATCB,180333
2015-10-01,17.4,19.755,16.8,19.68,XAMS:ATCB,3042273
2015-10-02,17.58,18.08,17.315,17.59,XAMS:ATCB,305507
2015-10-05,18.37,18.6,17.835,17.835,XAMS:ATCB,217554
2015-10-06,19.5,19.63,18.375,18.64,XAMS:ATCB,397677
2015-10-07,20.38,20.775,19.665,19.88,XAMS:ATCB,1412241
2015-10-08,20.255,20.955,20.05,20.5,XAMS:ATCB,796946
2015-10-09,20.75,21.02,20.54,20.62,XAMS:ATCB,756734
2015-10-12,20.21,21.165,20.115,20.865,XAMS:ATCB,221080
2015-10-13,20.34,20.445,19.58,20.29,XAMS:ATCB,759695
2015-10-14,20.25,20.77,19.88,20.4,XAMS:ATCB,272041
2015-10-15,20.64,20.765,20.09,20.55,XAMS:ATCB,358490
2015-10-16,20.25,20.865,20.175,20.645,XAMS:ATCB,249825
2015-10-19,20.21,20.51,20.085,20.125,XAMS:ATCB,272219
2015-10-20,19.99,20.5,19.93,20.07,XAMS:ATCB,185711
2015-10-21,18.53,20.165,18.21,19.975,XAMS:ATCB,286661
2015-10-22,18.08,18.645,17.575,18.425,XAMS:ATCB,475808
2015-10-23,18.22,18.73,18.055,18.16,XAMS:ATCB,1051909
2015-10-26,18.48,18.53,18.08,18.155,XAMS:ATCB,168718
2015-10-27,18.81,19.425,18.675,19.11,XAMS:ATCB,441345
2015-10-28,17.32,18.775,16.3,18.775,XAMS:ATCB,1106878
2015-10-29,16.61,17.275,16.59,17.275,XAMS:ATCB,247365
2015-10-30,16.15,16.88,16.025,16.76,XAMS:ATCB,331672
2015-11-02,16.745,16.91,16.045,16.11,XAMS:ATCB,193242
2015-11-03,17.4,17.88,16.885,16.98,XAMS:ATCB,260787
2015-11-04,16.91,17.54,16.775,17.38,XAMS:ATCB,196456
2015-11-05,16.275,17.12,16.275,16.885,XAMS:ATCB,248023
2015-11-06,16.35,16.5,16.1,16.3,XAMS:ATCB,143379
2015-11-09,16.46,16.77,16.23,16.58,XAMS:ATCB,58306
2015-11-10,16.325,16.65,16.235,16.5,XAMS:ATCB,82307
2015-11-11,16.865,16.96,16.285,16.325,XAMS:ATCB,77888
2015-11-12,16.195,16.805,16.165,16.79,XAMS:ATCB,115927
2015-11-13,15.755,16.22,15.655,16.22,XAMS:ATCB,63697
2015-11-16,15.11,15.61,14.98,15.45,XAMS:ATCB,106361
2015-11-17,15.305,15.745,15.105,15.475,XAMS:ATCB,130589
2015-11-18,14.98,15.25,14.915,15.07,XAMS:ATCB,54772
2015-11-19,14.38,15.14,14.27,15.125,XAMS:ATCB,123847
2015-11-20,13.77,14.515,13.49,14.435,XAMS:ATCB,248864
2015-11-23,14.635,14.7,13.61,13.62,XAMS:ATCB,191617
2015-11-24,13.15,13.9,13.055,13.8,XAMS:ATCB,330428
