Date,Close,High,Low,Open,Symbol,Volume
2009-08-19,3.92,4.0,3.82,3.85,XAMS:ATRS,218315
2009-08-20,3.92,4.0,3.85,4.0,XAMS:ATRS,3546093
2009-08-21,4.02,4.04,3.94,3.95,XAMS:ATRS,186136
2009-08-24,4.3,4.3,4.04,4.05,XAMS:ATRS,277560
2009-08-25,4.37,4.42,4.27,4.3,XAMS:ATRS,599443
2009-08-26,4.3,4.35,4.21,4.32,XAMS:ATRS,61250
2009-08-27,4.35,4.35,4.2,4.2,XAMS:ATRS,11609
2009-08-28,4.38,4.38,4.25,4.38,XAMS:ATRS,1550
2009-08-31,4.36,4.38,4.21,4.38,XAMS:ATRS,8735
2009-09-01,4.27,4.27,4.21,4.21,XAMS:ATRS,3250
2009-09-02,4.23,4.26,4.22,4.22,XAMS:ATRS,14567
2009-09-03,4.36,4.36,4.23,4.23,XAMS:ATRS,2511
2009-09-04,4.3,4.33,4.3,4.33,XAMS:ATRS,506
2009-09-07,4.38,4.4,4.29,4.31,XAMS:ATRS,58240
2009-09-08,4.55,4.55,4.4,4.4,XAMS:ATRS,110601
2009-09-09,4.66,4.85,4.55,4.55,XAMS:ATRS,33018
2009-09-10,4.5,4.75,4.5,4.75,XAMS:ATRS,16401
2009-09-11,4.5,4.55,4.43,4.43,XAMS:ATRS,9189
2009-09-14,4.44,4.44,4.35,4.35,XAMS:ATRS,12266
2009-09-15,4.41,4.53,4.4,4.4,XAMS:ATRS,13449
2009-09-16,4.39,4.5,3.75,3.75,XAMS:ATRS,4466
2009-09-17,4.25,4.25,4.2,4.2,XAMS:ATRS,2990
2009-09-18,4.5,4.5,4.5,4.5,XAMS:ATRS,1450
2009-09-21,4.58,4.58,4.58,4.58,XAMS:ATRS,500
2009-09-22,4.65,4.65,4.58,4.58,XAMS:ATRS,1046
2009-09-23,4.69,4.69,4.57,4.57,XAMS:ATRS,7104
2009-09-24,4.76,4.92,4.75,4.92,XAMS:ATRS,25302
2009-09-25,4.69,4.75,4.69,4.75,XAMS:ATRS,10869
2009-09-28,4.75,4.75,4.55,4.55,XAMS:ATRS,10811
2009-09-29,5.09,5.09,4.83,4.85,XAMS:ATRS,6839
2009-09-30,4.69,5.13,4.69,5.12,XAMS:ATRS,3641
2009-10-01,4.9,4.92,4.9,4.92,XAMS:ATRS,20350
2009-10-02,4.7,4.96,4.7,4.75,XAMS:ATRS,26896
2009-10-05,4.5,4.77,4.5,4.75,XAMS:ATRS,56700
2009-10-06,4.77,4.87,4.7,4.71,XAMS:ATRS,57720
2009-10-07,4.8,4.8,4.8,4.8,XAMS:ATRS,200
2009-10-08,4.88,4.88,4.87,4.87,XAMS:ATRS,10790
2009-10-09,4.93,4.93,4.85,4.85,XAMS:ATRS,2080
2009-10-12,4.94,4.94,4.93,4.93,XAMS:ATRS,650
2009-10-13,4.89,4.89,4.89,4.89,XAMS:ATRS,1645
2009-10-14,4.89,5.18,4.89,5.18,XAMS:ATRS,5000
2009-10-15,4.94,4.94,4.94,4.94,XAMS:ATRS,1500
2009-10-16,4.94,4.94,4.94,4.94,XAMS:ATRS,0
2009-10-19,4.92,4.98,4.85,4.98,XAMS:ATRS,15100
2009-10-20,4.95,4.95,4.94,4.94,XAMS:ATRS,8651
2009-10-21,4.91,4.91,4.91,4.91,XAMS:ATRS,4800
2009-10-22,4.98,4.98,4.88,4.88,XAMS:ATRS,1809
2009-10-23,4.98,4.98,4.88,4.88,XAMS:ATRS,0
2009-10-26,5.3,6.5,5.0,5.0,XAMS:ATRS,5660
2009-10-27,4.7,5.0,4.35,5.0,XAMS:ATRS,29732
2009-10-28,4.5,4.6,4.32,4.32,XAMS:ATRS,4025
2009-10-29,4.7,4.7,4.67,4.67,XAMS:ATRS,4212
2009-10-30,4.7,4.7,4.67,4.67,XAMS:ATRS,0
2009-11-02,4.7,4.7,4.67,4.67,XAMS:ATRS,0
2009-11-03,4.69,4.69,4.41,4.49,XAMS:ATRS,12516
2009-11-04,4.36,4.42,4.36,4.42,XAMS:ATRS,11938
2009-11-05,4.38,4.38,4.35,4.35,XAMS:ATRS,4615
2009-11-06,4.56,4.56,4.56,4.56,XAMS:ATRS,6800
2009-11-09,4.56,4.56,4.56,4.56,XAMS:ATRS,0
2009-11-10,4.56,4.56,4.56,4.56,XAMS:ATRS,0
2009-11-11,4.56,4.56,4.48,4.48,XAMS:ATRS,800
