Date,Close,High,Low,Open,Symbol,Volume
2007-09-18,16.2842,16.9627,15.3662,16.9627,XAMS:AXS,65255
2007-09-19,16.364,16.364,15.9649,16.3241,XAMS:AXS,6251
2007-09-20,16.4837,16.8429,16.364,16.364,XAMS:AXS,35374
2007-09-21,16.8429,16.8429,16.5636,16.8429,XAMS:AXS,1852
2007-09-24,16.6833,17.1622,16.6833,17.1622,XAMS:AXS,1820
2007-09-25,16.3241,16.6833,15.9649,16.6833,XAMS:AXS,1991
2007-09-26,16.3241,16.5236,15.5658,16.3241,XAMS:AXS,4289
2007-09-27,15.9649,15.9649,15.9649,15.9649,XAMS:AXS,1954
2007-09-28,16.6833,16.6833,15.9649,15.9649,XAMS:AXS,135
2007-10-01,16.9228,16.9228,16.4438,16.5636,XAMS:AXS,16710
2007-10-02,16.4438,16.5636,15.7653,16.364,XAMS:AXS,5971
2007-10-03,16.2842,16.2842,15.7653,15.8451,XAMS:AXS,2129
2007-10-04,16.9228,16.9228,15.5658,15.5658,XAMS:AXS,5011
2007-10-05,16.8829,16.8829,16.8829,16.8829,XAMS:AXS,0
2007-10-08,16.5636,16.5636,15.5658,15.6057,XAMS:AXS,9003
2007-10-09,16.5236,16.5236,15.7653,15.8052,XAMS:AXS,1378
2007-10-10,16.5636,16.5636,15.6456,15.6456,XAMS:AXS,759
2007-10-11,15.9649,16.1245,15.6456,15.7254,XAMS:AXS,4751
2007-10-12,16.0846,16.364,15.5658,16.364,XAMS:AXS,673
2007-10-15,16.0447,16.5236,15.1666,16.5236,XAMS:AXS,2229
2007-10-16,15.4859,15.5658,15.4859,15.5658,XAMS:AXS,3820
2007-10-17,15.5658,15.5658,15.5258,15.5258,XAMS:AXS,338
2007-10-18,15.7653,15.7653,15.1666,15.1666,XAMS:AXS,300
2007-10-19,16.0048,16.0048,16.0048,16.0048,XAMS:AXS,62
2007-10-22,15.6456,15.9649,15.6456,15.9649,XAMS:AXS,250
2007-10-23,15.4859,15.6855,15.4859,15.6855,XAMS:AXS,726
2007-10-24,15.6456,15.9649,15.6456,15.9649,XAMS:AXS,628
2007-10-25,15.9649,15.9649,15.9649,15.9649,XAMS:AXS,123
2007-10-26,16.0048,16.0048,15.6057,16.0048,XAMS:AXS,134
2007-10-29,15.7653,16.0048,15.3662,15.4061,XAMS:AXS,4034
2007-10-30,14.8473,15.925,14.8473,14.8473,XAMS:AXS,0
2007-10-31,15.0469,15.0469,15.0469,15.0469,XAMS:AXS,150
2007-11-01,14.7675,14.7675,14.3684,14.4083,XAMS:AXS,2920
2007-11-02,14.7675,14.7675,14.1688,14.7675,XAMS:AXS,31456
2007-11-05,14.0092,14.4482,14.0092,14.0092,XAMS:AXS,0
2007-11-06,13.8894,14.2087,13.6101,14.0092,XAMS:AXS,7480
2007-11-07,14.0092,14.0092,13.0114,13.0114,XAMS:AXS,570
2007-11-08,12.3728,14.0092,12.3728,12.3728,XAMS:AXS,0
2007-11-09,14.1688,14.1688,13.3706,13.7697,XAMS:AXS,403
2007-11-12,15.2864,15.2864,13.3307,14.3684,XAMS:AXS,71
2007-11-13,13.9693,13.9693,13.9693,13.9693,XAMS:AXS,3758
2007-11-14,14.7675,14.9671,13.8096,14.9671,XAMS:AXS,3923
2007-11-15,13.9693,14.568,13.9693,13.9693,XAMS:AXS,0
2007-11-16,14.7675,14.7675,13.9693,13.9693,XAMS:AXS,3051
2007-11-19,15.9649,15.9649,14.7675,15.7254,XAMS:AXS,1352
2007-11-20,15.1267,16.0846,14.3684,16.0846,XAMS:AXS,1929
2007-11-21,15.5258,15.5258,13.2908,13.2908,XAMS:AXS,75
2007-11-22,13.6101,15.3662,13.6101,13.6101,XAMS:AXS,0
2007-11-23,13.65,15.3662,13.65,13.65,XAMS:AXS,0
2007-11-26,14.3285,14.3285,14.3285,14.3285,XAMS:AXS,62
2007-11-27,15.007,15.007,15.007,15.007,XAMS:AXS,12
2007-11-28,14.7675,14.7675,13.171,13.2109,XAMS:AXS,32095
2007-11-29,14.3684,14.3684,13.9693,13.9693,XAMS:AXS,87
2007-11-30,14.3684,14.3684,13.7298,13.9693,XAMS:AXS,12940
2007-12-03,13.9693,13.9693,13.9693,13.9693,XAMS:AXS,2029
2007-12-04,13.5701,15.7653,13.5701,13.5701,XAMS:AXS,0
2007-12-05,14.3684,14.3684,13.5701,13.6101,XAMS:AXS,429
2007-12-06,14.0491,14.0491,14.0491,14.0491,XAMS:AXS,125
2007-12-07,13.7697,13.7697,13.171,13.2109,XAMS:AXS,5150
2007-12-10,13.2508,15.7653,13.2508,13.2508,XAMS:AXS,0
2007-12-11,13.9693,14.1289,13.2508,13.3706,XAMS:AXS,6679
2007-12-12,13.7298,13.9693,13.0114,13.9693,XAMS:AXS,3557
2007-12-13,13.65,13.65,13.171,13.5701,XAMS:AXS,2298
2007-12-14,13.7697,13.9693,13.171,13.2109,XAMS:AXS,3169
2007-12-17,13.5302,13.6101,13.171,13.171,XAMS:AXS,52540
2007-12-18,13.7697,13.7697,13.0114,13.0114,XAMS:AXS,538
2007-12-19,13.171,13.171,12.9316,12.9316,XAMS:AXS,989
2007-12-20,13.0114,13.171,13.0114,13.0114,XAMS:AXS,0
2007-12-21,13.171,13.2908,12.732,12.8916,XAMS:AXS,1119
2007-12-24,12.6123,13.171,12.6123,12.6123,XAMS:AXS,0
2007-12-25,12.6123,13.171,12.6123,12.6123,XAMS:AXS,0
2007-12-26,12.6123,13.171,12.6123,12.6123,XAMS:AXS,0
2007-12-27,13.171,13.171,13.171,13.171,XAMS:AXS,400
2007-12-28,13.1311,13.5701,12.7719,13.171,XAMS:AXS,1361
2007-12-31,13.5701,13.5701,12.7719,13.171,XAMS:AXS,1257
2008-01-01,13.5701,13.5701,12.7719,13.171,XAMS:AXS,0
2008-01-02,13.5701,13.5701,13.5701,13.5701,XAMS:AXS,75
2008-01-03,13.171,13.171,13.0114,13.0114,XAMS:AXS,1002
2008-01-04,13.0513,13.1311,13.0513,13.1311,XAMS:AXS,1513
2008-01-07,11.9737,12.5723,11.9737,12.5723,XAMS:AXS,3235
2008-01-08,12.1732,12.1732,12.1732,12.1732,XAMS:AXS,82
2008-01-09,11.9737,11.9737,11.1754,11.375,XAMS:AXS,2609
2008-01-10,11.8938,11.8938,11.8539,11.8539,XAMS:AXS,150
2008-01-11,11.9337,11.9737,11.4548,11.4548,XAMS:AXS,175
2008-01-14,11.814,11.9737,11.375,11.814,XAMS:AXS,2279
2008-01-15,11.9737,11.9737,11.375,11.375,XAMS:AXS,967
2008-01-16,10.9759,11.5346,10.9759,10.9759,XAMS:AXS,0
2008-01-17,10.9759,11.2552,10.9759,11.1754,XAMS:AXS,17597
2008-01-18,10.9759,10.9759,10.3772,10.9759,XAMS:AXS,4939
2008-01-21,10.9359,10.9359,10.9359,10.9359,XAMS:AXS,137
2008-01-22,10.9759,10.9759,8.4215,10.3772,XAMS:AXS,7099
2008-01-23,9.6987,9.6987,8.4215,8.4215,XAMS:AXS,1134
2008-01-24,10.457,10.457,8.7009,10.3772,XAMS:AXS,263
2008-01-25,10.3772,10.3772,10.3772,10.3772,XAMS:AXS,501
2008-01-28,10.0978,10.0978,10.0978,10.0978,XAMS:AXS,96
2008-01-29,9.5789,10.9359,9.5789,9.5789,XAMS:AXS,0
2008-01-30,9.8982,9.9381,9.8982,9.9381,XAMS:AXS,1433
2008-01-31,10.1377,10.2973,9.8982,10.2973,XAMS:AXS,38578
2008-02-01,9.978,9.978,9.978,9.978,XAMS:AXS,5439
2008-02-04,9.978,10.2973,9.978,10.2973,XAMS:AXS,5687
2008-02-05,9.978,9.978,9.9381,9.978,XAMS:AXS,10047
2008-02-06,9.978,9.978,9.978,9.978,XAMS:AXS,1252
2008-02-07,9.9381,9.978,9.9381,9.978,XAMS:AXS,1297
2008-02-08,10.9759,10.9759,9.978,9.978,XAMS:AXS,10166
2008-02-11,9.6987,10.7763,9.6987,9.6987,XAMS:AXS,0
2008-02-12,10.6166,10.6166,10.6166,10.6166,XAMS:AXS,81
2008-02-13,9.5789,10.4969,9.5789,9.5789,XAMS:AXS,0
2008-02-14,9.978,10.5368,9.978,9.978,XAMS:AXS,0
2008-02-15,10.3772,10.3772,10.018,10.2973,XAMS:AXS,1403
2008-02-18,9.978,10.3772,9.978,9.978,XAMS:AXS,0
2008-02-19,10.3772,10.3772,10.018,10.1776,XAMS:AXS,776
2008-02-20,9.978,10.3772,9.978,9.978,XAMS:AXS,0
2008-02-21,9.978,10.3772,9.978,9.978,XAMS:AXS,0
2008-02-22,10.1776,10.3772,9.978,9.978,XAMS:AXS,400
2008-02-25,10.3772,10.3772,10.3373,10.3373,XAMS:AXS,300
2008-02-26,9.978,10.3772,9.978,9.978,XAMS:AXS,0
2008-02-27,10.3772,10.896,10.3772,10.8561,XAMS:AXS,3006
2008-02-28,10.2574,10.3373,9.978,10.1377,XAMS:AXS,2295
2008-02-29,10.3772,10.3772,10.018,10.0579,XAMS:AXS,1540
2008-03-03,9.978,9.978,9.978,9.978,XAMS:AXS,50
2008-03-04,10.2175,10.2175,9.4193,9.7386,XAMS:AXS,2128
2008-03-05,9.3794,9.8982,9.3794,9.3794,XAMS:AXS,0
2008-03-06,9.6588,10.3772,9.6588,9.6588,XAMS:AXS,0
