Date,Close,High,Low,Open,Symbol,Volume
2016-05-31,35.0,35.87,33.9,34.15,XAMS:CCE,991480
2016-06-01,35.58,35.8,34.85,35.23,XAMS:CCE,12808283
2016-06-02,35.7,36.36,35.2,35.4,XAMS:CCE,2160052
2016-06-03,35.395,36.55,34.875,35.8,XAMS:CCE,2296724
2016-06-06,35.17,35.85,35.01,35.74,XAMS:CCE,821831
2016-06-07,34.91,34.97,34.47,34.825,XAMS:CCE,1073377
2016-06-08,34.9,34.99,34.735,34.985,XAMS:CCE,572177
2016-06-09,35.05,35.39,34.81,35.19,XAMS:CCE,224675
2016-06-10,34.53,35.0,34.255,35.0,XAMS:CCE,600109
2016-06-13,33.98,34.61,33.93,34.05,XAMS:CCE,238318
2016-06-14,33.44,34.0,33.3,33.805,XAMS:CCE,353564
2016-06-15,33.3,33.7,33.12,33.5,XAMS:CCE,235123
2016-06-16,33.3,33.335,32.67,33.15,XAMS:CCE,250205
2016-06-17,32.925,33.34,32.855,33.25,XAMS:CCE,418829
2016-06-20,33.995,34.3,33.18,33.25,XAMS:CCE,243179
2016-06-21,33.7,34.105,33.37,33.6,XAMS:CCE,125871
2016-06-22,33.44,33.705,33.09,33.7,XAMS:CCE,266663
2016-06-23,33.065,33.425,32.645,33.35,XAMS:CCE,313051
2016-06-24,32.39,32.65,30.52,31.5,XAMS:CCE,778688
2016-06-27,31.26,32.19,31.2,32.0,XAMS:CCE,410880
2016-06-28,30.85,31.7,30.64,31.7,XAMS:CCE,361199
2016-06-29,31.74,31.74,30.42,30.95,XAMS:CCE,311472
2016-06-30,32.29,32.29,31.255,31.53,XAMS:CCE,444947
2016-07-01,31.9,32.585,31.665,32.585,XAMS:CCE,424383
2016-07-04,32.655,32.655,31.875,32.45,XAMS:CCE,115327
2016-07-05,31.85,32.755,31.575,32.645,XAMS:CCE,456097
2016-07-06,31.335,31.75,30.92,31.55,XAMS:CCE,231055
2016-07-07,31.98,32.065,31.305,31.565,XAMS:CCE,323098
2016-07-08,32.55,32.625,32.1,32.5,XAMS:CCE,295208
2016-07-11,32.4,32.805,32.3,32.7,XAMS:CCE,206186
2016-07-12,32.545,32.65,32.23,32.23,XAMS:CCE,200305
2016-07-13,32.5,32.54,32.21,32.54,XAMS:CCE,90650
2016-07-14,32.99,33.15,32.615,32.76,XAMS:CCE,259749
2016-07-15,33.1,33.12,32.76,32.98,XAMS:CCE,196762
2016-07-18,33.2,33.805,33.12,33.365,XAMS:CCE,124935
2016-07-19,34.075,34.36,33.35,33.355,XAMS:CCE,268843
2016-07-20,34.21,34.8,34.06,34.155,XAMS:CCE,773094
2016-07-21,34.595,34.65,33.945,34.49,XAMS:CCE,155475
2016-07-22,34.62,34.93,34.225,34.705,XAMS:CCE,89310
2016-07-25,34.94,35.225,34.71,34.71,XAMS:CCE,126638
2016-07-26,34.935,35.09,34.59,34.785,XAMS:CCE,483231
2016-07-27,34.25,35.1,34.02,34.75,XAMS:CCE,270873
2016-07-28,33.64,34.445,33.59,33.61,XAMS:CCE,256591
2016-07-29,33.745,34.425,33.28,33.97,XAMS:CCE,379263
2016-08-01,34.25,34.315,33.63,33.665,XAMS:CCE,383269
2016-08-02,33.15,34.295,33.095,34.17,XAMS:CCE,302070
2016-08-03,32.72,33.395,32.69,33.205,XAMS:CCE,224819
2016-08-04,32.855,33.1,32.66,33.055,XAMS:CCE,156780
