Date,Close,High,Low,Open,Symbol,Volume
2006-10-10,36.35,36.8,36.3,36.8,XAMS:ECMPA,39746
2006-10-11,35.9,36.4,35.9,36.4,XAMS:ECMPA,26807
2006-10-12,36.51,36.6,35.95,35.95,XAMS:ECMPA,59906
2006-10-13,36.6,36.7,36.21,36.65,XAMS:ECMPA,47806
2006-10-16,36.68,36.91,36.0,36.3,XAMS:ECMPA,21388
2006-10-17,36.19,36.64,36.0,36.4,XAMS:ECMPA,30991
2006-10-18,36.4,36.46,36.06,36.4,XAMS:ECMPA,21576
2006-10-19,36.11,36.65,36.11,36.6,XAMS:ECMPA,37874
2006-10-20,36.28,36.4,36.03,36.4,XAMS:ECMPA,30149
2006-10-23,37.11,37.11,36.13,36.3,XAMS:ECMPA,68412
2006-10-24,37.36,37.36,36.85,37.1,XAMS:ECMPA,71687
2006-10-25,37.87,38.09,37.26,37.4,XAMS:ECMPA,62538
2006-10-26,38.9,39.4,37.69,38.0,XAMS:ECMPA,35142
2006-10-27,38.83,39.2,38.69,38.69,XAMS:ECMPA,20638
2006-10-30,38.82,38.86,38.32,38.86,XAMS:ECMPA,16322
2006-10-31,38.95,39.29,38.74,38.97,XAMS:ECMPA,107331
2006-11-01,37.63,39.2,37.63,38.6,XAMS:ECMPA,28097
2006-11-02,38.48,38.48,37.74,37.95,XAMS:ECMPA,27837
2006-11-03,39.3,39.59,38.0,38.45,XAMS:ECMPA,100874
2006-11-06,38.89,39.2,38.4,39.2,XAMS:ECMPA,107968
2006-11-07,39.25,39.35,38.5,38.5,XAMS:ECMPA,145993
2006-11-08,37.0,39.4,38.55,39.4,XAMS:ECMPA,59700
2006-11-09,37.2,37.6,36.8,36.8,XAMS:ECMPA,66441
2006-11-10,37.22,37.58,37.05,37.05,XAMS:ECMPA,41120
2006-11-13,36.5,37.2,36.35,37.07,XAMS:ECMPA,45487
2006-11-14,36.33,36.81,35.24,36.2,XAMS:ECMPA,96369
2006-11-15,37.13,37.15,36.35,36.53,XAMS:ECMPA,31842
2006-11-16,37.15,37.2,36.78,37.15,XAMS:ECMPA,63804
2006-11-17,37.0,37.2,36.94,37.0,XAMS:ECMPA,49663
2006-11-20,37.2,37.2,36.9,37.0,XAMS:ECMPA,31571
2006-11-21,38.0,38.0,37.2,37.2,XAMS:ECMPA,194491
2006-11-22,37.72,38.0,37.4,38.0,XAMS:ECMPA,171679
2006-11-23,37.98,38.0,37.85,38.0,XAMS:ECMPA,177639
2006-11-24,38.0,38.05,37.69,38.0,XAMS:ECMPA,166880
2006-11-27,36.68,38.1,35.97,38.0,XAMS:ECMPA,99625
2006-11-28,36.56,36.95,35.8,36.44,XAMS:ECMPA,48883
