Date,Close,High,Low,Open,Symbol,Volume
2015-07-10,36.2,37.4,33.7,34.0,XAMS:FLOW,3629255
2015-07-13,36.15,37.495,35.68,37.495,XAMS:FLOW,330762
2015-07-14,36.95,37.75,36.0,36.295,XAMS:FLOW,161329
2015-07-15,38.5,39.485,37.2,37.2,XAMS:FLOW,163705
2015-07-16,38.35,39.89,37.78,39.35,XAMS:FLOW,132638
2015-07-17,38.35,38.995,37.755,38.75,XAMS:FLOW,69809
2015-07-20,38.0,38.745,37.6,38.4,XAMS:FLOW,19065
2015-07-21,38.24,39.45,36.045,38.5,XAMS:FLOW,47638
2015-07-22,38.0,38.75,37.7,38.24,XAMS:FLOW,36636
2015-07-23,38.0,38.26,37.61,38.0,XAMS:FLOW,66677
2015-07-24,38.21,38.65,38.1,38.1,XAMS:FLOW,24313
2015-07-27,37.49,38.95,37.49,38.4,XAMS:FLOW,46252
2015-07-28,37.5,37.85,36.75,36.755,XAMS:FLOW,37666
2015-07-29,37.25,38.0,36.82,37.4,XAMS:FLOW,21902
2015-07-30,37.3,37.45,36.75,37.0,XAMS:FLOW,28647
2015-07-31,37.495,37.5,36.29,37.49,XAMS:FLOW,42144
2015-08-03,37.45,37.67,36.7,36.7,XAMS:FLOW,22250
2015-08-04,37.65,37.85,37.125,37.5,XAMS:FLOW,50041
2015-08-05,37.5,37.88,37.18,37.525,XAMS:FLOW,58858
2015-08-06,36.48,37.88,36.4,37.88,XAMS:FLOW,71512
2015-08-07,36.255,37.785,36.25,36.44,XAMS:FLOW,81801
2015-08-10,36.15,37.02,36.12,37.02,XAMS:FLOW,33232
2015-08-11,36.6,36.94,36.4,36.5,XAMS:FLOW,22647
2015-08-12,36.05,36.9,36.05,36.745,XAMS:FLOW,10286
2015-08-13,36.1,36.215,36.0,36.055,XAMS:FLOW,36256
2015-08-14,36.1,36.355,36.05,36.15,XAMS:FLOW,13924
2015-08-17,36.42,36.42,36.1,36.15,XAMS:FLOW,38626
2015-08-18,38.5,39.45,37.0,37.0,XAMS:FLOW,44714
2015-08-19,36.47,39.485,36.29,38.93,XAMS:FLOW,163740
2015-08-20,35.95,37.92,35.42,37.92,XAMS:FLOW,46785
2015-08-21,35.685,36.655,35.65,36.0,XAMS:FLOW,26602
2015-08-24,34.12,37.36,34.0,36.785,XAMS:FLOW,74348
2015-08-25,37.0,37.0,34.65,34.65,XAMS:FLOW,43454
2015-08-26,36.975,38.425,35.19,38.425,XAMS:FLOW,40859
2015-08-27,38.3,38.83,36.66,36.8,XAMS:FLOW,38543
2015-08-28,37.29,38.995,37.0,38.995,XAMS:FLOW,33988
2015-08-31,37.995,38.455,37.7,37.895,XAMS:FLOW,5328
2015-09-01,37.055,37.9,36.745,37.9,XAMS:FLOW,9215
2015-09-02,37.05,37.89,36.75,37.89,XAMS:FLOW,5016
2015-09-03,37.05,37.275,36.56,37.0,XAMS:FLOW,23943
2015-09-04,36.875,37.38,36.615,37.38,XAMS:FLOW,9688
2015-09-07,37.205,37.955,37.145,37.145,XAMS:FLOW,8189
2015-09-08,37.005,37.825,37.0,37.45,XAMS:FLOW,11376
2015-09-09,37.4,37.5,37.29,37.5,XAMS:FLOW,8054
2015-09-10,37.255,37.6,37.22,37.405,XAMS:FLOW,5589
2015-09-11,36.675,37.525,36.65,37.025,XAMS:FLOW,24994
2015-09-14,36.3,37.0,36.3,37.0,XAMS:FLOW,13469
2015-09-15,36.645,37.0,36.3,36.3,XAMS:FLOW,56331
2015-09-16,36.67,37.6,36.67,36.905,XAMS:FLOW,35354
2015-09-17,36.465,37.0,36.46,36.46,XAMS:FLOW,3707
2015-09-18,36.505,37.0,36.45,36.455,XAMS:FLOW,48419
2015-09-21,36.73,37.0,36.52,36.52,XAMS:FLOW,7285
2015-09-22,36.75,37.455,36.5,36.735,XAMS:FLOW,33679
2015-09-23,37.375,37.5,36.86,37.0,XAMS:FLOW,3502
2015-09-24,36.0,37.5,36.0,37.5,XAMS:FLOW,30467
2015-09-25,35.5,36.735,35.5,36.5,XAMS:FLOW,48223
2015-09-28,35.0,36.19,34.5,35.98,XAMS:FLOW,85482
2015-09-29,34.55,35.44,34.5,34.5,XAMS:FLOW,115854
2015-09-30,34.87,35.0,34.595,35.0,XAMS:FLOW,8887
2015-10-01,34.625,35.8,34.625,35.425,XAMS:FLOW,18064
2015-10-02,35.835,36.19,34.635,35.0,XAMS:FLOW,9883
2015-10-05,36.795,37.25,36.21,36.88,XAMS:FLOW,63430
2015-10-06,36.31,37.15,36.31,36.95,XAMS:FLOW,57507
2015-10-07,36.04,37.1,36.01,37.1,XAMS:FLOW,30160
2015-10-08,35.73,36.665,35.5,36.665,XAMS:FLOW,27757
2015-10-09,35.775,36.21,35.775,35.99,XAMS:FLOW,5634
2015-10-12,35.045,35.79,35.045,35.535,XAMS:FLOW,13224
2015-10-13,35.0,35.105,35.0,35.025,XAMS:FLOW,32644
2015-10-14,34.99,35.27,34.785,35.27,XAMS:FLOW,23628
2015-10-15,34.95,35.75,34.65,35.2,XAMS:FLOW,111723
2015-10-16,34.755,35.245,34.525,34.525,XAMS:FLOW,8052
2015-10-19,34.55,35.0,34.55,34.7,XAMS:FLOW,46581
2015-10-20,35.06,35.145,34.5,34.5,XAMS:FLOW,47577
2015-10-21,35.325,35.6,35.32,35.5,XAMS:FLOW,12017
2015-10-22,35.5,35.5,34.75,35.0,XAMS:FLOW,6531
2015-10-23,35.495,35.7,35.015,35.015,XAMS:FLOW,32803
2015-10-26,35.835,36.0,35.65,35.65,XAMS:FLOW,9358
2015-10-27,35.38,36.11,35.33,35.51,XAMS:FLOW,12315
2015-10-28,35.3,35.895,35.0,35.25,XAMS:FLOW,24274
2015-10-29,35.51,35.9,34.91,35.9,XAMS:FLOW,18394
2015-10-30,35.495,35.6,35.29,35.48,XAMS:FLOW,14193
2015-11-02,35.13,35.4,34.9,34.9,XAMS:FLOW,7543
2015-11-03,34.955,35.73,34.9,35.25,XAMS:FLOW,20851
2015-11-04,35.49,35.8,34.985,34.985,XAMS:FLOW,51685
2015-11-05,35.45,35.96,35.235,35.96,XAMS:FLOW,8712
2015-11-06,35.05,35.895,35.05,35.895,XAMS:FLOW,33459
2015-11-09,35.59,35.6,35.1,35.1,XAMS:FLOW,36224
2015-11-10,35.49,35.7,35.39,35.5,XAMS:FLOW,69678
2015-11-11,35.565,36.0,35.4,36.0,XAMS:FLOW,5446
2015-11-12,35.6,35.99,35.39,35.59,XAMS:FLOW,10314
2015-11-13,37.005,39.965,35.71,37.9,XAMS:FLOW,256595
2015-11-16,38.21,38.42,36.95,36.95,XAMS:FLOW,127524
2015-11-17,39.6,39.9,38.68,38.68,XAMS:FLOW,149051
2015-11-18,39.75,39.99,39.5,39.99,XAMS:FLOW,99845
2015-11-19,40.2,40.645,39.51,40.0,XAMS:FLOW,74555
2015-11-20,40.1,40.655,39.8,40.595,XAMS:FLOW,72521
2015-11-23,40.02,40.99,39.75,40.15,XAMS:FLOW,52085
2015-11-24,40.0,40.525,39.9,40.525,XAMS:FLOW,26207
2015-11-25,40.145,40.2,39.87,40.0,XAMS:FLOW,50951
2015-11-26,41.41,41.41,39.96,40.395,XAMS:FLOW,46387
2015-11-27,41.69,41.99,41.1,41.61,XAMS:FLOW,40749
2015-11-30,42.71,43.15,41.08,42.0,XAMS:FLOW,564107
2015-12-01,42.05,42.995,41.76,42.5,XAMS:FLOW,63857
2015-12-02,42.3,42.79,41.9,42.5,XAMS:FLOW,47727
2015-12-03,43.0,43.29,41.9,42.5,XAMS:FLOW,39353
2015-12-04,44.0,44.61,42.43,43.0,XAMS:FLOW,45084
2015-12-07,44.285,46.66,44.06,44.6,XAMS:FLOW,96519
2015-12-08,43.595,44.3,43.15,44.3,XAMS:FLOW,52888
2015-12-09,43.785,43.96,42.5,43.96,XAMS:FLOW,70863
2015-12-10,43.55,43.87,43.1,43.705,XAMS:FLOW,57006
2015-12-11,43.49,43.88,43.005,43.865,XAMS:FLOW,46629
2015-12-14,45.975,45.975,43.665,43.89,XAMS:FLOW,100025
2015-12-15,47.4,48.16,45.58,45.83,XAMS:FLOW,169807
2015-12-16,48.15,48.64,46.54,47.61,XAMS:FLOW,65321
2015-12-17,48.68,49.3,48.1,48.505,XAMS:FLOW,40512
2015-12-18,47.82,49.215,47.525,48.305,XAMS:FLOW,40635
2015-12-21,46.07,47.78,45.635,47.775,XAMS:FLOW,47886
