Date,Close,High,Low,Open,Symbol,Volume
2013-04-30,62.04,64.4,61.58,63.66,XAMS:GTO,468668
2013-05-01,62.04,62.04,62.04,62.04,XAMS:GTO,0
2013-05-02,61.0,62.75,60.75,62.12,XAMS:GTO,866006
2013-05-03,61.43,62.1,60.78,61.29,XAMS:GTO,727393
2013-05-06,62.46,63.56,61.55,61.55,XAMS:GTO,465965
2013-05-07,61.4,62.81,61.3,62.81,XAMS:GTO,569970
2013-05-08,60.37,61.77,60.29,61.77,XAMS:GTO,372183
2013-05-09,60.17,60.65,60.05,60.62,XAMS:GTO,283190
2013-05-10,58.2,59.85,57.13,59.85,XAMS:GTO,1104114
2013-05-13,58.75,59.05,58.16,58.3,XAMS:GTO,473060
2013-05-14,60.0,60.37,58.7,59.05,XAMS:GTO,502830
2013-05-15,59.33,60.52,59.04,60.18,XAMS:GTO,514078
2013-05-16,60.4,60.44,59.24,59.6,XAMS:GTO,397087
2013-05-17,63.29,64.35,60.99,61.09,XAMS:GTO,841056
2013-05-20,62.41,63.9,62.16,63.87,XAMS:GTO,315991
2013-05-21,62.69,62.75,61.62,62.42,XAMS:GTO,382053
2013-05-22,64.31,65.9,62.6,62.8,XAMS:GTO,723333
2013-05-23,65.77,65.93,63.0,63.16,XAMS:GTO,610599
2013-05-24,65.0,66.5,64.05,65.98,XAMS:GTO,469908
2013-05-27,65.88,66.49,65.15,65.25,XAMS:GTO,278783
2013-05-28,66.71,67.35,66.0,66.35,XAMS:GTO,434890
2013-05-29,66.49,66.94,66.22,66.9,XAMS:GTO,376418
2013-05-30,64.88,66.55,64.79,66.3,XAMS:GTO,425621
2013-05-31,64.6,65.14,63.8,65.05,XAMS:GTO,562940
2013-06-03,65.17,65.46,63.28,64.35,XAMS:GTO,362530
2013-06-04,67.27,68.04,64.88,65.0,XAMS:GTO,548255
2013-06-05,66.14,67.16,66.05,67.0,XAMS:GTO,292141
2013-06-06,65.0,66.35,64.9,66.0,XAMS:GTO,281575
2013-06-07,66.07,66.13,63.68,64.84,XAMS:GTO,451046
2013-06-10,67.5,67.82,65.71,66.07,XAMS:GTO,338065
2013-06-11,66.86,67.5,65.7,67.5,XAMS:GTO,385482
2013-06-12,66.78,67.49,66.33,67.35,XAMS:GTO,327672
2013-06-13,65.82,66.39,64.37,66.39,XAMS:GTO,417587
2013-06-14,64.71,66.49,64.62,66.49,XAMS:GTO,392685
2013-06-17,65.55,65.79,64.83,65.0,XAMS:GTO,316573
2013-06-18,66.4,66.4,65.1,65.46,XAMS:GTO,401212
2013-06-19,67.86,68.01,66.5,66.5,XAMS:GTO,424858
2013-06-20,66.67,67.9,66.5,66.8,XAMS:GTO,463004
2013-06-21,65.67,67.65,65.67,66.5,XAMS:GTO,1530589
2013-06-24,64.13,66.15,64.1,65.74,XAMS:GTO,592612
2013-06-25,64.37,64.76,63.63,64.76,XAMS:GTO,509250
2013-06-26,67.46,67.88,64.53,64.68,XAMS:GTO,547569
2013-06-27,70.05,71.28,67.0,67.81,XAMS:GTO,813823
2013-06-28,69.56,70.19,68.8,70.0,XAMS:GTO,614751
2013-07-01,69.74,70.7,68.53,70.18,XAMS:GTO,510421
2013-07-02,69.32,69.8,68.71,69.54,XAMS:GTO,287010
2013-07-03,69.91,70.34,68.41,68.89,XAMS:GTO,464476
2013-07-04,72.1,72.17,69.89,69.98,XAMS:GTO,368998
2013-07-05,70.41,72.75,70.3,72.1,XAMS:GTO,526416
2013-07-08,72.76,72.76,70.9,70.9,XAMS:GTO,324648
2013-07-09,71.44,72.89,71.06,72.8,XAMS:GTO,381291
2013-07-10,70.54,71.46,69.1,71.09,XAMS:GTO,424022
2013-07-11,71.78,72.04,70.83,71.5,XAMS:GTO,375245
2013-07-12,72.39,72.5,71.75,71.95,XAMS:GTO,213299
2013-07-15,72.3,73.3,71.38,72.5,XAMS:GTO,265137
2013-07-16,76.96,78.33,72.33,72.33,XAMS:GTO,1079361
2013-07-17,76.81,77.71,74.5,77.1,XAMS:GTO,630882
2013-07-18,76.73,77.4,75.85,76.46,XAMS:GTO,321959
2013-07-19,76.0,76.44,75.05,76.3,XAMS:GTO,441009
2013-07-22,75.18,76.2,74.98,75.96,XAMS:GTO,272229
2013-07-23,75.08,75.32,74.85,75.12,XAMS:GTO,235945
2013-07-24,75.22,76.0,74.87,75.3,XAMS:GTO,347220
2013-07-25,77.38,77.38,75.0,75.0,XAMS:GTO,356765
2013-07-26,76.85,77.9,76.61,77.31,XAMS:GTO,287649
2013-07-29,76.57,77.22,76.5,76.74,XAMS:GTO,266786
2013-07-30,77.0,77.45,76.41,76.75,XAMS:GTO,312215
2013-07-31,78.6,78.7,76.8,76.94,XAMS:GTO,365755
2013-08-01,84.21,84.52,78.7,78.9,XAMS:GTO,1100023
2013-08-02,81.69,84.38,81.41,84.18,XAMS:GTO,438716
2013-08-05,81.3,81.89,80.79,81.69,XAMS:GTO,234494
2013-08-06,81.52,81.56,80.05,80.84,XAMS:GTO,307125
2013-08-07,79.47,81.41,79.29,81.0,XAMS:GTO,343133
2013-08-08,80.2,81.12,79.36,79.5,XAMS:GTO,265155
2013-08-09,82.15,82.82,79.95,80.79,XAMS:GTO,241430
2013-08-12,81.21,83.17,80.15,82.81,XAMS:GTO,286839
2013-08-13,81.84,82.23,80.98,81.4,XAMS:GTO,342709
2013-08-14,86.12,86.89,81.8,81.8,XAMS:GTO,652617
2013-08-15,85.73,86.17,84.91,85.68,XAMS:GTO,348192
2013-08-16,85.96,85.96,85.03,85.25,XAMS:GTO,300245
2013-08-19,86.99,87.57,85.4,85.98,XAMS:GTO,393893
2013-08-20,85.27,86.78,84.58,86.66,XAMS:GTO,356731
2013-08-21,85.6,85.98,84.74,85.34,XAMS:GTO,177111
2013-08-22,85.32,86.1,85.1,85.58,XAMS:GTO,299686
2013-08-23,85.26,85.7,84.97,85.61,XAMS:GTO,175484
2013-08-26,84.8,85.83,84.38,85.83,XAMS:GTO,213413
