Date,Close,High,Low,Open,Symbol,Volume
1998-07-22,0.363,0.363,0.363,0.363,XAMS:HUNDP,76648
1998-07-23,0.363,0.363,0.363,0.363,XAMS:HUNDP,100
1998-07-24,0.363,0.363,0.363,0.363,XAMS:HUNDP,0
1998-07-27,0.363,0.363,0.363,0.363,XAMS:HUNDP,0
1998-07-28,0.363,0.363,0.363,0.363,XAMS:HUNDP,0
1998-07-29,0.363,0.363,0.363,0.363,XAMS:HUNDP,0
1998-07-30,0.363,0.363,0.363,0.363,XAMS:HUNDP,0
1998-07-31,0.363,0.363,0.363,0.363,XAMS:HUNDP,0
1998-08-03,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,150
1998-08-04,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,0
1998-08-05,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,1160
1998-08-06,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,0
1998-08-07,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,0
1998-08-10,0.363,0.363,0.363,0.363,XAMS:HUNDP,20000
1998-08-11,0.363,0.363,0.363,0.363,XAMS:HUNDP,0
1998-08-12,0.363,0.363,0.363,0.363,XAMS:HUNDP,0
1998-08-13,0.363,0.363,0.363,0.363,XAMS:HUNDP,0
1998-08-14,0.363,0.363,0.363,0.363,XAMS:HUNDP,0
1998-08-17,0.363,0.363,0.363,0.363,XAMS:HUNDP,13000
1998-08-18,0.363,0.363,0.363,0.363,XAMS:HUNDP,0
1998-08-19,0.363,0.363,0.363,0.363,XAMS:HUNDP,0
1998-08-20,0.363,0.363,0.363,0.363,XAMS:HUNDP,0
1998-08-21,0.363,0.363,0.3176,0.3176,XAMS:HUNDP,7208
1998-08-24,0.363,0.363,0.3176,0.3176,XAMS:HUNDP,0
1998-08-25,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,1000
1998-08-26,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,0
1998-08-27,0.363,0.363,0.363,0.363,XAMS:HUNDP,781
1998-08-28,0.363,0.363,0.363,0.363,XAMS:HUNDP,0
1998-08-31,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,34770
1998-09-01,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,8000
1998-09-02,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,18000
1998-09-03,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,8052
1998-09-04,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,0
1998-09-07,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,10000
1998-09-08,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,3140
1998-09-09,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,4071
1998-09-10,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,0
1998-09-11,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,0
1998-09-14,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,0
1998-09-15,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,0
1998-09-16,0.2269,0.2269,0.2269,0.2269,XAMS:HUNDP,500
1998-09-17,0.2269,0.2269,0.2269,0.2269,XAMS:HUNDP,0
1998-09-18,0.2269,0.363,0.2269,0.3176,XAMS:HUNDP,5540
1998-09-21,0.2723,0.2723,0.2723,0.2723,XAMS:HUNDP,100
1998-09-22,0.363,0.363,0.2723,0.2723,XAMS:HUNDP,2832
1998-09-23,0.363,0.363,0.3176,0.363,XAMS:HUNDP,19042
1998-09-24,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,816
1998-09-25,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,0
1998-09-28,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,0
1998-09-29,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,0
1998-09-30,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,0
1998-10-01,0.2269,0.2723,0.2269,0.2723,XAMS:HUNDP,10648
1998-10-02,0.2269,0.3176,0.2269,0.2723,XAMS:HUNDP,3320
1998-10-05,0.2269,0.2269,0.2269,0.2269,XAMS:HUNDP,30818
1998-10-06,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,350
1998-10-07,0.3176,0.3176,0.2269,0.2269,XAMS:HUNDP,714
1998-10-08,0.3176,0.3176,0.2269,0.2269,XAMS:HUNDP,0
1998-10-09,0.3176,0.3176,0.2269,0.2269,XAMS:HUNDP,0
1998-10-12,0.3176,0.3176,0.2269,0.2269,XAMS:HUNDP,0
1998-10-13,0.2269,0.2269,0.2269,0.2269,XAMS:HUNDP,300
1998-10-14,0.2269,0.2269,0.2269,0.2269,XAMS:HUNDP,8000
1998-10-15,0.2723,0.2723,0.2269,0.2269,XAMS:HUNDP,1944
1998-10-16,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,2000
1998-10-19,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,300
1998-10-20,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,0
1998-10-21,0.2723,0.2723,0.2723,0.2723,XAMS:HUNDP,2000
1998-10-22,0.2723,0.3176,0.2723,0.3176,XAMS:HUNDP,5300
1998-10-23,0.2723,0.3176,0.2723,0.3176,XAMS:HUNDP,12520
1998-10-26,0.3176,0.3176,0.2723,0.3176,XAMS:HUNDP,5040
1998-10-27,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,1300
1998-10-28,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,100
1998-10-29,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,0
1998-10-30,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,0
1998-11-02,0.2723,0.3176,0.2723,0.2723,XAMS:HUNDP,204
1998-11-03,0.2723,0.3176,0.2723,0.2723,XAMS:HUNDP,0
1998-11-04,0.2723,0.3176,0.2723,0.3176,XAMS:HUNDP,26400
1998-11-05,0.3176,0.3176,0.2723,0.2723,XAMS:HUNDP,48000
1998-11-06,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,300
1998-11-09,0.2723,0.2723,0.2723,0.2723,XAMS:HUNDP,58020
1998-11-10,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,8000
1998-11-11,0.3176,0.3176,0.2723,0.3176,XAMS:HUNDP,41663
1998-11-12,0.3176,0.3176,0.3176,0.3176,XAMS:HUNDP,1100
