Date,Close,High,Low,Open,Symbol,Volume
1998-07-20,21.9176,22.3714,21.8268,22.326,XAMS:ICT,33500
1998-07-21,22.1445,22.1898,21.8722,22.1898,XAMS:ICT,16129
1998-07-22,22.1445,22.1445,21.7361,21.9176,XAMS:ICT,44042
1998-07-23,22.0083,22.0991,21.5546,21.6907,XAMS:ICT,14101
1998-07-24,21.7361,21.7361,21.3277,21.3277,XAMS:ICT,47144
1998-07-27,21.3277,21.5546,21.3277,21.5092,XAMS:ICT,18371
1998-07-28,22.0083,22.0083,21.3277,21.3277,XAMS:ICT,18978
1998-07-29,21.7814,21.7814,21.3277,21.7814,XAMS:ICT,11853
1998-07-30,21.5546,21.7814,21.5546,21.5546,XAMS:ICT,1682
1998-07-31,22.5982,22.5982,21.7814,21.7814,XAMS:ICT,118772
1998-08-03,22.2352,22.2806,21.7814,22.2352,XAMS:ICT,18221
1998-08-04,22.1898,22.1898,21.6907,22.1898,XAMS:ICT,11600
1998-08-05,22.1898,22.1898,21.2369,21.4184,XAMS:ICT,29618
1998-08-06,22.0991,22.1445,21.4184,22.1445,XAMS:ICT,14764
1998-08-07,22.2352,22.3714,21.6907,21.963,XAMS:ICT,16479
1998-08-10,22.326,22.4621,21.963,22.0083,XAMS:ICT,15796
1998-08-11,19.9663,22.2806,19.0588,22.2806,XAMS:ICT,44266
1998-08-12,20.6016,20.8739,20.1932,20.4201,XAMS:ICT,25431
1998-08-13,20.4201,20.9646,20.3747,20.6924,XAMS:ICT,30028
1998-08-14,21.5546,21.5546,20.284,20.4201,XAMS:ICT,18955
1998-08-17,21.1008,21.4638,20.7377,21.4638,XAMS:ICT,19137
1998-08-18,21.1008,21.5546,21.0554,21.1462,XAMS:ICT,11203
1998-08-19,21.2823,21.2823,20.8739,21.1008,XAMS:ICT,25656
1998-08-20,21.1915,21.1915,20.8739,21.1008,XAMS:ICT,7161
1998-08-21,21.0554,21.1008,20.4201,21.0554,XAMS:ICT,6948
1998-08-24,20.284,20.647,19.331,20.647,XAMS:ICT,18701
1998-08-25,20.4201,20.647,19.9663,19.9663,XAMS:ICT,15874
1998-08-26,20.1932,20.3294,19.9663,20.1932,XAMS:ICT,4898
1998-08-27,19.6487,19.9663,19.1041,19.7394,XAMS:ICT,20187
1998-08-28,18.3327,19.0588,17.5159,18.605,XAMS:ICT,76271
1998-08-31,18.605,18.8319,17.9697,18.1512,XAMS:ICT,57245
1998-09-01,17.6974,18.1512,17.3344,17.3344,XAMS:ICT,33892
1998-09-02,19.0588,19.2856,18.605,19.0588,XAMS:ICT,38367
1998-09-03,18.3781,19.0588,18.3781,19.0588,XAMS:ICT,32054
1998-09-04,18.8319,19.1495,18.605,18.605,XAMS:ICT,17570
1998-09-07,20.0571,20.4201,19.2856,19.2856,XAMS:ICT,119545
1998-09-08,20.8285,20.8285,20.1025,20.2386,XAMS:ICT,74831
1998-09-09,20.3294,21.1008,20.1932,20.8739,XAMS:ICT,112568
1998-09-10,18.605,20.2386,18.605,20.2386,XAMS:ICT,107882
