Date,Close,High,Low,Open,Symbol,Volume
2014-06-27,22.37,22.62,21.85,22.0,XAMS:IMCD,3809195
2014-06-30,22.7,22.7,22.31,22.31,XAMS:IMCD,187108
2014-07-01,23.315,23.99,22.72,22.99,XAMS:IMCD,237632
2014-07-02,23.45,23.805,23.26,23.5,XAMS:IMCD,161354
2014-07-03,23.5,23.8,23.015,23.15,XAMS:IMCD,208654
2014-07-04,23.6,23.695,23.5,23.695,XAMS:IMCD,17186
2014-07-07,23.5,23.67,23.5,23.67,XAMS:IMCD,30737
2014-07-08,23.21,23.53,22.72,23.505,XAMS:IMCD,33535
2014-07-09,23.14,23.305,22.5,23.3,XAMS:IMCD,34749
2014-07-10,22.64,23.035,22.5,22.705,XAMS:IMCD,89265
2014-07-11,22.6,22.655,22.5,22.625,XAMS:IMCD,27458
2014-07-14,22.8,22.915,22.7,22.8,XAMS:IMCD,19606
2014-07-15,22.56,23.125,22.4,22.8,XAMS:IMCD,19579
2014-07-16,23.005,23.02,22.65,22.655,XAMS:IMCD,107600
2014-07-17,23.0,23.06,22.9,22.995,XAMS:IMCD,32977
2014-07-18,23.025,23.1,22.85,22.995,XAMS:IMCD,36592
2014-07-21,23.005,23.05,22.8,23.0,XAMS:IMCD,42391
2014-07-22,23.35,23.35,22.925,22.925,XAMS:IMCD,41481
2014-07-23,23.39,23.425,23.06,23.06,XAMS:IMCD,125938
2014-07-24,23.5,23.65,23.445,23.49,XAMS:IMCD,15471
2014-07-25,23.56,23.73,23.37,23.545,XAMS:IMCD,4552
2014-07-28,23.38,23.52,23.305,23.5,XAMS:IMCD,4528
2014-07-29,23.145,23.485,23.04,23.365,XAMS:IMCD,1476
2014-07-30,23.0,23.36,23.0,23.36,XAMS:IMCD,386554
2014-07-31,23.0,23.04,22.945,23.0,XAMS:IMCD,29723
2014-08-01,22.445,22.95,22.32,22.815,XAMS:IMCD,372998
2014-08-04,22.0,22.64,22.0,22.6,XAMS:IMCD,115349
2014-08-05,21.75,22.0,21.5,22.0,XAMS:IMCD,263634
2014-08-06,21.625,21.975,21.51,21.51,XAMS:IMCD,4147
2014-08-07,21.5,21.795,21.5,21.795,XAMS:IMCD,92047
2014-08-08,21.79,21.8,21.51,21.79,XAMS:IMCD,20515
2014-08-11,21.735,22.2,21.6,22.105,XAMS:IMCD,8901
2014-08-12,21.655,21.995,21.625,21.995,XAMS:IMCD,9946
2014-08-13,22.25,22.25,20.685,21.85,XAMS:IMCD,129921
2014-08-14,22.8,23.03,22.225,22.75,XAMS:IMCD,57423
2014-08-15,22.83,23.325,22.83,23.11,XAMS:IMCD,4848
2014-08-18,23.38,23.55,23.0,23.0,XAMS:IMCD,65361
2014-08-19,23.35,23.4,23.175,23.4,XAMS:IMCD,80086
2014-08-20,24.5,25.0,23.055,23.3,XAMS:IMCD,116368
2014-08-21,24.3,24.7,24.16,24.5,XAMS:IMCD,90321
2014-08-22,24.29,24.48,24.0,24.33,XAMS:IMCD,13772
2014-08-25,23.54,24.595,23.415,24.595,XAMS:IMCD,10491
2014-08-26,23.75,23.995,23.28,23.745,XAMS:IMCD,14278
2014-08-27,23.355,23.95,23.075,23.95,XAMS:IMCD,63558
2014-08-28,23.1,23.5,23.005,23.495,XAMS:IMCD,9237
2014-08-29,23.23,23.785,22.835,23.485,XAMS:IMCD,50451
2014-09-01,22.58,23.665,22.1,23.26,XAMS:IMCD,39669
2014-09-02,22.85,22.98,22.5,22.98,XAMS:IMCD,22075
2014-09-03,23.005,23.4,22.49,22.49,XAMS:IMCD,70820
2014-09-04,23.815,23.985,23.055,23.17,XAMS:IMCD,16329
2014-09-05,23.48,24.25,23.3,23.82,XAMS:IMCD,9558
2014-09-08,23.27,23.975,23.14,23.975,XAMS:IMCD,11667
2014-09-09,22.945,23.68,22.78,23.68,XAMS:IMCD,18689
2014-09-10,23.0,23.095,22.8,23.095,XAMS:IMCD,14692
2014-09-11,23.385,23.745,23.075,23.425,XAMS:IMCD,7499
2014-09-12,24.06,24.42,23.3,23.8,XAMS:IMCD,22551
2014-09-15,24.24,24.46,24.04,24.46,XAMS:IMCD,10416
2014-09-16,24.09,24.195,24.0,24.04,XAMS:IMCD,97919
2014-09-17,23.65,24.275,23.35,24.275,XAMS:IMCD,7790
