Date,Close,High,Low,Open,Symbol,Volume
2016-05-27,22.0,22.44,21.0,21.0,XAMS:LIGHT,13120478
2016-05-30,22.3,22.3,21.725,22.16,XAMS:LIGHT,1138048
2016-05-31,22.3,22.435,21.92,22.3,XAMS:LIGHT,922613
2016-06-01,21.95,22.25,21.91,22.2,XAMS:LIGHT,733968
2016-06-02,22.1,22.15,21.545,21.945,XAMS:LIGHT,454284
2016-06-03,21.795,22.15,21.76,22.0,XAMS:LIGHT,328762
2016-06-06,21.8,21.9,21.5,21.75,XAMS:LIGHT,101487
2016-06-07,22.0,22.08,21.755,21.8,XAMS:LIGHT,359109
2016-06-08,21.97,22.0,21.865,21.925,XAMS:LIGHT,119779
2016-06-09,22.0,22.0,21.66,21.98,XAMS:LIGHT,276319
2016-06-10,21.65,21.995,21.555,21.995,XAMS:LIGHT,258031
2016-06-13,21.48,21.555,21.23,21.5,XAMS:LIGHT,181331
2016-06-14,21.3,21.41,21.145,21.4,XAMS:LIGHT,351684
2016-06-15,21.14,21.35,20.805,21.3,XAMS:LIGHT,272600
2016-06-16,20.76,21.1,20.76,21.0,XAMS:LIGHT,113796
2016-06-17,20.965,21.0,20.78,20.9,XAMS:LIGHT,222173
2016-06-20,21.53,21.67,21.05,21.05,XAMS:LIGHT,120543
2016-06-21,21.405,21.82,21.2,21.53,XAMS:LIGHT,134206
2016-06-22,21.115,21.76,21.0,21.76,XAMS:LIGHT,120064
2016-06-23,21.2,21.35,21.0,21.15,XAMS:LIGHT,82252
2016-06-24,20.85,20.85,19.41,20.25,XAMS:LIGHT,440236
2016-06-27,20.62,21.015,20.505,21.0,XAMS:LIGHT,144161
2016-06-28,20.44,21.145,20.13,21.0,XAMS:LIGHT,192670
2016-06-29,20.65,20.74,20.38,20.74,XAMS:LIGHT,167154
2016-06-30,20.75,20.98,20.55,20.58,XAMS:LIGHT,169548
2016-07-01,21.0,21.01,20.795,20.925,XAMS:LIGHT,95961
2016-07-04,21.1,21.25,20.95,21.09,XAMS:LIGHT,56841
2016-07-05,20.96,21.37,20.92,21.125,XAMS:LIGHT,283115
2016-07-06,20.92,21.465,20.5,21.395,XAMS:LIGHT,319932
2016-07-07,19.995,21.045,19.995,21.005,XAMS:LIGHT,234790
2016-07-08,20.095,20.66,19.955,20.05,XAMS:LIGHT,297360
2016-07-11,20.25,20.61,20.2,20.39,XAMS:LIGHT,185452
2016-07-12,20.05,20.325,20.0,20.25,XAMS:LIGHT,285378
2016-07-13,19.75,20.165,19.685,20.05,XAMS:LIGHT,118822
2016-07-14,20.2,20.37,19.685,19.905,XAMS:LIGHT,214147
2016-07-15,20.7,20.935,19.905,20.25,XAMS:LIGHT,510688
2016-07-18,20.74,20.98,20.575,20.8,XAMS:LIGHT,153172
2016-07-19,21.37,21.75,20.67,20.705,XAMS:LIGHT,174282
2016-07-20,21.9,21.95,21.285,21.74,XAMS:LIGHT,207144
2016-07-21,21.93,22.02,21.665,22.0,XAMS:LIGHT,273289
2016-07-22,23.38,23.99,21.765,22.25,XAMS:LIGHT,1121224
2016-07-25,22.95,23.395,22.95,23.395,XAMS:LIGHT,185581
2016-07-26,22.715,22.97,22.6,22.97,XAMS:LIGHT,274322
2016-07-27,22.22,22.715,22.055,22.715,XAMS:LIGHT,286325
2016-07-28,22.595,22.87,21.93,22.22,XAMS:LIGHT,377254
2016-07-29,22.885,23.17,22.61,22.735,XAMS:LIGHT,260873
2016-08-01,23.095,23.16,22.805,22.96,XAMS:LIGHT,85517
2016-08-02,23.215,23.285,22.98,23.17,XAMS:LIGHT,238465
2016-08-03,23.275,23.31,22.87,23.27,XAMS:LIGHT,90334
2016-08-04,23.515,23.55,23.3,23.3,XAMS:LIGHT,58884
2016-08-05,23.425,23.59,23.4,23.515,XAMS:LIGHT,77847
2016-08-08,23.31,23.49,23.03,23.425,XAMS:LIGHT,80406
2016-08-09,23.42,23.58,23.14,23.36,XAMS:LIGHT,60957
2016-08-10,23.315,23.585,23.25,23.505,XAMS:LIGHT,65004
2016-08-11,23.25,23.43,23.25,23.41,XAMS:LIGHT,35100
2016-08-12,22.9,23.355,22.9,23.355,XAMS:LIGHT,92505
2016-08-15,22.89,23.21,22.845,22.975,XAMS:LIGHT,64136
2016-08-16,22.9,23.0,22.77,22.88,XAMS:LIGHT,49957
2016-08-17,22.74,22.91,22.63,22.895,XAMS:LIGHT,48840
2016-08-18,22.71,22.895,22.56,22.7,XAMS:LIGHT,40936
2016-08-19,22.75,22.88,22.66,22.785,XAMS:LIGHT,57080
2016-08-22,22.75,23.0,22.52,22.69,XAMS:LIGHT,39187
2016-08-23,22.815,23.08,22.72,22.75,XAMS:LIGHT,46203
2016-08-24,22.93,23.055,22.75,22.75,XAMS:LIGHT,76601
2016-08-25,22.8,23.02,22.555,22.995,XAMS:LIGHT,49666
2016-08-26,22.8,22.84,22.715,22.825,XAMS:LIGHT,22615
2016-08-29,22.76,22.88,22.65,22.75,XAMS:LIGHT,19081
2016-08-30,22.755,22.76,22.55,22.76,XAMS:LIGHT,30895
2016-08-31,22.7,22.825,22.53,22.7,XAMS:LIGHT,50244
2016-09-01,22.92,23.06,22.76,22.815,XAMS:LIGHT,78010
2016-09-02,23.345,23.4,22.635,23.005,XAMS:LIGHT,81109
2016-09-05,23.34,23.4,22.81,23.4,XAMS:LIGHT,124234
2016-09-06,23.275,23.6,23.27,23.325,XAMS:LIGHT,40273
2016-09-07,23.8,24.05,23.25,23.35,XAMS:LIGHT,108872
2016-09-08,24.005,24.215,23.705,23.73,XAMS:LIGHT,88444
2016-09-09,24.12,24.4,24.0,24.0,XAMS:LIGHT,129643
2016-09-12,24.055,24.19,23.85,24.19,XAMS:LIGHT,266685
2016-09-13,23.95,24.3,23.51,24.2,XAMS:LIGHT,96141
2016-09-14,23.765,24.15,23.45,24.1,XAMS:LIGHT,53520
2016-09-15,23.92,24.035,23.32,23.83,XAMS:LIGHT,55949
2016-09-16,24.37,24.45,23.9,23.9,XAMS:LIGHT,157017
2016-09-19,24.2,24.49,24.03,24.35,XAMS:LIGHT,58833
2016-09-20,24.215,24.33,23.73,24.33,XAMS:LIGHT,194226
2016-09-21,24.225,24.47,24.04,24.2,XAMS:LIGHT,59019
2016-09-22,24.1,24.35,24.0,24.35,XAMS:LIGHT,96124
2016-09-23,24.0,24.16,23.95,24.16,XAMS:LIGHT,69885
2016-09-26,23.84,24.17,23.785,24.17,XAMS:LIGHT,43926
2016-09-27,23.87,24.0,23.475,23.8,XAMS:LIGHT,113557
2016-09-28,23.85,24.0,23.5,23.995,XAMS:LIGHT,136876
2016-09-29,23.73,23.95,23.675,23.95,XAMS:LIGHT,273428
2016-09-30,23.675,23.74,23.5,23.74,XAMS:LIGHT,106263
2016-10-03,23.64,23.9,23.605,23.76,XAMS:LIGHT,72034
2016-10-04,23.355,23.845,23.275,23.51,XAMS:LIGHT,70598
2016-10-05,23.44,23.455,23.115,23.355,XAMS:LIGHT,103662
2016-10-06,24.22,24.22,23.305,23.89,XAMS:LIGHT,412569
2016-10-07,23.795,24.3,23.73,24.3,XAMS:LIGHT,73233
