Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,166.75,167.5,163.75,167.5,XAMS:NSI,0
2000-01-04,165.25,166.25,163.75,165.25,XAMS:NSI,0
2000-01-05,166.5,166.75,163.5,165.0,XAMS:NSI,0
2000-01-06,166.25,166.75,164.0,165.0,XAMS:NSI,0
2000-01-07,164.5,166.25,164.5,166.25,XAMS:NSI,0
2000-01-10,165.0,166.25,164.0,164.0,XAMS:NSI,0
2000-01-11,165.0,166.25,164.0,166.25,XAMS:NSI,0
2000-01-12,165.5,166.25,165.0,165.0,XAMS:NSI,0
2000-01-13,166.25,166.25,165.5,166.25,XAMS:NSI,0
2000-01-14,164.25,166.25,163.75,165.5,XAMS:NSI,0
2000-01-17,164.0,165.75,164.0,165.75,XAMS:NSI,0
2000-01-18,165.5,166.25,165.0,165.0,XAMS:NSI,0
2000-01-19,166.0,166.25,165.0,165.0,XAMS:NSI,0
2000-01-20,166.0,166.25,165.0,166.25,XAMS:NSI,0
2000-01-21,165.0,166.0,165.0,166.0,XAMS:NSI,0
2000-01-24,166.0,167.25,165.0,167.25,XAMS:NSI,0
2000-01-25,165.0,165.0,163.0,163.0,XAMS:NSI,0
2000-01-26,164.0,165.0,163.0,164.0,XAMS:NSI,0
2000-01-27,163.5,165.0,162.5,164.0,XAMS:NSI,0
2000-01-28,165.5,165.5,163.0,165.0,XAMS:NSI,0
2000-01-31,165.5,165.5,162.5,165.0,XAMS:NSI,0
2000-02-01,163.75,164.75,162.5,162.5,XAMS:NSI,0
2000-02-02,163.5,164.5,163.5,164.5,XAMS:NSI,0
2000-02-03,162.75,164.5,162.75,164.5,XAMS:NSI,0
2000-02-04,164.25,164.25,162.75,163.0,XAMS:NSI,0
2000-02-07,163.0,164.75,163.0,164.75,XAMS:NSI,0
2000-02-08,162.75,163.0,162.75,163.0,XAMS:NSI,0
2000-02-09,162.0,164.25,160.5,162.75,XAMS:NSI,0
2000-02-10,160.0,162.5,157.5,162.5,XAMS:NSI,0
2000-02-11,157.75,161.5,157.5,160.0,XAMS:NSI,0
2000-02-14,155.0,160.0,155.0,156.25,XAMS:NSI,0
2000-02-15,155.0,156.25,155.0,156.25,XAMS:NSI,0
2000-02-16,155.0,156.25,153.0,155.0,XAMS:NSI,0
2000-02-17,156.25,156.25,155.0,155.0,XAMS:NSI,0
2000-02-18,153.75,157.25,153.75,155.0,XAMS:NSI,0
2000-02-21,153.75,153.75,152.5,152.5,XAMS:NSI,0
2000-02-22,151.25,153.75,151.25,152.25,XAMS:NSI,0
