Date,Close,High,Low,Open,Symbol,Volume
2005-07-20,25.4,26.14,24.95,25.95,XAMS:RDSA,106040000
2005-07-21,25.29,25.6,25.08,25.5,XAMS:RDSA,43846500
2005-07-22,25.15,25.3,24.81,25.18,XAMS:RDSA,34517700
2005-07-25,25.4,25.59,25.32,25.4,XAMS:RDSA,30178600
2005-07-26,25.3,25.5,25.17,25.32,XAMS:RDSA,25438000
2005-07-27,25.06,25.36,24.99,25.36,XAMS:RDSA,33371000
2005-07-28,24.75,24.94,24.61,24.7,XAMS:RDSA,41448900
2005-07-29,25.36,25.62,24.85,24.85,XAMS:RDSA,37798100
2005-08-01,25.75,25.78,25.32,25.42,XAMS:RDSA,27759300
2005-08-02,26.01,26.23,25.84,25.84,XAMS:RDSA,31271558
2005-08-03,25.97,26.09,25.68,25.88,XAMS:RDSA,21457300
2005-08-04,25.75,25.88,25.67,25.82,XAMS:RDSA,19869500
2005-08-05,25.73,25.79,25.56,25.62,XAMS:RDSA,14111000
2005-08-08,25.96,26.02,25.73,25.83,XAMS:RDSA,15299000
2005-08-09,26.45,26.59,25.92,25.92,XAMS:RDSA,28612800
2005-08-10,27.02,27.06,26.54,26.54,XAMS:RDSA,25780800
2005-08-11,27.19,27.5,27.09,27.23,XAMS:RDSA,22708400
2005-08-12,27.08,27.24,26.96,27.22,XAMS:RDSA,14430200
2005-08-15,27.11,27.24,27.01,27.09,XAMS:RDSA,10033000
2005-08-16,26.8,27.12,26.74,27.11,XAMS:RDSA,13451200
2005-08-17,26.68,26.72,26.53,26.65,XAMS:RDSA,10767500
2005-08-18,26.22,26.55,26.07,26.43,XAMS:RDSA,18962500
2005-08-19,26.41,26.51,26.05,26.15,XAMS:RDSA,15897400
2005-08-22,26.38,26.63,26.34,26.59,XAMS:RDSA,8136500
2005-08-23,26.19,26.3,26.06,26.3,XAMS:RDSA,8876900
2005-08-24,25.97,26.24,25.88,26.16,XAMS:RDSA,13785500
2005-08-25,25.88,26.08,25.88,25.98,XAMS:RDSA,8096399
2005-08-26,25.88,26.2,25.79,25.93,XAMS:RDSA,8907900
2005-08-29,25.74,25.97,25.66,25.83,XAMS:RDSA,6460000
2005-08-30,25.99,26.0,25.74,25.74,XAMS:RDSA,7304200
