Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,164.8707,164.8707,157.1121,157.1121,XAMS:SNOW,345
2000-01-04,172.6293,172.6293,157.1121,164.8707,XAMS:SNOW,221
2000-01-05,172.6293,173.5991,172.6293,173.5991,XAMS:SNOW,67
2000-01-06,155.1724,170.6896,153.2327,168.75,XAMS:SNOW,211
2000-01-07,164.8707,164.8707,155.1724,159.0517,XAMS:SNOW,190
2000-01-10,164.8707,169.7198,164.8707,168.75,XAMS:SNOW,190
2000-01-11,160.0215,164.8707,160.0215,164.8707,XAMS:SNOW,226
2000-01-12,160.0215,160.0215,160.0215,160.0215,XAMS:SNOW,0
2000-01-13,164.8707,164.8707,163.9008,163.9008,XAMS:SNOW,51
2000-01-14,160.0215,162.931,160.0215,162.931,XAMS:SNOW,82
2000-01-17,162.931,162.931,160.0215,160.0215,XAMS:SNOW,46
2000-01-18,160.0215,162.931,160.0215,162.931,XAMS:SNOW,30
2000-01-19,160.0215,162.931,160.0215,160.0215,XAMS:SNOW,268
2000-01-20,161.9612,161.9612,161.9612,161.9612,XAMS:SNOW,20
2000-01-21,155.1724,160.9914,155.1724,160.9914,XAMS:SNOW,232
2000-01-24,151.2931,155.1724,151.2931,155.1724,XAMS:SNOW,108
2000-01-25,147.4138,155.1724,147.4138,155.1724,XAMS:SNOW,67
2000-01-26,155.1724,155.1724,155.1724,155.1724,XAMS:SNOW,41
2000-01-27,155.1724,159.0517,155.1724,159.0517,XAMS:SNOW,56
2000-01-28,232.7586,234.6983,164.8707,164.8707,XAMS:SNOW,3284
2000-01-31,217.2414,232.7586,194.9353,232.7586,XAMS:SNOW,2412
2000-02-01,225.0,225.0,221.1207,221.1207,XAMS:SNOW,371
2000-02-02,223.0603,228.8793,219.181,227.9095,XAMS:SNOW,520
2000-02-03,219.181,223.0603,217.2414,223.0603,XAMS:SNOW,257
2000-02-04,207.5431,219.181,204.6336,219.181,XAMS:SNOW,216
2000-02-07,194.9353,207.5431,194.9353,207.5431,XAMS:SNOW,628
2000-02-08,223.0603,223.0603,218.2112,218.2112,XAMS:SNOW,907
2000-02-09,231.7888,234.6983,224.0302,232.7586,XAMS:SNOW,969
2000-02-10,236.6379,236.6379,230.8189,232.7586,XAMS:SNOW,737
2000-02-11,242.4569,252.1552,239.5474,239.5474,XAMS:SNOW,948
2000-02-14,249.2457,250.2155,244.3965,246.3362,XAMS:SNOW,726
2000-02-15,244.3965,248.2758,242.4569,248.2758,XAMS:SNOW,469
2000-02-16,241.487,242.4569,232.7586,242.4569,XAMS:SNOW,195
2000-02-17,226.9396,242.4569,214.3319,240.5172,XAMS:SNOW,154
2000-02-18,215.3017,218.2112,214.3319,214.3319,XAMS:SNOW,30
2000-02-21,213.3621,215.3017,213.3621,213.3621,XAMS:SNOW,206
2000-02-22,209.4827,214.3319,209.4827,214.3319,XAMS:SNOW,56
2000-02-23,213.3621,213.3621,205.6034,209.4827,XAMS:SNOW,139
2000-02-24,248.2758,248.2758,223.0603,223.0603,XAMS:SNOW,654
2000-02-25,267.6724,271.5517,254.0948,256.0345,XAMS:SNOW,2639
2000-02-28,349.1379,391.8103,268.6422,268.6422,XAMS:SNOW,9182
2000-02-29,504.3103,504.3103,380.1724,387.931,XAMS:SNOW,15007
2000-03-01,630.3879,678.8793,523.7069,552.8017,XAMS:SNOW,17235
2000-03-02,606.1422,704.0948,591.5948,684.6982,XAMS:SNOW,8058
2000-03-03,558.6206,607.112,466.487,601.2931,XAMS:SNOW,7424
2000-03-06,539.2241,583.8362,508.1896,555.7112,XAMS:SNOW,3959
2000-03-07,514.0086,541.1637,505.2801,541.1637,XAMS:SNOW,1665
2000-03-08,482.0043,504.3103,471.3362,504.3103,XAMS:SNOW,2051
2000-03-09,446.1207,468.4267,428.6638,468.4267,XAMS:SNOW,2005
2000-03-10,472.306,475.2155,455.8189,455.8189,XAMS:SNOW,2000
2000-03-13,472.306,472.306,472.306,472.306,XAMS:SNOW,0
2000-03-14,504.3103,518.8577,407.3276,407.3276,XAMS:SNOW,4139
2000-03-15,475.2155,475.2155,417.0258,417.0258,XAMS:SNOW,2454
2000-03-16,472.306,527.5862,469.3965,484.9138,XAMS:SNOW,1299
2000-03-17,486.8534,499.4612,485.8836,485.8836,XAMS:SNOW,525
2000-03-20,514.9784,528.556,504.3103,510.1293,XAMS:SNOW,1103
2000-03-21,496.5517,527.5862,455.8189,523.7069,XAMS:SNOW,912
2000-03-22,499.4612,522.737,498.4913,512.0689,XAMS:SNOW,556
2000-03-23,504.3103,522.737,494.612,522.737,XAMS:SNOW,448
2000-03-24,482.0043,514.0086,481.0344,505.2801,XAMS:SNOW,696
2000-03-27,467.4569,490.7327,461.6379,461.6379,XAMS:SNOW,752
2000-03-28,484.9138,494.612,463.5775,463.5775,XAMS:SNOW,701
2000-03-29,492.6724,504.3103,473.2758,504.3103,XAMS:SNOW,458
2000-03-30,465.5172,484.9138,465.5172,484.9138,XAMS:SNOW,634
2000-03-31,436.4224,439.3319,387.931,439.3319,XAMS:SNOW,2036
2000-04-03,438.362,469.3965,438.362,469.3965,XAMS:SNOW,407
2000-04-04,403.4482,435.4525,379.2026,426.7241,XAMS:SNOW,649
2000-04-05,352.0474,402.4784,330.7112,388.9008,XAMS:SNOW,1062
2000-04-06,464.5474,464.5474,362.7155,362.7155,XAMS:SNOW,1618
2000-04-07,485.8836,523.7069,475.2155,522.737,XAMS:SNOW,2268
2000-04-10,450.0,511.0991,450.0,511.0991,XAMS:SNOW,845
2000-04-11,407.3276,446.1207,385.0215,407.3276,XAMS:SNOW,1515
2000-04-12,431.5732,446.1207,407.3276,407.3276,XAMS:SNOW,850
2000-04-13,436.4224,436.4224,417.0258,418.9655,XAMS:SNOW,531
2000-04-14,436.4224,436.4224,436.4224,436.4224,XAMS:SNOW,0
2000-04-17,420.9051,420.9051,382.112,387.931,XAMS:SNOW,613
2000-04-18,455.8189,455.8189,436.4224,438.362,XAMS:SNOW,680
2000-04-19,432.5431,474.2456,432.5431,465.5172,XAMS:SNOW,525
2000-04-20,427.6939,438.362,417.0258,428.6638,XAMS:SNOW,433
2000-04-21,427.6939,427.6939,427.6939,427.6939,XAMS:SNOW,0
2000-04-24,427.6939,427.6939,427.6939,427.6939,XAMS:SNOW,0
2000-04-25,417.0258,455.8189,417.0258,454.8491,XAMS:SNOW,654
2000-04-26,426.7241,445.1508,426.7241,436.4224,XAMS:SNOW,304
2000-04-27,413.1465,452.9094,409.2672,444.181,XAMS:SNOW,799
2000-04-28,444.181,450.9698,427.6939,436.4224,XAMS:SNOW,603
2000-05-01,441.2715,448.0603,436.4224,448.0603,XAMS:SNOW,309
2000-05-02,433.5129,453.8793,430.6034,446.1207,XAMS:SNOW,768
