Date,Close,High,Low,Open,Symbol,Volume
2000-04-25,1480.0,1505.0,1435.0,1505.0,XAMS:TIE,313
2000-04-26,1500.0,1550.0,1500.0,1525.0,XAMS:TIE,231
2000-04-27,1430.0,1500.0,1410.0,1500.0,XAMS:TIE,171
2000-04-28,1465.0,1500.0,1415.0,1460.0,XAMS:TIE,502
2000-05-01,1490.0,1500.0,1405.0,1500.0,XAMS:TIE,261
2000-05-02,1480.0,1545.0,1480.0,1500.0,XAMS:TIE,753
2000-05-03,1425.0,1500.0,1410.0,1450.0,XAMS:TIE,388
2000-05-04,1515.0,1515.0,1425.0,1430.0,XAMS:TIE,318
2000-05-05,1795.0,1800.0,1550.0,1550.0,XAMS:TIE,2534
2000-05-08,1745.0,1950.0,1710.0,1900.0,XAMS:TIE,2462
2000-05-09,1735.0,1775.0,1630.0,1700.0,XAMS:TIE,497
2000-05-10,1560.0,1750.0,1560.0,1750.0,XAMS:TIE,524
2000-05-11,1700.0,1720.0,1505.0,1545.0,XAMS:TIE,752
2000-05-12,1715.0,1795.0,1685.0,1765.0,XAMS:TIE,407
2000-05-15,1590.0,1700.0,1580.0,1700.0,XAMS:TIE,389
2000-05-16,1650.0,1685.0,1610.0,1650.0,XAMS:TIE,586
2000-05-17,1570.0,1680.0,1550.0,1670.0,XAMS:TIE,337
2000-05-18,1600.0,1600.0,1545.0,1550.0,XAMS:TIE,285
2000-05-19,1500.0,1600.0,1450.0,1600.0,XAMS:TIE,414
2000-05-22,1390.0,1500.0,1330.0,1470.0,XAMS:TIE,1216
2000-05-23,1440.0,1495.0,1400.0,1430.0,XAMS:TIE,399
2000-05-24,1360.0,1400.0,1330.0,1400.0,XAMS:TIE,586
2000-05-25,1470.0,1475.0,1385.0,1385.0,XAMS:TIE,282
2000-05-26,1440.0,1475.0,1400.0,1470.0,XAMS:TIE,146
2000-05-29,1420.0,1470.0,1410.0,1460.0,XAMS:TIE,169
2000-05-30,1350.0,1400.0,1300.0,1400.0,XAMS:TIE,1124
2000-05-31,1370.0,1430.0,1360.0,1400.0,XAMS:TIE,474
2000-06-01,1370.0,1430.0,1360.0,1400.0,XAMS:TIE,474
2000-06-02,1370.0,1400.0,1355.0,1400.0,XAMS:TIE,366
2000-06-05,1380.0,1430.0,1370.0,1400.0,XAMS:TIE,218
2000-06-06,1375.0,1420.0,1340.0,1385.0,XAMS:TIE,252
2000-06-07,1340.0,1385.0,1300.0,1385.0,XAMS:TIE,247
2000-06-08,1325.0,1385.0,1325.0,1375.0,XAMS:TIE,266
2000-06-09,1375.0,1385.0,1330.0,1350.0,XAMS:TIE,272
2000-06-12,1375.0,1385.0,1330.0,1350.0,XAMS:TIE,0
2000-06-13,1350.0,1400.0,1350.0,1400.0,XAMS:TIE,104
2000-06-14,1360.0,1390.0,1330.0,1380.0,XAMS:TIE,100
2000-06-15,1350.0,1380.0,1340.0,1350.0,XAMS:TIE,160
2000-06-16,1335.0,1360.0,1335.0,1360.0,XAMS:TIE,114
2000-06-19,1350.0,1375.0,1335.0,1335.0,XAMS:TIE,139
2000-06-20,1375.0,1415.0,1360.0,1380.0,XAMS:TIE,354
2000-06-21,1350.0,1395.0,1325.0,1395.0,XAMS:TIE,441
2000-06-22,1325.0,1355.0,1315.0,1355.0,XAMS:TIE,247
2000-06-23,1305.0,1325.0,1300.0,1325.0,XAMS:TIE,249
2000-06-26,1300.0,1350.0,1290.0,1350.0,XAMS:TIE,137
2000-06-27,1280.0,1325.0,1225.0,1310.0,XAMS:TIE,389
2000-06-28,1300.0,1300.0,1280.0,1300.0,XAMS:TIE,680
2000-06-29,1280.0,1300.0,1260.0,1300.0,XAMS:TIE,127
2000-06-30,1250.0,1280.0,1250.0,1280.0,XAMS:TIE,265
2000-07-03,1250.0,1270.0,1230.0,1260.0,XAMS:TIE,1
2000-07-04,1230.0,1250.0,1220.0,1245.0,XAMS:TIE,97
2000-07-05,1230.0,1250.0,1225.0,1250.0,XAMS:TIE,0
2000-07-06,1200.0,1240.0,1190.0,1230.0,XAMS:TIE,1
2000-07-07,1240.0,1250.0,1215.0,1240.0,XAMS:TIE,0
2000-07-10,1225.0,4040.0,1205.0,4040.0,XAMS:TIE,0
2000-07-11,1225.0,1225.0,1185.0,1200.0,XAMS:TIE,1
2000-07-12,1210.0,1240.0,1185.0,1210.0,XAMS:TIE,1
2000-07-13,1220.0,1230.0,1185.0,1225.0,XAMS:TIE,1
2000-07-14,1215.0,1230.0,1185.0,1230.0,XAMS:TIE,8
2000-07-17,1200.0,1225.0,1190.0,1230.0,XAMS:TIE,188
2000-07-18,1200.0,1200.0,1175.0,1195.0,XAMS:TIE,184
2000-07-19,1200.0,1200.0,1180.0,1190.0,XAMS:TIE,340
2000-07-20,1220.0,1225.0,1190.0,1190.0,XAMS:TIE,568
2000-07-21,1215.0,1225.0,1185.0,1225.0,XAMS:TIE,85
2000-07-24,1210.0,1220.0,1190.0,1220.0,XAMS:TIE,90
2000-07-25,1180.0,1185.0,1175.0,1185.0,XAMS:TIE,59
2000-07-26,1195.0,1200.0,1175.0,1180.0,XAMS:TIE,99
2000-07-27,1180.0,1190.0,1150.0,1160.0,XAMS:TIE,138
2000-07-28,1110.0,1190.0,1110.0,1160.0,XAMS:TIE,269
2000-07-31,1100.0,1120.0,1070.0,1110.0,XAMS:TIE,330
2000-08-01,1085.0,1120.0,1085.0,1110.0,XAMS:TIE,975
2000-08-02,1060.0,1100.0,1050.0,1100.0,XAMS:TIE,150
2000-08-03,945.0,1075.0,890.0,1075.0,XAMS:TIE,908
2000-08-04,930.0,980.0,925.0,975.0,XAMS:TIE,279
2000-08-07,935.0,990.0,930.0,940.0,XAMS:TIE,259
2000-08-08,915.0,955.0,915.0,955.0,XAMS:TIE,242
2000-08-09,900.0,915.0,855.0,915.0,XAMS:TIE,373
2000-08-10,905.0,920.0,865.0,900.0,XAMS:TIE,146
2000-08-11,865.0,895.0,865.0,890.0,XAMS:TIE,316
2000-08-14,865.0,880.0,855.0,875.0,XAMS:TIE,217
2000-08-15,855.0,900.0,850.0,860.0,XAMS:TIE,242
2000-08-16,880.0,890.0,875.0,890.0,XAMS:TIE,239
2000-08-17,875.0,880.0,855.0,880.0,XAMS:TIE,273
2000-08-18,800.0,865.0,790.0,865.0,XAMS:TIE,1129
2000-08-21,865.0,875.0,815.0,825.0,XAMS:TIE,923
2000-08-22,860.0,925.0,860.0,890.0,XAMS:TIE,1332
2000-08-23,870.0,870.0,830.0,865.0,XAMS:TIE,272
2000-08-24,885.0,895.0,855.0,885.0,XAMS:TIE,259
2000-08-25,875.0,890.0,860.0,885.0,XAMS:TIE,267
2000-08-28,875.0,900.0,855.0,900.0,XAMS:TIE,269
2000-08-29,770.0,855.0,725.0,855.0,XAMS:TIE,1857
