Date,Close,High,Low,Open,Symbol,Volume
1998-07-21,8.9622,9.0756,8.9622,9.0756,XAMS:TWEKA,267232
1998-07-22,9.0189,9.0756,8.9622,8.9622,XAMS:TWEKA,37652
1998-07-23,9.0529,9.0643,8.9622,9.0416,XAMS:TWEKA,35484
1998-07-24,9.0189,9.0189,8.9622,9.0189,XAMS:TWEKA,450824
1998-07-27,8.9281,9.0189,8.9054,8.9622,XAMS:TWEKA,43712
1998-07-28,8.9508,8.9508,8.8487,8.8714,XAMS:TWEKA,26028
1998-07-29,8.9054,8.9054,8.9054,8.9054,XAMS:TWEKA,18800
1998-07-30,8.9508,9.0189,8.8487,8.9054,XAMS:TWEKA,208884
1998-07-31,8.9054,8.9622,8.8487,8.9054,XAMS:TWEKA,4232
1998-08-03,8.792,8.9054,8.792,8.8487,XAMS:TWEKA,21364
1998-08-04,8.6785,8.792,8.6785,8.792,XAMS:TWEKA,43008
1998-08-05,8.5651,8.6218,8.5651,8.6218,XAMS:TWEKA,47320
1998-08-06,8.5197,8.7353,8.5197,8.6559,XAMS:TWEKA,12940
1998-08-07,8.5651,8.5651,8.5084,8.5084,XAMS:TWEKA,27960
1998-08-10,8.5084,8.5991,8.5084,8.5991,XAMS:TWEKA,5424
1998-08-11,8.3949,8.5084,8.3949,8.5084,XAMS:TWEKA,60108
1998-08-12,8.2928,8.3609,8.2815,8.3496,XAMS:TWEKA,33276
1998-08-13,8.168,8.2815,8.168,8.2815,XAMS:TWEKA,14720
1998-08-14,8.168,8.2021,8.168,8.168,XAMS:TWEKA,31744
1998-08-17,8.2248,8.2248,8.1794,8.1794,XAMS:TWEKA,11880
1998-08-18,8.3155,8.3155,8.2248,8.2248,XAMS:TWEKA,35008
1998-08-19,8.792,8.792,8.2248,8.2248,XAMS:TWEKA,12140
1998-08-20,9.0529,9.0529,8.6218,8.8714,XAMS:TWEKA,25028
1998-08-21,8.9054,8.9962,8.9054,8.9962,XAMS:TWEKA,1012
1998-08-24,8.7353,8.8941,8.7353,8.8941,XAMS:TWEKA,6376
