Date,Close,High,Low,Open,Symbol,Volume
2000-01-04,29.15,30.0,29.15,30.0,XBRU:ACKB,13618
2000-01-05,29.2,29.49,28.7,29.02,XBRU:ACKB,16084
2000-01-06,28.4,29.2,28.25,28.75,XBRU:ACKB,18330
2000-01-07,28.76,28.9,28.4,28.7,XBRU:ACKB,9565
2000-01-10,28.4,28.9,28.15,28.7,XBRU:ACKB,10370
2000-01-11,28.4,28.4,28.4,28.4,XBRU:ACKB,0
2000-01-12,28.5,28.69,27.9,28.0,XBRU:ACKB,10171
2000-01-13,28.8,28.8,28.1,28.69,XBRU:ACKB,41140
2000-01-14,28.72,29.5,28.4,29.0,XBRU:ACKB,18302
2000-01-17,29.07,29.3,28.75,28.75,XBRU:ACKB,39501
2000-01-18,28.25,29.0,28.25,28.65,XBRU:ACKB,43932
2000-01-19,28.5,28.9,28.0,28.15,XBRU:ACKB,11112
2000-01-20,28.01,29.0,28.0,28.99,XBRU:ACKB,19241
2000-01-21,27.52,28.0,27.51,28.0,XBRU:ACKB,27616
2000-01-24,28.25,28.25,28.01,28.25,XBRU:ACKB,10596
2000-01-25,27.28,28.25,27.28,28.25,XBRU:ACKB,23406
2000-01-26,26.95,27.45,26.95,27.1,XBRU:ACKB,33969
2000-01-27,27.0,27.2,26.5,27.2,XBRU:ACKB,41723
2000-01-28,26.5,27.5,26.5,26.51,XBRU:ACKB,45670
2000-01-31,26.05,26.6,26.05,26.4,XBRU:ACKB,18919
2000-02-01,26.08,26.6,26.08,26.3,XBRU:ACKB,23963
2000-02-02,26.06,26.45,26.01,26.1,XBRU:ACKB,24794
2000-02-03,26.05,26.5,26.01,26.3,XBRU:ACKB,17712
2000-02-04,26.02,26.75,26.0,26.1,XBRU:ACKB,24332
2000-02-07,26.05,26.65,26.02,26.02,XBRU:ACKB,20549
2000-02-08,26.6,27.5,26.1,26.2,XBRU:ACKB,14929
2000-02-09,26.01,27.0,26.0,26.6,XBRU:ACKB,30119
2000-02-10,25.11,26.19,25.05,26.0,XBRU:ACKB,25531
2000-02-11,24.7,25.95,24.61,25.5,XBRU:ACKB,19620
2000-02-14,25.86,26.35,25.01,25.5,XBRU:ACKB,26826
2000-02-15,27.21,27.23,25.8,26.36,XBRU:ACKB,37021
2000-02-16,28.0,28.0,27.0,27.0,XBRU:ACKB,16216
2000-02-17,27.2,28.5,27.15,28.2,XBRU:ACKB,16653
2000-02-18,26.61,27.5,26.61,27.2,XBRU:ACKB,9524
2000-02-21,26.01,26.98,26.01,26.98,XBRU:ACKB,24614
2000-02-22,26.5,26.5,26.01,26.44,XBRU:ACKB,16621
2000-02-23,27.2,27.2,26.31,26.35,XBRU:ACKB,13009
2000-02-24,28.5,28.9,27.6,27.6,XBRU:ACKB,14093
2000-02-25,28.5,29.0,27.01,28.0,XBRU:ACKB,14474
2000-02-28,27.45,28.1,27.2,28.0,XBRU:ACKB,12658
2000-02-29,27.52,28.49,27.52,28.49,XBRU:ACKB,8847
2000-03-01,28.29,28.4,27.52,27.8,XBRU:ACKB,6991
2000-03-02,27.7,28.3,27.7,28.3,XBRU:ACKB,7395
2000-03-03,26.9,28.25,26.6,27.5,XBRU:ACKB,10406
2000-03-06,26.1,26.9,26.1,26.5,XBRU:ACKB,12150
2000-03-07,27.0,27.9,26.11,26.11,XBRU:ACKB,24723
2000-03-08,27.0,28.0,27.0,28.0,XBRU:ACKB,23444
2000-03-09,27.01,27.5,27.0,27.0,XBRU:ACKB,32197
2000-03-10,27.0,27.8,27.0,27.8,XBRU:ACKB,51169
2000-03-13,27.0,27.0,27.0,27.0,XBRU:ACKB,0
2000-03-14,25.25,27.0,25.2,26.7,XBRU:ACKB,58283
2000-03-15,26.9,27.0,26.0,26.0,XBRU:ACKB,21277
2000-03-16,27.5,29.0,27.5,28.1,XBRU:ACKB,43414
2000-03-17,27.1,28.9,27.1,28.9,XBRU:ACKB,22271
2000-03-20,28.0,28.7,27.7,28.3,XBRU:ACKB,15095
2000-03-21,27.7,28.75,27.7,28.75,XBRU:ACKB,11744
2000-03-22,28.0,28.4,27.1,28.4,XBRU:ACKB,15101
2000-03-23,26.6,28.0,26.6,28.0,XBRU:ACKB,27604
2000-03-24,27.5,27.5,26.51,27.27,XBRU:ACKB,15942
2000-03-27,26.51,27.9,26.51,27.55,XBRU:ACKB,14171
2000-03-28,27.0,27.3,26.4,27.3,XBRU:ACKB,18160
2000-03-29,27.5,27.85,26.51,27.0,XBRU:ACKB,10696
2000-03-30,27.9,27.9,27.5,27.5,XBRU:ACKB,8624
2000-03-31,28.0,28.1,27.45,27.99,XBRU:ACKB,5452
2000-04-03,26.81,28.0,26.8,28.0,XBRU:ACKB,5412
2000-04-04,28.0,28.0,27.0,27.6,XBRU:ACKB,8436
2000-04-05,27.95,28.0,27.75,27.75,XBRU:ACKB,167829
2000-04-06,27.7,28.0,27.7,28.0,XBRU:ACKB,34999
2000-04-07,27.5,27.95,27.2,27.95,XBRU:ACKB,8968
2000-04-10,27.4,27.95,27.2,27.5,XBRU:ACKB,33759
2000-04-11,27.31,28.5,27.12,27.2,XBRU:ACKB,29031
2000-04-12,28.0,28.5,27.3,28.5,XBRU:ACKB,8250
2000-04-13,27.5,28.05,27.1,27.68,XBRU:ACKB,6973
2000-04-14,27.4,28.0,27.4,27.5,XBRU:ACKB,7209
2000-04-17,27.11,27.8,27.1,27.1,XBRU:ACKB,12433
2000-04-18,27.25,27.6,27.15,27.6,XBRU:ACKB,5681
2000-04-19,28.2,28.25,27.16,27.25,XBRU:ACKB,535556
2000-04-20,27.5,28.39,27.45,28.39,XBRU:ACKB,8080
2000-04-21,27.5,27.5,27.5,27.5,XBRU:ACKB,0
2000-04-24,27.5,27.5,27.5,27.5,XBRU:ACKB,0
2000-04-25,27.6,28.18,27.45,27.6,XBRU:ACKB,6565
