Symbol,Date,Close,High,Low,Open,Volume
XBRU:ALKKO,2015-10-27,3.8,4.26,3.31,3.35,20527
XBRU:ALKKO,2015-10-28,4.08,4.25,3.95,4.0,77295
XBRU:ALKKO,2015-10-29,4.4,5.0,4.2,4.2,200384
XBRU:ALKKO,2015-10-30,4.33,4.5,4.15,4.48,56883
XBRU:ALKKO,2015-11-02,3.99,4.25,3.96,4.25,43800
XBRU:ALKKO,2015-11-03,4.1,4.11,3.96,4.01,32285
XBRU:ALKKO,2015-11-04,4.07,4.18,4.03,4.16,7605
XBRU:ALKKO,2015-11-05,4.14,4.17,4.03,4.1,7332
XBRU:ALKKO,2015-11-06,4.14,4.16,4.05,4.16,9997
XBRU:ALKKO,2015-11-09,4.09,4.13,4.04,4.1,8345
XBRU:ALKKO,2015-11-10,4.09,4.1,3.96,4.1,8789
XBRU:ALKKO,2015-11-11,4.04,4.09,3.97,4.09,4460
XBRU:ALKKO,2015-11-12,4.0,4.1,4.0,4.0,7740
XBRU:ALKKO,2015-11-13,3.96,4.09,3.96,3.99,12412
XBRU:ALKKO,2015-11-16,3.86,4.0,3.8,3.95,18863
XBRU:ALKKO,2015-11-17,3.99,3.99,3.9,3.94,4422
XBRU:ALKKO,2015-11-18,4.0,4.0,3.95,3.99,2122
XBRU:ALKKO,2015-11-19,4.0,4.0,3.95,3.95,29575
XBRU:ALKKO,2015-11-20,3.96,4.08,3.96,4.08,4861
XBRU:ALKKO,2015-11-23,4.0,4.0,3.95,4.0,1915
XBRU:ALKKO,2015-11-24,4.02,4.02,3.96,3.96,4919
XBRU:ALKKO,2015-11-25,4.02,4.02,4.0,4.02,3250
XBRU:ALKKO,2015-11-26,4.01,4.02,4.0,4.0,1925
XBRU:ALKKO,2015-11-27,4.02,4.02,4.0,4.0,900
XBRU:ALKKO,2015-11-30,4.0,4.02,4.0,4.01,6664
XBRU:ALKKO,2015-12-01,3.98,4.03,3.98,4.0,1630
XBRU:ALKKO,2015-12-02,4.02,4.03,3.9,4.03,10980
XBRU:ALKKO,2015-12-03,4.02,4.02,4.0,4.02,3350
XBRU:ALKKO,2015-12-04,4.01,4.01,4.0,4.0,1125
XBRU:ALKKO,2015-12-07,3.95,3.96,3.88,3.96,9035
XBRU:ALKKO,2015-12-08,3.95,3.95,3.85,3.85,2523
XBRU:ALKKO,2015-12-09,3.9,3.9,3.8,3.85,6366
XBRU:ALKKO,2015-12-10,3.8,3.85,3.8,3.85,720
XBRU:ALKKO,2015-12-11,3.65,3.91,3.6,3.91,10477
XBRU:ALKKO,2015-12-14,3.77,3.81,3.6,3.81,5161
XBRU:ALKKO,2015-12-15,3.85,3.89,3.51,3.77,695
XBRU:ALKKO,2015-12-16,3.83,3.84,3.61,3.84,3900
XBRU:ALKKO,2015-12-17,3.68,3.85,3.68,3.83,629
XBRU:ALKKO,2015-12-18,3.69,3.85,3.55,3.66,6028
XBRU:ALKKO,2015-12-21,3.63,3.68,3.43,3.56,6230
XBRU:ALKKO,2015-12-22,3.6,3.69,3.45,3.5,3793
XBRU:ALKKO,2015-12-23,3.65,3.65,3.5,3.5,370
XBRU:ALKKO,2015-12-24,3.55,3.65,3.5,3.65,755
XBRU:ALKKO,2015-12-25,3.55,3.55,3.55,3.55,0
XBRU:ALKKO,2015-12-28,3.69,3.69,3.5,3.56,3541
XBRU:ALKKO,2015-12-29,3.7,3.7,3.56,3.69,5765
XBRU:ALKKO,2015-12-30,3.7,3.72,3.7,3.7,2480
XBRU:ALKKO,2015-12-31,3.79,3.8,3.71,3.78,21074
XBRU:ALKKO,2016-01-01,3.79,3.79,3.79,3.79,0
XBRU:ALKKO,2016-01-04,3.89,3.89,3.79,3.79,351
XBRU:ALKKO,2016-01-05,3.95,3.95,3.89,3.89,3170
XBRU:ALKKO,2016-01-06,3.81,3.81,3.8,3.81,1433
XBRU:ALKKO,2016-01-07,3.7,3.81,3.7,3.81,2073
XBRU:ALKKO,2016-01-08,3.7,3.79,3.7,3.79,55
XBRU:ALKKO,2016-01-11,3.7,3.7,3.7,3.7,4500
XBRU:ALKKO,2016-01-12,3.79,3.79,3.75,3.75,800
XBRU:ALKKO,2016-01-13,3.81,3.81,3.79,3.79,442
XBRU:ALKKO,2016-01-14,3.75,3.75,3.7,3.7,23189
XBRU:ALKKO,2016-01-15,3.7,3.71,3.7,3.7,2515
XBRU:ALKKO,2016-01-18,3.75,3.75,3.56,3.7,1204
XBRU:ALKKO,2016-01-19,3.67,3.7,3.56,3.58,5514
XBRU:ALKKO,2016-01-20,3.56,3.72,3.56,3.72,6780
