Symbol,Date,Close,High,Low,Open,Volume
XBRU:ATEB,2000-01-04,21.7143,21.7143,21.4286,21.4286,1799
XBRU:ATEB,2000-01-05,21.7143,21.7143,21.2857,21.2857,1365
XBRU:ATEB,2000-01-06,21.8571,21.8571,21.4286,21.4286,1470
XBRU:ATEB,2000-01-07,21.8571,21.8571,21.8571,21.8571,1505
XBRU:ATEB,2000-01-10,21.8571,21.8571,21.8429,21.8429,560
XBRU:ATEB,2000-01-11,21.8571,21.8571,21.8429,21.8429,0
XBRU:ATEB,2000-01-12,21.8571,21.8571,21.8571,21.8571,4746
XBRU:ATEB,2000-01-13,21.8571,21.8571,21.8571,21.8571,987
XBRU:ATEB,2000-01-14,21.8571,21.8571,21.8571,21.8571,490
XBRU:ATEB,2000-01-17,21.8571,21.8571,21.8571,21.8571,973
XBRU:ATEB,2000-01-18,21.7143,21.7143,21.7143,21.7143,665
XBRU:ATEB,2000-01-19,22.0,22.0,21.8571,21.8571,2065
XBRU:ATEB,2000-01-20,21.7143,21.7143,21.7143,21.7143,302050
XBRU:ATEB,2000-01-21,21.7143,21.7143,21.7143,21.7143,574
XBRU:ATEB,2000-01-24,21.7143,21.7143,21.4286,21.4286,812
XBRU:ATEB,2000-01-25,21.4286,21.4286,21.4286,21.4286,1568
XBRU:ATEB,2000-01-26,21.2857,21.7143,21.2857,21.7143,350
XBRU:ATEB,2000-01-27,21.4286,21.6429,21.4286,21.6429,700
XBRU:ATEB,2000-01-28,21.4286,21.6429,21.4286,21.6429,2800
XBRU:ATEB,2000-01-31,21.1429,21.4286,21.1429,21.4286,1701
XBRU:ATEB,2000-02-01,21.6429,21.6429,21.5714,21.5714,3458
XBRU:ATEB,2000-02-02,21.5714,21.7143,21.5714,21.7143,2212
XBRU:ATEB,2000-02-03,21.1429,21.1429,21.1429,21.1429,2870
XBRU:ATEB,2000-02-04,21.5714,21.5714,21.1429,21.1429,6937
XBRU:ATEB,2000-02-07,21.4286,21.6,21.4286,21.6,1925
XBRU:ATEB,2000-02-08,21.5571,21.5571,21.1571,21.1571,2100
XBRU:ATEB,2000-02-09,20.5714,21.1429,20.5714,21.1429,2485
XBRU:ATEB,2000-02-10,21.4286,21.4286,21.4286,21.4286,924
XBRU:ATEB,2000-02-11,21.2857,21.2857,21.0,21.0,1827
XBRU:ATEB,2000-02-14,21.2857,21.2857,21.0714,21.0714,1407
XBRU:ATEB,2000-02-15,21.2857,21.2857,21.1429,21.1429,1225
XBRU:ATEB,2000-02-16,21.2857,21.2857,20.7143,20.7143,2835
