Symbol,Date,Close,High,Low,Open,Volume
XBRU:BANI,2007-06-26,21.0,21.18,20.8,21.0,505880
XBRU:BANI,2007-06-27,20.99,21.0,20.8,21.0,16705
XBRU:BANI,2007-06-28,21.0,21.0,20.9,20.9,8301
XBRU:BANI,2007-06-29,21.0,21.0,20.9,20.98,5021
XBRU:BANI,2007-07-02,20.99,21.05,20.8,21.05,2600
XBRU:BANI,2007-07-03,21.0,21.04,20.99,20.99,13433
XBRU:BANI,2007-07-04,21.0,21.0,20.8,20.81,3261
XBRU:BANI,2007-07-05,20.99,21.0,20.81,21.0,538
XBRU:BANI,2007-07-06,20.76,20.99,20.76,20.99,2420
XBRU:BANI,2007-07-09,20.88,20.88,20.76,20.76,1173
XBRU:BANI,2007-07-10,20.85,20.9,20.8,20.88,2341
XBRU:BANI,2007-07-11,20.85,20.85,20.85,20.85,30
XBRU:BANI,2007-07-12,20.7,20.71,20.7,20.71,201
XBRU:BANI,2007-07-13,20.75,20.8,20.75,20.8,992
XBRU:BANI,2007-07-16,20.57,20.8,20.57,20.75,1188
XBRU:BANI,2007-07-17,20.75,20.75,20.5,20.75,30260
XBRU:BANI,2007-07-18,20.75,20.75,20.75,20.75,278
XBRU:BANI,2007-07-19,20.78,20.8,20.78,20.8,123
XBRU:BANI,2007-07-20,21.0,21.0,20.79,20.79,58468
XBRU:BANI,2007-07-23,21.07,21.08,21.07,21.08,15
XBRU:BANI,2007-07-24,21.07,21.07,21.07,21.07,10
XBRU:BANI,2007-07-25,21.07,21.07,20.55,21.05,955
XBRU:BANI,2007-07-26,20.5,20.89,20.5,20.89,1668
XBRU:BANI,2007-07-27,20.5,20.5,20.5,20.5,920
XBRU:BANI,2007-07-30,20.9,20.9,20.84,20.89,720
XBRU:BANI,2007-07-31,20.5,20.9,20.5,20.9,576
XBRU:BANI,2007-08-01,20.48,20.48,20.1,20.48,1149
XBRU:BANI,2007-08-02,20.0,20.0,20.0,20.0,150
XBRU:BANI,2007-08-03,19.5,20.0,19.5,20.0,395
XBRU:BANI,2007-08-06,19.4,19.5,19.4,19.5,650
XBRU:BANI,2007-08-07,19.1,20.0,19.1,20.0,505
XBRU:BANI,2007-08-08,19.0,19.0,19.0,19.0,250
XBRU:BANI,2007-08-09,19.15,19.15,19.15,19.15,200
XBRU:BANI,2007-08-10,17.5,19.16,17.5,19.16,4061
XBRU:BANI,2007-08-13,17.7,17.95,17.51,17.83,3720
XBRU:BANI,2007-08-14,18.0,18.2,17.75,17.75,810
XBRU:BANI,2007-08-15,18.4,18.4,17.75,18.2,1695
XBRU:BANI,2007-08-16,18.8,18.8,17.95,18.22,3551
XBRU:BANI,2007-08-17,18.49,18.5,17.55,17.75,3878
XBRU:BANI,2007-08-20,17.7,18.7,17.7,18.7,820
XBRU:BANI,2007-08-21,17.7,17.7,17.6,17.65,926
XBRU:BANI,2007-08-22,18.0,18.2,18.0,18.01,1984
XBRU:BANI,2007-08-23,18.4,18.4,18.4,18.4,364
XBRU:BANI,2007-08-24,18.55,18.55,18.4,18.4,400
XBRU:BANI,2007-08-27,18.98,18.98,18.65,18.65,185
XBRU:BANI,2007-08-28,19.0,19.44,19.0,19.44,670
XBRU:BANI,2007-08-29,18.8,19.44,18.8,19.44,725
XBRU:BANI,2007-08-30,19.4,19.44,18.65,18.65,810
XBRU:BANI,2007-08-31,19.3,19.4,19.3,19.4,75
XBRU:BANI,2007-09-03,19.1,19.4,19.0,19.0,200
XBRU:BANI,2007-09-04,19.0,19.2,19.0,19.01,930
XBRU:BANI,2007-09-05,18.6,20.0,18.6,20.0,2841
XBRU:BANI,2007-09-06,19.5,19.5,18.61,18.61,185
XBRU:BANI,2007-09-07,19.6,19.6,19.0,19.0,2780
XBRU:BANI,2007-09-10,18.8,19.0,18.8,19.0,289
XBRU:BANI,2007-09-11,19.5,19.5,19.0,19.0,54390
XBRU:BANI,2007-09-12,19.62,19.62,19.3,19.5,45421
XBRU:BANI,2007-09-13,19.6,19.6,19.4,19.4,943
XBRU:BANI,2007-09-14,19.63,19.63,19.5,19.62,716
XBRU:BANI,2007-09-17,19.7,19.7,19.59,19.63,4009
XBRU:BANI,2007-09-18,20.45,20.45,19.62,19.63,5661
XBRU:BANI,2007-09-19,20.25,20.59,20.25,20.59,14174
XBRU:BANI,2007-09-20,20.0,20.45,20.0,20.45,324
XBRU:BANI,2007-09-21,20.25,20.25,19.95,20.25,186
XBRU:BANI,2007-09-24,21.08,21.08,20.25,20.25,7610
XBRU:BANI,2007-09-25,20.0,21.05,20.0,21.05,315
XBRU:BANI,2007-09-26,20.9,20.9,20.9,20.9,10
XBRU:BANI,2007-09-27,20.97,20.97,20.89,20.89,680
XBRU:BANI,2007-09-28,20.95,20.97,20.95,20.97,10
XBRU:BANI,2007-10-01,20.05,20.98,20.05,20.98,380
XBRU:BANI,2007-10-02,20.45,20.45,20.45,20.45,10
XBRU:BANI,2007-10-03,19.75,20.45,19.75,20.45,660
XBRU:BANI,2007-10-04,19.74,19.74,19.4,19.5,380
XBRU:BANI,2007-10-05,19.51,19.7,19.51,19.7,64
XBRU:BANI,2007-10-08,19.1,19.51,19.1,19.51,2644
XBRU:BANI,2007-10-09,19.7,19.7,19.02,19.5,92
XBRU:BANI,2007-10-10,19.2,19.7,19.2,19.7,69
XBRU:BANI,2007-10-11,19.2,19.3,19.2,19.3,945
XBRU:BANI,2007-10-12,19.15,19.6,19.15,19.6,650
XBRU:BANI,2007-10-15,19.2,19.2,19.1,19.1,848
XBRU:BANI,2007-10-16,19.5,19.5,19.1,19.15,1770
XBRU:BANI,2007-10-17,19.4,19.4,19.4,19.4,40
XBRU:BANI,2007-10-18,19.0,19.4,19.0,19.4,1324
XBRU:BANI,2007-10-19,19.2,19.3,19.2,19.3,520
XBRU:BANI,2007-10-22,19.0,19.0,18.5,18.85,4541
XBRU:BANI,2007-10-23,19.0,19.0,19.0,19.0,1180
XBRU:BANI,2007-10-24,18.5,19.25,18.5,19.0,2340
XBRU:BANI,2007-10-25,18.9,18.9,18.9,18.9,105
XBRU:BANI,2007-10-26,19.2,19.25,18.99,18.99,2712
XBRU:BANI,2007-10-29,19.2,19.25,19.2,19.25,220
XBRU:BANI,2007-10-30,19.4,19.4,18.9,19.4,90
XBRU:BANI,2007-10-31,19.5,19.5,19.4,19.4,2468
XBRU:BANI,2007-11-01,19.45,19.55,19.4,19.4,765
XBRU:BANI,2007-11-02,19.45,19.45,18.5,19.45,2300
XBRU:BANI,2007-11-05,19.5,19.5,19.5,19.5,1812
XBRU:BANI,2007-11-06,19.5,19.9,19.3,19.9,965
XBRU:BANI,2007-11-07,19.5,19.5,19.5,19.5,1793
XBRU:BANI,2007-11-08,19.55,19.75,19.5,19.5,6847
XBRU:BANI,2007-11-09,19.45,19.55,19.45,19.5,4800
XBRU:BANI,2007-11-12,19.3,19.45,19.3,19.45,300
XBRU:BANI,2007-11-13,19.25,19.45,19.25,19.45,3144
XBRU:BANI,2007-11-14,19.7,19.7,19.25,19.4,17934
XBRU:BANI,2007-11-15,19.79,19.79,19.79,19.79,10
XBRU:BANI,2007-11-16,19.79,19.8,19.79,19.79,1043
XBRU:BANI,2007-11-19,19.25,19.55,19.25,19.5,3589
XBRU:BANI,2007-11-20,19.5,19.5,19.25,19.25,9599
XBRU:BANI,2007-11-21,19.5,19.79,19.2,19.79,2629
XBRU:BANI,2007-11-22,19.4,19.5,19.4,19.5,20
XBRU:BANI,2007-11-23,19.4,19.5,19.05,19.5,235
XBRU:BANI,2007-11-26,19.05,19.5,19.05,19.5,811
XBRU:BANI,2007-11-27,19.05,19.05,19.05,19.05,300
XBRU:BANI,2007-11-28,19.05,19.05,19.05,19.05,174
XBRU:BANI,2007-11-29,19.44,19.44,19.44,19.44,10
XBRU:BANI,2007-11-30,19.5,19.5,19.49,19.5,15
XBRU:BANI,2007-12-03,19.58,19.58,19.58,19.58,10
XBRU:BANI,2007-12-04,19.75,19.75,19.6,19.6,1277
XBRU:BANI,2007-12-05,20.0,20.0,19.75,19.75,3230
XBRU:BANI,2007-12-06,19.45,20.1,19.45,20.1,3305
XBRU:BANI,2007-12-07,19.05,19.99,19.05,19.99,4895
XBRU:BANI,2007-12-10,19.5,19.5,19.5,19.5,115
