Date,Close,High,Low,Open,Symbol,Volume
2015-04-27,13.0,14.48,12.9,13.5,XBRU:BCART,2026952
2015-04-28,12.685,13.29,12.515,13.2,XBRU:BCART,753157
2015-04-29,12.7,13.0,12.63,13.0,XBRU:BCART,158414
2015-04-30,12.51,12.83,12.455,12.83,XBRU:BCART,178303
2015-05-01,12.51,12.51,12.51,12.51,XBRU:BCART,0
2015-05-04,12.46,12.67,12.36,12.53,XBRU:BCART,177740
2015-05-05,12.65,12.83,12.51,12.545,XBRU:BCART,100702
2015-05-06,12.7,12.83,12.61,12.65,XBRU:BCART,68053
2015-05-07,12.6,12.76,12.6,12.76,XBRU:BCART,61232
2015-05-08,12.75,12.9,12.61,12.69,XBRU:BCART,88160
2015-05-11,12.95,12.95,12.765,12.93,XBRU:BCART,82660
2015-05-12,13.29,13.475,12.9,12.9,XBRU:BCART,124608
2015-05-13,13.49,13.75,13.305,13.345,XBRU:BCART,198750
2015-05-14,13.925,13.95,13.5,13.55,XBRU:BCART,58168
2015-05-15,13.895,14.445,13.52,13.95,XBRU:BCART,144265
2015-05-18,14.4,14.53,14.0,14.15,XBRU:BCART,198146
2015-05-19,14.44,14.71,14.1,14.45,XBRU:BCART,164748
2015-05-20,14.45,14.65,14.38,14.5,XBRU:BCART,100057
2015-05-21,14.5,14.6,14.45,14.6,XBRU:BCART,72438
2015-05-22,14.35,14.59,14.31,14.59,XBRU:BCART,28854
2015-05-25,14.29,14.95,14.25,14.35,XBRU:BCART,39628
2015-05-26,14.35,14.485,14.23,14.28,XBRU:BCART,18626
2015-05-27,14.03,14.475,14.0,14.39,XBRU:BCART,46887
2015-05-28,13.6,14.03,13.335,14.04,XBRU:BCART,63869
2015-05-29,13.95,13.95,13.6,13.8,XBRU:BCART,52760
2015-06-01,14.0,14.2,13.955,14.1,XBRU:BCART,25671
2015-06-02,14.025,14.135,13.955,14.0,XBRU:BCART,23426
2015-06-03,14.5,14.5,14.12,14.14,XBRU:BCART,72023
2015-06-04,14.4,14.535,14.04,14.5,XBRU:BCART,105352
2015-06-05,14.3,14.5,14.215,14.405,XBRU:BCART,37896
2015-06-08,13.81,14.33,13.7,14.3,XBRU:BCART,36462
2015-06-09,13.6,14.1,13.6,13.8,XBRU:BCART,16046
2015-06-10,14.075,14.075,13.61,13.61,XBRU:BCART,36016
2015-06-11,14.07,14.075,13.905,14.075,XBRU:BCART,11687
2015-06-12,13.65,14.05,13.645,14.05,XBRU:BCART,24630
2015-06-15,13.55,13.83,13.55,13.6,XBRU:BCART,21414
2015-06-16,13.5,13.55,13.15,13.51,XBRU:BCART,29599
2015-06-17,13.4,13.56,13.2,13.42,XBRU:BCART,15668
2015-06-18,13.215,13.4,13.15,13.4,XBRU:BCART,19019
2015-06-19,13.48,13.49,13.22,13.22,XBRU:BCART,26659
2015-06-22,13.49,13.695,13.215,13.48,XBRU:BCART,41549
2015-06-23,13.27,13.51,13.16,13.5,XBRU:BCART,27643
2015-06-24,13.5,13.65,13.3,13.35,XBRU:BCART,83504
2015-06-25,13.375,13.6,13.37,13.54,XBRU:BCART,17280
2015-06-26,13.28,13.375,13.27,13.375,XBRU:BCART,5973
2015-06-29,12.755,13.145,12.75,13.0,XBRU:BCART,42122
2015-06-30,12.5,12.95,12.5,12.95,XBRU:BCART,47062
2015-07-01,13.1,13.25,12.745,12.75,XBRU:BCART,25751
2015-07-02,12.925,13.065,12.86,13.0,XBRU:BCART,10823
2015-07-03,12.85,13.1,12.85,12.9,XBRU:BCART,1675
2015-07-06,12.75,12.8,12.6,12.75,XBRU:BCART,33649
2015-07-07,12.75,13.0,12.7,12.9,XBRU:BCART,33853
2015-07-08,12.75,12.75,12.555,12.65,XBRU:BCART,17010
2015-07-09,12.78,12.985,12.655,12.75,XBRU:BCART,3793
2015-07-10,13.02,13.23,13.0,13.0,XBRU:BCART,10300
2015-07-13,12.99,13.4,12.99,13.4,XBRU:BCART,10959
2015-07-14,12.75,13.03,12.74,13.03,XBRU:BCART,18097
2015-07-15,13.07,13.1,12.765,12.765,XBRU:BCART,20132
2015-07-16,13.45,13.565,13.1,13.17,XBRU:BCART,41316
2015-07-17,13.55,13.75,13.5,13.6,XBRU:BCART,18022
2015-07-20,13.205,13.55,13.09,13.55,XBRU:BCART,11385
2015-07-21,13.3,13.55,13.21,13.21,XBRU:BCART,18062
2015-07-22,13.25,13.5,13.21,13.275,XBRU:BCART,13384
2015-07-23,13.39,13.39,13.2,13.2,XBRU:BCART,13061
2015-07-24,13.4,13.5,13.155,13.39,XBRU:BCART,27550
2015-07-27,13.5,13.6,13.2,13.2,XBRU:BCART,36741
2015-07-28,13.75,13.875,13.39,13.46,XBRU:BCART,48856
2015-07-29,13.75,13.9,13.405,13.8,XBRU:BCART,14096
2015-07-30,13.75,13.845,13.575,13.7,XBRU:BCART,65577
2015-07-31,13.865,13.9,13.595,13.745,XBRU:BCART,13855
2015-08-03,13.625,13.95,13.625,13.655,XBRU:BCART,22020
2015-08-04,13.72,13.9,13.62,13.815,XBRU:BCART,5675
2015-08-05,13.165,13.68,13.165,13.6,XBRU:BCART,17538
2015-08-06,13.05,13.27,13.05,13.21,XBRU:BCART,8470
2015-08-07,12.75,13.05,12.75,13.0,XBRU:BCART,14507
2015-08-10,12.955,13.0,12.86,12.9,XBRU:BCART,10605
2015-08-11,12.9,13.2,12.88,13.2,XBRU:BCART,32055
2015-08-12,12.75,13.0,12.6,13.0,XBRU:BCART,13497
2015-08-13,13.32,13.47,12.6,12.6,XBRU:BCART,46894
2015-08-14,13.1,13.865,13.1,13.46,XBRU:BCART,12874
2015-08-17,12.87,13.3,12.87,13.3,XBRU:BCART,13971
2015-08-18,12.81,13.235,12.755,12.85,XBRU:BCART,10553
2015-08-19,12.755,12.9,12.75,12.81,XBRU:BCART,11036
2015-08-20,12.75,12.87,12.75,12.85,XBRU:BCART,7773
2015-08-21,12.5,12.815,12.46,12.75,XBRU:BCART,39446
2015-08-24,12.1,12.45,11.95,12.45,XBRU:BCART,83775
2015-08-25,12.805,12.995,12.05,12.05,XBRU:BCART,26426
2015-08-26,12.9,12.98,12.705,12.85,XBRU:BCART,8504
2015-08-27,12.87,12.95,12.7,12.9,XBRU:BCART,10545
2015-08-28,13.0,13.09,12.845,12.9,XBRU:BCART,11852
2015-08-31,13.0,13.195,13.0,13.1,XBRU:BCART,5935
2015-09-01,13.01,13.145,12.95,13.0,XBRU:BCART,10060
2015-09-02,13.2,13.395,13.01,13.01,XBRU:BCART,11909
2015-09-03,13.15,13.31,13.05,13.05,XBRU:BCART,8340
2015-09-04,13.015,13.3,13.015,13.295,XBRU:BCART,7943
2015-09-07,13.225,13.35,13.105,13.35,XBRU:BCART,2385
2015-09-08,13.1,13.3,13.1,13.1,XBRU:BCART,2376
2015-09-09,13.015,13.2,13.01,13.2,XBRU:BCART,2956
2015-09-10,13.29,13.29,12.75,13.01,XBRU:BCART,17880
2015-09-11,13.195,13.3,13.05,13.3,XBRU:BCART,13289
2015-09-14,13.2,13.3,13.2,13.25,XBRU:BCART,5740
