Symbol,Date,Close,High,Low,Open,Volume
XBRU:BEKB,2000-01-04,17.3667,18.7167,17.3667,18.3333,100452
XBRU:BEKB,2000-01-05,16.49,17.3333,16.3167,17.0,141042
XBRU:BEKB,2000-01-06,17.5,17.6667,16.2,16.6333,114855
XBRU:BEKB,2000-01-07,18.1667,18.3333,17.95,18.3167,99819
XBRU:BEKB,2000-01-10,18.85,18.85,18.4833,18.6333,71301
XBRU:BEKB,2000-01-11,18.85,18.85,18.85,18.85,0
XBRU:BEKB,2000-01-12,17.6667,18.3333,17.3333,18.0,74232
XBRU:BEKB,2000-01-13,18.3333,18.3333,17.0,18.1333,115062
XBRU:BEKB,2000-01-14,18.0,18.3333,17.4333,18.3167,70944
XBRU:BEKB,2000-01-17,17.0333,17.9333,17.0,17.5167,80019
XBRU:BEKB,2000-01-18,17.0,17.2667,16.6667,17.0333,62973
XBRU:BEKB,2000-01-19,16.7333,17.0,16.6667,16.7167,150774
XBRU:BEKB,2000-01-20,16.85,17.0667,16.7667,17.0,153354
XBRU:BEKB,2000-01-21,17.9333,18.6667,17.6667,18.5,251295
XBRU:BEKB,2000-01-24,17.3333,18.1333,17.3333,18.1333,66852
XBRU:BEKB,2000-01-25,16.7,17.4333,16.6667,17.3333,96306
XBRU:BEKB,2000-01-26,17.1167,17.3333,16.8333,17.3333,80313
XBRU:BEKB,2000-01-27,16.85,17.3333,16.7333,17.25,42762
XBRU:BEKB,2000-01-28,16.7333,17.0833,16.7,16.75,85545
XBRU:BEKB,2000-01-31,16.2167,16.85,16.2167,16.85,100107
XBRU:BEKB,2000-02-01,16.42,16.8333,16.4,16.8333,56004
XBRU:BEKB,2000-02-02,16.1,16.6333,16.0,16.6333,93432
XBRU:BEKB,2000-02-03,16.8167,16.8333,16.0333,16.3,76464
XBRU:BEKB,2000-02-04,16.4067,16.8333,16.3667,16.8333,64224
XBRU:BEKB,2000-02-07,16.2667,16.4967,16.1667,16.2167,43434
XBRU:BEKB,2000-02-08,16.2267,16.4033,16.0,16.3333,49230
XBRU:BEKB,2000-02-09,15.67,16.13,15.67,16.0,76692
XBRU:BEKB,2000-02-10,14.7367,15.6667,14.1667,15.6667,253857
XBRU:BEKB,2000-02-11,15.2833,15.2833,14.25,14.9967,200199
XBRU:BEKB,2000-02-14,15.47,15.6333,15.0667,15.3333,117888
XBRU:BEKB,2000-02-15,15.7167,16.0,15.3667,15.55,77085
XBRU:BEKB,2000-02-16,15.3667,15.9,15.3333,15.6667,71487
XBRU:BEKB,2000-02-17,15.35,16.0,15.3,16.0,91092
XBRU:BEKB,2000-02-18,15.0,15.9333,15.0,15.0067,240207
XBRU:BEKB,2000-02-21,15.6333,15.6667,15.1667,15.3333,68703
XBRU:BEKB,2000-02-22,15.0333,15.6667,15.0,15.2,52101
XBRU:BEKB,2000-02-23,14.8333,15.1667,14.8333,15.1667,72954
XBRU:BEKB,2000-02-24,15.05,15.6667,15.0,15.5,61920
XBRU:BEKB,2000-02-25,15.33,15.3333,15.0667,15.3167,23958
XBRU:BEKB,2000-02-28,14.9,15.4333,14.9,15.3333,134121
XBRU:BEKB,2000-02-29,15.2833,15.4967,15.0,15.4967,61446
XBRU:BEKB,2000-03-01,14.7333,15.4,14.7333,15.3333,74715
XBRU:BEKB,2000-03-02,14.97,15.1233,14.8333,15.1233,70848
XBRU:BEKB,2000-03-03,15.0,15.1,14.7333,15.0,50265
XBRU:BEKB,2000-03-06,15.0,15.0667,14.8333,15.0667,102369
XBRU:BEKB,2000-03-07,14.9333,15.1667,14.75,15.1667,84855
XBRU:BEKB,2000-03-08,15.0967,15.0967,14.7,14.9667,87090
XBRU:BEKB,2000-03-09,15.3333,15.5833,15.0,15.5833,120501
XBRU:BEKB,2000-03-10,15.1667,15.9,15.1667,15.8333,128960
XBRU:BEKB,2000-03-13,15.1667,15.1667,15.1667,15.1667,0
XBRU:BEKB,2000-03-14,15.0,15.31,14.6667,15.1667,101328
XBRU:BEKB,2000-03-15,16.75,16.75,15.3,15.3333,361689
XBRU:BEKB,2000-03-16,17.2333,18.3333,17.1667,17.6667,369993
XBRU:BEKB,2000-03-17,17.05,18.0,16.4333,18.0,163791
XBRU:BEKB,2000-03-20,16.6833,17.3333,16.3667,17.2167,81870
XBRU:BEKB,2000-03-21,16.6667,17.0,16.1667,17.0,74559
XBRU:BEKB,2000-03-22,16.9333,17.0,16.1333,16.1333,198813
XBRU:BEKB,2000-03-23,16.7333,16.9833,16.3867,16.3867,68544
XBRU:BEKB,2000-03-24,16.7,16.9667,16.7,16.7,38643
XBRU:BEKB,2000-03-27,16.5,16.8,16.3333,16.7,35667
XBRU:BEKB,2000-03-28,16.6667,16.6667,16.4,16.5,54327
XBRU:BEKB,2000-03-29,16.6667,16.8167,16.5,16.5,54159
XBRU:BEKB,2000-03-30,16.58,17.0,16.3333,16.9833,85695
XBRU:BEKB,2000-03-31,16.6667,16.6667,16.1667,16.3333,54693
XBRU:BEKB,2000-04-03,16.15,16.9667,16.15,16.6667,55530
XBRU:BEKB,2000-04-04,16.0,16.9667,16.0,16.6667,73353
XBRU:BEKB,2000-04-05,16.8833,17.0,16.0,16.6667,132324
XBRU:BEKB,2000-04-06,16.6333,16.9333,16.3667,16.3667,100587
XBRU:BEKB,2000-04-07,16.5,16.9,16.5,16.6333,92073
XBRU:BEKB,2000-04-10,16.9,16.9167,16.5833,16.6667,48054
XBRU:BEKB,2000-04-11,16.6833,17.0,16.6,16.6667,47301
XBRU:BEKB,2000-04-12,17.3333,17.4333,16.6667,16.6667,229872
XBRU:BEKB,2000-04-13,17.4,18.1667,17.3333,17.3667,108789
XBRU:BEKB,2000-04-14,17.1667,18.0,17.1667,17.4,53724
XBRU:BEKB,2000-04-17,16.6667,17.2667,16.5667,17.0,60555
XBRU:BEKB,2000-04-18,17.05,17.5,16.9167,17.05,44223
XBRU:BEKB,2000-04-19,17.9,17.9,16.8333,17.6333,69774
XBRU:BEKB,2000-04-20,17.8167,17.8333,17.3333,17.8333,71211
XBRU:BEKB,2000-04-21,17.8167,17.8167,17.8167,17.8167,0
XBRU:BEKB,2000-04-24,17.8167,17.8167,17.8167,17.8167,0
XBRU:BEKB,2000-04-25,17.6667,17.8167,17.3333,17.6667,39576
XBRU:BEKB,2000-04-26,17.5,17.8333,17.3333,17.5,30414
XBRU:BEKB,2000-04-27,17.0,17.7667,16.85,17.5,46563
XBRU:BEKB,2000-04-28,16.7,17.7667,16.7,17.6667,43245
XBRU:BEKB,2000-05-01,16.7,16.7,16.7,16.7,0
XBRU:BEKB,2000-05-02,17.3833,17.6167,16.8333,16.8333,60555
XBRU:BEKB,2000-05-03,17.5667,17.8333,17.0333,17.3333,48423
XBRU:BEKB,2000-05-04,17.8667,18.0,16.95,17.5,130311
XBRU:BEKB,2000-05-05,17.5333,17.95,17.5333,17.9167,40095
XBRU:BEKB,2000-05-08,17.65,17.65,17.2667,17.5833,56550
XBRU:BEKB,2000-05-09,17.65,17.65,17.65,17.65,0
XBRU:BEKB,2000-05-10,17.9167,17.9167,17.3333,17.9167,42204
XBRU:BEKB,2000-05-11,17.8833,18.0,17.35,17.6667,80493
XBRU:BEKB,2000-05-12,17.8333,18.0,17.4,17.6833,31845
XBRU:BEKB,2000-05-15,17.9667,18.0,17.6667,17.8333,34809
XBRU:BEKB,2000-05-16,18.1667,18.2333,17.9167,18.0,57081
