Date,Close,High,Low,Open,Symbol,Volume
2000-01-04,10.75,10.75,10.75,10.75,XBRU:BELU,1160
2000-01-05,10.75,11.0,10.75,11.0,XBRU:BELU,1329
2000-01-06,11.5,11.5,11.0,11.0,XBRU:BELU,1222
2000-01-07,11.5,11.5,11.5,11.5,XBRU:BELU,425
2000-01-10,12.44,12.44,12.0,12.0,XBRU:BELU,3653
2000-01-11,12.44,12.44,12.0,12.0,XBRU:BELU,0
2000-01-12,13.65,13.65,13.65,13.65,XBRU:BELU,583
2000-01-13,14.0,14.2,14.0,14.2,XBRU:BELU,1970
2000-01-14,13.5,14.0,13.5,14.0,XBRU:BELU,1628
2000-01-17,13.6,13.6,13.6,13.6,XBRU:BELU,179
2000-01-18,13.3,14.0,13.3,14.0,XBRU:BELU,3775
2000-01-19,13.3,13.3,13.3,13.3,XBRU:BELU,300
2000-01-20,14.05,14.05,14.05,14.05,XBRU:BELU,1288
2000-01-21,14.0,14.2,14.0,14.2,XBRU:BELU,600
2000-01-24,14.5,14.5,14.5,14.5,XBRU:BELU,2013
2000-01-25,14.0,14.2,14.0,14.2,XBRU:BELU,1220
2000-01-26,14.1,14.1,14.0,14.0,XBRU:BELU,211
2000-01-27,13.5,14.0,13.5,14.0,XBRU:BELU,600
2000-01-28,13.0,13.1,13.0,13.1,XBRU:BELU,349
2000-01-31,13.5,13.5,13.5,13.5,XBRU:BELU,650
2000-02-01,13.5,13.5,13.5,13.5,XBRU:BELU,0
2000-02-02,13.4,13.4,13.4,13.4,XBRU:BELU,100
2000-02-03,13.0,13.4,13.0,13.4,XBRU:BELU,192
2000-02-04,13.5,13.5,13.5,13.5,XBRU:BELU,171
2000-02-07,13.2,13.4,13.2,13.4,XBRU:BELU,390
2000-02-08,13.0,13.0,13.0,13.0,XBRU:BELU,648
2000-02-09,12.0,12.4,12.0,12.4,XBRU:BELU,970
2000-02-10,12.1,12.1,12.1,12.1,XBRU:BELU,140
2000-02-11,13.0,13.0,13.0,13.0,XBRU:BELU,2107
2000-02-14,13.51,13.51,13.0,13.0,XBRU:BELU,4539
2000-02-15,14.01,14.01,14.0,14.0,XBRU:BELU,5591
2000-02-16,14.97,14.97,14.97,14.97,XBRU:BELU,3100
2000-02-17,15.29,15.29,15.0,15.0,XBRU:BELU,4011
2000-02-18,15.0,15.2,15.0,15.2,XBRU:BELU,1660
2000-02-21,14.6,14.6,14.5,14.5,XBRU:BELU,2330
2000-02-22,14.6,14.6,14.6,14.6,XBRU:BELU,3710
2000-02-23,15.0,15.0,15.0,15.0,XBRU:BELU,1425
2000-02-24,15.1,15.1,15.0,15.0,XBRU:BELU,2120
2000-02-25,15.0,15.1,15.0,15.1,XBRU:BELU,940
2000-02-28,15.0,15.2,15.0,15.2,XBRU:BELU,1152
2000-02-29,15.0,15.0,15.0,15.0,XBRU:BELU,3166
2000-03-01,14.9,14.9,14.5,14.5,XBRU:BELU,2673
2000-03-02,14.9,14.9,14.9,14.9,XBRU:BELU,557
2000-03-03,15.0,15.0,14.5,14.5,XBRU:BELU,1870
2000-03-06,14.8,15.0,14.8,15.0,XBRU:BELU,1094
2000-03-07,14.9,15.0,14.9,15.0,XBRU:BELU,495
2000-03-08,15.0,15.0,14.5,14.5,XBRU:BELU,1611
2000-03-09,15.0,15.0,15.0,15.0,XBRU:BELU,2300
2000-03-10,14.3,14.3,14.25,14.25,XBRU:BELU,515
2000-03-13,14.3,14.3,14.25,14.25,XBRU:BELU,0
2000-03-14,12.6,12.6,12.6,12.6,XBRU:BELU,700
2000-03-15,13.0,13.0,13.0,13.0,XBRU:BELU,519
2000-03-16,13.8,13.8,13.8,13.8,XBRU:BELU,390
2000-03-17,13.0,13.0,13.0,13.0,XBRU:BELU,255
