Symbol,Date,Close,High,Low,Open,Volume
XBRU:COLR,2000-01-04,10.3,10.92,10.3,10.54,264355
XBRU:COLR,2000-01-05,10.14,10.7,10.1,10.21,335025
XBRU:COLR,2000-01-06,10.18,10.65,10.14,10.6,244835
XBRU:COLR,2000-01-07,10.82,10.91,10.65,10.79,318980
XBRU:COLR,2000-01-10,11.17,11.25,10.88,10.92,241730
XBRU:COLR,2000-01-11,11.17,11.17,11.17,11.17,0
XBRU:COLR,2000-01-12,10.82,11.1,10.71,10.84,191885
XBRU:COLR,2000-01-13,11.0,11.1,10.95,11.1,322480
XBRU:COLR,2000-01-14,10.92,11.09,10.78,10.78,231690
XBRU:COLR,2000-01-17,10.73,11.0,10.73,10.78,192220
XBRU:COLR,2000-01-18,10.4,10.78,10.4,10.7,195455
XBRU:COLR,2000-01-19,10.33,10.68,10.31,10.31,389295
XBRU:COLR,2000-01-20,10.21,10.6,10.21,10.31,226035
XBRU:COLR,2000-01-21,10.3,10.6,10.2,10.21,389310
XBRU:COLR,2000-01-24,10.23,10.57,10.22,10.4,235090
XBRU:COLR,2000-01-25,10.18,10.36,10.18,10.2,265370
XBRU:COLR,2000-01-26,10.39,10.4,10.15,10.4,702655
XBRU:COLR,2000-01-27,10.25,10.4,10.15,10.15,179755
XBRU:COLR,2000-01-28,10.11,10.2,10.11,10.2,324605
XBRU:COLR,2000-01-31,10.0,10.2,10.0,10.1,826480
XBRU:COLR,2000-02-01,9.8,10.1,9.8,10.01,205235
XBRU:COLR,2000-02-02,9.8,10.0,9.62,9.8,143045
XBRU:COLR,2000-02-03,10.12,10.2,9.65,9.65,156005
XBRU:COLR,2000-02-04,10.17,10.2,9.92,9.96,165345
XBRU:COLR,2000-02-07,10.17,10.2,10.01,10.02,94915
XBRU:COLR,2000-02-08,9.99,10.18,9.97,10.01,173580
XBRU:COLR,2000-02-09,9.602,10.03,9.602,9.97,269475
XBRU:COLR,2000-02-10,9.3,9.6,9.2,9.6,495205
XBRU:COLR,2000-02-11,9.0,9.44,8.52,9.44,413415
XBRU:COLR,2000-02-14,9.38,9.702,9.3,9.3,431270
XBRU:COLR,2000-02-15,9.598,9.898,9.526,9.6,272995
XBRU:COLR,2000-02-16,9.7,9.876,9.68,9.78,142895
XBRU:COLR,2000-02-17,9.6,9.69,9.4,9.69,241680
XBRU:COLR,2000-02-18,9.172,9.6,9.172,9.6,766880
XBRU:COLR,2000-02-21,9.2,9.32,8.8,9.18,237275
XBRU:COLR,2000-02-22,8.4,9.24,8.31,9.2,320015
XBRU:COLR,2000-02-23,8.124,8.6,8.042,8.6,337490
XBRU:COLR,2000-02-24,8.2,8.68,8.2,8.68,149685
XBRU:COLR,2000-02-25,8.64,8.68,8.25,8.4,106225
XBRU:COLR,2000-02-28,8.436,8.7,8.3,8.596,384825
XBRU:COLR,2000-02-29,8.4,8.4,8.16,8.4,135565
XBRU:COLR,2000-03-01,8.16,8.6,8.16,8.4,143885
XBRU:COLR,2000-03-02,8.14,8.5,8.1,8.2,247905
XBRU:COLR,2000-03-03,8.252,8.46,8.1,8.2,108465
XBRU:COLR,2000-03-06,8.1,8.398,8.1,8.398,228205
XBRU:COLR,2000-03-07,8.036,8.18,8.0,8.18,194645
XBRU:COLR,2000-03-08,7.98,8.14,7.98,8.002,178485
XBRU:COLR,2000-03-09,8.142,8.19,7.95,8.0,120130
XBRU:COLR,2000-03-10,7.8,8.2,7.8,8.2,122305
XBRU:COLR,2000-03-13,7.8,7.8,7.8,7.8,0
XBRU:COLR,2000-03-14,7.4,7.68,7.4,7.53,140320
XBRU:COLR,2000-03-15,8.646,8.8,7.6,7.6,406870
