Symbol,Date,Close,High,Low,Open,Volume
XBRU:EURN,2004-12-01,25.85,26.48,23.12,24.1,349067
XBRU:EURN,2004-12-02,24.0,25.48,23.8,25.48,160090
XBRU:EURN,2004-12-03,23.6,24.1,23.3,23.75,121344
XBRU:EURN,2004-12-06,22.1,22.68,22.1,22.68,97246
XBRU:EURN,2004-12-07,20.6,22.0,20.3,22.0,165611
XBRU:EURN,2004-12-08,19.8,20.5,19.4,20.5,111679
XBRU:EURN,2004-12-09,20.5,20.75,18.25,19.5,175407
XBRU:EURN,2004-12-10,20.55,21.33,20.25,20.5,91885
XBRU:EURN,2004-12-13,20.25,20.8,19.75,20.8,95341
XBRU:EURN,2004-12-14,21.77,21.77,20.49,20.49,212984
XBRU:EURN,2004-12-15,22.0,22.3,21.64,21.8,215977
XBRU:EURN,2004-12-16,21.9,22.1,21.25,22.06,192124
XBRU:EURN,2004-12-17,21.89,22.01,21.4,22.01,56318
XBRU:EURN,2004-12-20,21.5,21.89,21.5,21.56,59287
XBRU:EURN,2004-12-21,21.35,21.65,21.25,21.5,51370
XBRU:EURN,2004-12-22,21.05,21.25,20.55,21.25,135424
XBRU:EURN,2004-12-23,19.9,20.75,19.75,20.6,112575
XBRU:EURN,2004-12-24,20.0,20.25,19.87,20.0,17947
XBRU:EURN,2004-12-27,19.85,20.0,19.6,19.9,33013
XBRU:EURN,2004-12-28,19.69,19.89,19.2,19.89,24522
XBRU:EURN,2004-12-29,19.3,19.8,19.2,19.55,45011
XBRU:EURN,2004-12-30,19.0,19.34,18.76,19.21,57546
XBRU:EURN,2004-12-31,19.1,19.1,18.6,18.99,21583
XBRU:EURN,2005-01-03,18.87,19.1,18.61,19.1,34150
XBRU:EURN,2005-01-04,19.34,19.34,18.5,18.65,68369
XBRU:EURN,2005-01-05,18.9,18.99,18.51,18.99,74141
XBRU:EURN,2005-01-06,18.9,18.95,18.75,18.75,94966
XBRU:EURN,2005-01-07,19.39,19.58,18.96,18.98,153239
XBRU:EURN,2005-01-10,19.1,19.49,18.56,19.0,114688
XBRU:EURN,2005-01-11,18.77,19.35,18.75,18.8,63792
XBRU:EURN,2005-01-12,19.05,19.05,18.76,18.95,22379
XBRU:EURN,2005-01-13,19.25,19.25,18.95,19.0,79558
XBRU:EURN,2005-01-14,19.5,19.5,19.2,19.25,103908
XBRU:EURN,2005-01-17,20.3,20.3,19.5,19.5,87314
XBRU:EURN,2005-01-18,20.35,20.35,20.02,20.3,78926
XBRU:EURN,2005-01-19,20.0,20.1,19.85,20.1,94143
XBRU:EURN,2005-01-20,19.32,20.0,19.25,19.95,121827
XBRU:EURN,2005-01-21,19.0,19.2,18.61,19.18,59730
XBRU:EURN,2005-01-24,19.0,19.3,18.8,18.8,30117
XBRU:EURN,2005-01-25,18.2,19.29,18.15,19.0,162457
XBRU:EURN,2005-01-26,18.4,18.7,18.18,18.35,56261
XBRU:EURN,2005-01-27,18.96,19.28,18.3,18.5,183476
XBRU:EURN,2005-01-28,19.04,19.43,19.0,19.0,133751
XBRU:EURN,2005-01-31,19.4,19.5,19.2,19.5,127035
XBRU:EURN,2005-02-01,20.15,20.25,19.6,19.6,328274
XBRU:EURN,2005-02-02,21.1,21.1,20.2,20.2,238161
XBRU:EURN,2005-02-03,21.6,21.95,20.52,21.25,226264
XBRU:EURN,2005-02-04,22.2,22.2,21.5,21.5,225449
XBRU:EURN,2005-02-07,22.14,22.35,21.57,22.0,85328
XBRU:EURN,2005-02-08,21.66,22.35,21.53,22.14,44873
XBRU:EURN,2005-02-09,22.1,22.1,21.6,21.89,55495
XBRU:EURN,2005-02-10,21.9,22.18,21.67,22.1,59506
XBRU:EURN,2005-02-11,22.34,22.47,21.75,21.9,118697
XBRU:EURN,2005-02-14,22.6,22.75,22.25,22.49,79301
XBRU:EURN,2005-02-15,22.7,22.85,22.57,22.65,60461
XBRU:EURN,2005-02-16,22.7,23.25,22.4,23.1,156391
