Symbol,Date,Close,High,Low,Open,Volume
XBRU:EVS,2000-01-04,7.92,8.1,7.9,8.0,78875
XBRU:EVS,2000-01-05,7.462,7.8,7.44,7.8,36675
XBRU:EVS,2000-01-06,7.5,7.7,7.466,7.466,28875
XBRU:EVS,2000-01-07,7.56,7.8,7.5,7.8,54375
XBRU:EVS,2000-01-10,7.7,7.77,7.402,7.77,35575
XBRU:EVS,2000-01-11,7.7,7.7,7.7,7.7,0
XBRU:EVS,2000-01-12,7.5,7.56,7.446,7.56,33150
XBRU:EVS,2000-01-13,7.46,7.56,7.46,7.56,15175
XBRU:EVS,2000-01-14,7.48,7.558,7.462,7.462,8750
XBRU:EVS,2000-01-17,7.462,7.598,7.462,7.48,28000
XBRU:EVS,2000-01-18,7.22,7.5,7.22,7.5,61100
XBRU:EVS,2000-01-19,7.3,7.4,7.3,7.4,19775
XBRU:EVS,2000-01-20,7.358,7.358,7.2,7.23,26375
XBRU:EVS,2000-01-21,7.12,7.35,7.11,7.14,35125
XBRU:EVS,2000-01-24,7.1,7.1,7.0,7.0,67500
XBRU:EVS,2000-01-25,7.0,7.09,7.0,7.09,9875
XBRU:EVS,2000-01-26,6.92,6.92,6.72,6.802,54750
XBRU:EVS,2000-01-27,6.7,6.92,6.7,6.92,34000
XBRU:EVS,2000-01-28,6.9,6.9,6.7,6.7,43275
XBRU:EVS,2000-01-31,6.8,6.9,6.8,6.9,15875
XBRU:EVS,2000-02-01,6.82,6.83,6.812,6.83,10300
XBRU:EVS,2000-02-02,6.72,6.83,6.72,6.81,45925
XBRU:EVS,2000-02-03,6.78,6.78,6.6,6.7,56500
XBRU:EVS,2000-02-04,6.6,6.86,6.6,6.8,44500
XBRU:EVS,2000-02-07,6.402,6.6,6.4,6.6,51050
XBRU:EVS,2000-02-08,6.4,6.6,6.4,6.5,40525
XBRU:EVS,2000-02-09,6.2,6.4,6.12,6.4,69225
XBRU:EVS,2000-02-10,6.06,6.2,6.0,6.0,78000
XBRU:EVS,2000-02-11,5.82,6.2,5.82,6.12,42725
XBRU:EVS,2000-02-14,6.12,6.16,6.0,6.0,73375
XBRU:EVS,2000-02-15,6.0,6.08,5.6,5.6,139150
XBRU:EVS,2000-02-16,5.8,6.0,5.8,6.0,71225
XBRU:EVS,2000-02-17,5.8,5.98,5.8,5.81,56650
XBRU:EVS,2000-02-18,5.85,5.94,5.8,5.88,47250
XBRU:EVS,2000-02-21,5.8,5.9,5.7,5.79,53775
XBRU:EVS,2000-02-22,5.6,5.8,5.6,5.8,54475
XBRU:EVS,2000-02-23,6.296,6.3,5.8,5.8,246500
XBRU:EVS,2000-02-24,7.38,7.5,6.6,6.6,262225
XBRU:EVS,2000-02-25,7.58,7.6,7.38,7.38,226225
XBRU:EVS,2000-02-28,7.0,7.65,7.0,7.6,111525
XBRU:EVS,2000-02-29,7.202,7.32,7.0,7.0,69975
XBRU:EVS,2000-03-01,7.6,7.6,7.4,7.4,48200
XBRU:EVS,2000-03-02,7.86,7.86,7.6,7.6,80525
XBRU:EVS,2000-03-03,7.7,7.8,7.6,7.64,77225
XBRU:EVS,2000-03-06,7.8,7.88,7.56,7.8,183850
XBRU:EVS,2000-03-07,7.2,7.9,7.2,7.88,101050
XBRU:EVS,2000-03-08,7.96,7.96,7.86,7.89,112850
XBRU:EVS,2000-03-09,8.358,8.358,7.86,7.96,219200
XBRU:EVS,2000-03-10,8.5,8.5,8.298,8.3,255100
XBRU:EVS,2000-03-13,8.5,8.5,8.5,8.5,0
XBRU:EVS,2000-03-14,8.4,8.4,8.4,8.4,54650
XBRU:EVS,2000-03-15,7.98,8.38,7.98,8.38,162025
XBRU:EVS,2000-03-16,8.28,8.32,8.2,8.22,223525
XBRU:EVS,2000-03-17,8.5,8.5,8.4,8.4,157725
XBRU:EVS,2000-03-20,8.58,8.6,8.36,8.5,142950
XBRU:EVS,2000-03-21,8.2,8.6,8.2,8.6,106850
XBRU:EVS,2000-03-22,8.38,8.4,8.0,8.2,76800
XBRU:EVS,2000-03-23,8.34,8.38,7.82,8.38,62000
XBRU:EVS,2000-03-24,7.82,8.3,7.8,8.3,71000
XBRU:EVS,2000-03-27,7.8,8.02,7.6,7.82,104450
XBRU:EVS,2000-03-28,7.998,7.998,7.5,7.5,28075
XBRU:EVS,2000-03-29,7.8,7.998,7.8,7.9,38875
XBRU:EVS,2000-03-30,7.6,7.8,7.6,7.8,12550
XBRU:EVS,2000-03-31,7.6,7.6,7.238,7.5,62700
XBRU:EVS,2000-04-03,7.778,7.788,7.4,7.788,9875
XBRU:EVS,2000-04-04,7.8,7.8,7.8,7.8,11850
XBRU:EVS,2000-04-05,7.38,7.7,7.362,7.7,18750
XBRU:EVS,2000-04-06,7.6,7.6,7.38,7.38,7500
XBRU:EVS,2000-04-07,7.9,7.902,7.8,7.8,39625
XBRU:EVS,2000-04-10,8.0,8.1,7.82,8.0,87000
XBRU:EVS,2000-04-11,8.2,8.2,8.0,8.0,18725
XBRU:EVS,2000-04-12,7.8,8.2,7.8,8.2,70125
XBRU:EVS,2000-04-13,8.0,8.0,8.0,8.0,17850
XBRU:EVS,2000-04-14,7.9,8.0,7.84,8.0,94875
XBRU:EVS,2000-04-17,7.412,7.6,7.36,7.6,29575
XBRU:EVS,2000-04-18,7.7,7.8,7.7,7.8,7250
XBRU:EVS,2000-04-19,7.8,7.9,7.8,7.8,16625
XBRU:EVS,2000-04-20,7.5,7.522,7.5,7.522,10000
XBRU:EVS,2000-04-21,7.5,7.5,7.5,7.5,0
XBRU:EVS,2000-04-24,7.5,7.5,7.5,7.5,0
XBRU:EVS,2000-04-25,7.44,7.5,7.412,7.5,25000
XBRU:EVS,2000-04-26,8.0,8.0,8.0,8.0,157625
XBRU:EVS,2000-04-27,8.12,8.12,8.0,8.0,61900
XBRU:EVS,2000-04-28,8.02,8.2,8.02,8.15,48450
XBRU:EVS,2000-05-01,8.02,8.02,8.02,8.02,0
XBRU:EVS,2000-05-02,8.4,8.4,8.12,8.12,159475
XBRU:EVS,2000-05-03,8.4,8.4,8.2,8.4,82050
XBRU:EVS,2000-05-04,8.26,8.4,8.26,8.4,24600
XBRU:EVS,2000-05-05,8.26,8.4,8.26,8.26,12500
XBRU:EVS,2000-05-08,8.2,8.3,8.2,8.3,7150
XBRU:EVS,2000-05-09,8.2,8.2,8.2,8.2,0
XBRU:EVS,2000-05-10,8.0,8.0,7.7,7.8,35550
XBRU:EVS,2000-05-11,7.8,8.19,7.4,8.19,116350
XBRU:EVS,2000-05-12,7.7,7.98,7.62,7.9,112000
XBRU:EVS,2000-05-15,7.798,7.988,7.4,7.72,81325
XBRU:EVS,2000-05-16,7.8,7.99,7.412,7.7,152150
XBRU:EVS,2000-05-17,8.0,8.2,7.622,7.98,173525
XBRU:EVS,2000-05-18,7.76,8.19,7.75,8.19,71250
XBRU:EVS,2000-05-19,7.952,7.978,7.952,7.978,158400
XBRU:EVS,2000-05-22,7.6,7.9,7.6,7.9,61575
XBRU:EVS,2000-05-23,7.44,7.6,7.4,7.6,257050
XBRU:EVS,2000-05-24,7.5,7.558,7.4,7.45,34600
XBRU:EVS,2000-05-25,7.56,7.6,7.4,7.6,24475
XBRU:EVS,2000-05-26,7.686,7.75,7.4,7.6,103100
XBRU:EVS,2000-05-29,7.5,7.68,7.44,7.68,23250
XBRU:EVS,2000-05-30,7.6,7.638,7.6,7.638,2750
XBRU:EVS,2000-05-31,7.48,7.688,7.48,7.502,27975
XBRU:EVS,2000-06-01,7.48,7.48,7.48,7.48,0
XBRU:EVS,2000-06-02,7.52,7.688,7.52,7.688,0
XBRU:EVS,2000-06-05,7.688,7.688,7.52,7.52,8625
XBRU:EVS,2000-06-06,7.888,7.888,7.75,7.75,19575
XBRU:EVS,2000-06-07,7.65,7.888,7.602,7.888,11575
XBRU:EVS,2000-06-08,7.8,7.8,7.8,7.8,22475
XBRU:EVS,2000-06-09,7.798,7.798,7.6,7.7,14875
XBRU:EVS,2000-06-12,7.798,7.798,7.798,7.798,0
XBRU:EVS,2000-06-13,7.4,7.7,7.4,7.7,25025
XBRU:EVS,2000-06-14,7.4,7.402,7.4,7.402,16575
XBRU:EVS,2000-06-15,7.45,7.45,7.426,7.426,19150
XBRU:EVS,2000-06-16,7.36,7.4,7.36,7.4,50550
XBRU:EVS,2000-06-19,7.36,7.36,7.36,7.36,0
XBRU:EVS,2000-06-20,7.7,7.728,7.36,7.36,14825
XBRU:EVS,2000-06-21,7.64,7.7,7.442,7.7,60600
