Symbol,Date,Close,High,Low,Open,Volume
XBRU:FAGR,2007-10-05,9.2464,9.7389,9.2092,9.5252,3967243
XBRU:FAGR,2007-10-08,9.2929,9.4601,9.2836,9.423,683536
XBRU:FAGR,2007-10-09,9.3021,9.3858,9.2929,9.3858,325196
XBRU:FAGR,2007-10-10,9.4322,9.4322,9.3021,9.3393,149684
XBRU:FAGR,2007-10-11,9.3672,9.4601,9.3393,9.4415,413758
XBRU:FAGR,2007-10-12,9.2929,9.4508,9.2929,9.3951,338216
XBRU:FAGR,2007-10-15,9.3579,9.4694,9.2929,9.3951,339400
XBRU:FAGR,2007-10-16,9.2557,9.423,9.2185,9.4137,419139
XBRU:FAGR,2007-10-17,9.2929,9.3951,9.265,9.3951,255034
XBRU:FAGR,2007-10-18,9.2836,9.3672,9.2836,9.3486,288178
XBRU:FAGR,2007-10-19,9.2464,9.3579,9.2464,9.3486,322613
XBRU:FAGR,2007-10-22,9.1999,9.2836,9.1999,9.2836,142393
XBRU:FAGR,2007-10-23,9.1999,9.2929,9.1999,9.2836,85657
XBRU:FAGR,2007-10-24,9.1999,9.2464,9.1813,9.2464,129884
XBRU:FAGR,2007-10-25,9.1628,9.2185,9.1628,9.2185,44657
XBRU:FAGR,2007-10-26,9.1535,9.2278,9.0234,9.1906,162598
XBRU:FAGR,2007-10-29,9.0605,9.1999,9.0234,9.1999,49715
XBRU:FAGR,2007-10-30,8.884,9.0791,8.7539,9.0698,136018
XBRU:FAGR,2007-10-31,8.9211,9.0234,8.8375,9.0234,74896
XBRU:FAGR,2007-11-01,8.8282,9.0605,8.7632,9.0605,43474
XBRU:FAGR,2007-11-02,8.791,8.9862,8.791,8.9862,32820
XBRU:FAGR,2007-11-05,8.8003,8.9955,8.791,8.9955,21844
XBRU:FAGR,2007-11-06,8.8282,8.8468,8.791,8.8468,37340
XBRU:FAGR,2007-11-07,8.7446,8.9211,8.7446,8.8468,63489
XBRU:FAGR,2007-11-08,8.7353,8.884,8.6795,8.884,71990
XBRU:FAGR,2007-11-09,8.7353,8.7353,8.5587,8.6888,254711
XBRU:FAGR,2007-11-12,8.5959,8.6424,8.5308,8.6424,45841
XBRU:FAGR,2007-11-13,8.6052,8.6424,8.3636,8.4751,142152
XBRU:FAGR,2007-11-14,8.6424,8.8189,8.6424,8.8189,134942
XBRU:FAGR,2007-11-15,8.6145,8.7167,8.6145,8.7167,45734
XBRU:FAGR,2007-11-16,8.503,8.7167,8.503,8.7167,31314
XBRU:FAGR,2007-11-19,8.6331,8.7167,8.5494,8.6331,87056
XBRU:FAGR,2007-11-20,8.3636,8.5959,8.1312,8.5959,109331
XBRU:FAGR,2007-11-21,8.4472,8.5959,8.1405,8.1777,89208
XBRU:FAGR,2007-11-22,8.4565,8.503,8.3636,8.503,69515
XBRU:FAGR,2007-11-23,8.503,8.6238,8.3822,8.4658,32498
XBRU:FAGR,2007-11-26,8.3729,8.5494,8.3636,8.5494,20122
XBRU:FAGR,2007-11-27,8.41,8.5401,8.3822,8.5401,49500
XBRU:FAGR,2007-11-28,8.5123,8.5308,8.3636,8.5308,32067
XBRU:FAGR,2007-11-29,8.41,8.5959,8.3636,8.5494,47563
XBRU:FAGR,2007-11-30,8.5308,8.6238,8.4565,8.5494,55849
XBRU:FAGR,2007-12-03,8.5308,8.5773,8.4565,8.5773,109546
XBRU:FAGR,2007-12-04,8.5494,8.5494,8.41,8.5494,10760
XBRU:FAGR,2007-12-05,8.503,8.5401,8.41,8.5308,84150
XBRU:FAGR,2007-12-06,8.4565,8.5215,8.4193,8.4844,54342
XBRU:FAGR,2007-12-07,8.5494,8.5959,8.3636,8.4565,198324
XBRU:FAGR,2007-12-10,8.5308,8.5494,8.4565,8.5494,24534
XBRU:FAGR,2007-12-11,8.4286,8.5494,8.41,8.503,48316
XBRU:FAGR,2007-12-12,8.41,8.5123,8.4007,8.4286,40461
XBRU:FAGR,2007-12-13,8.3914,8.4844,8.2985,8.41,49392
XBRU:FAGR,2007-12-14,8.3729,8.41,8.2613,8.3636,34219
XBRU:FAGR,2007-12-17,7.964,8.4007,7.8989,8.4007,35941
XBRU:FAGR,2007-12-18,7.9454,8.2149,7.9454,8.1312,115787
XBRU:FAGR,2007-12-19,7.9082,8.2799,7.9082,7.9082,89315
XBRU:FAGR,2007-12-20,7.9919,8.1127,7.9082,7.9175,45949
XBRU:FAGR,2007-12-21,8.3171,8.3171,8.0848,8.1034,26041
XBRU:FAGR,2007-12-24,8.6145,8.6145,8.41,8.4472,20122
XBRU:FAGR,2007-12-25,8.6145,8.6145,8.41,8.4472,0
XBRU:FAGR,2007-12-26,8.6145,8.6145,8.41,8.4472,0
XBRU:FAGR,2007-12-27,8.5494,8.6145,8.3636,8.6145,27225
XBRU:FAGR,2007-12-28,8.5494,8.5494,8.3636,8.4193,14419
XBRU:FAGR,2007-12-31,8.5959,8.6238,8.4565,8.5959,8995
XBRU:FAGR,2008-01-01,8.5959,8.6238,8.4565,8.5959,0
XBRU:FAGR,2008-01-02,8.5959,8.5959,8.4565,8.5959,20867
XBRU:FAGR,2008-01-03,8.503,8.5494,8.1777,8.5494,24925
XBRU:FAGR,2008-01-04,8.5401,8.5494,8.3264,8.5494,11396
XBRU:FAGR,2008-01-07,8.5123,8.6145,8.3636,8.5308,47312
XBRU:FAGR,2008-01-08,8.5959,8.8282,8.4658,8.503,99853
XBRU:FAGR,2008-01-09,8.5215,8.726,8.4751,8.726,22094
XBRU:FAGR,2008-01-10,8.6424,8.7446,8.5123,8.726,29289
XBRU:FAGR,2008-01-11,8.6424,8.7353,8.5123,8.6424,70176
XBRU:FAGR,2008-01-14,8.6424,8.7725,8.4565,8.5494,33894
XBRU:FAGR,2008-01-15,8.6424,8.791,8.5494,8.6424,92496
XBRU:FAGR,2008-01-16,8.5494,8.6424,8.4472,8.5959,37428
XBRU:FAGR,2008-01-17,8.503,8.6052,8.503,8.503,26805
XBRU:FAGR,2008-01-18,8.4286,8.5773,8.4193,8.4472,32487
XBRU:FAGR,2008-01-21,8.1777,8.5494,7.9919,8.4565,105527
XBRU:FAGR,2008-01-22,8.0848,8.1591,7.7131,7.9454,90060
