Date,Close,High,Low,Open,Symbol,Volume
2000-01-04,53.0,56.0,53.0,55.7,XBRU:IBAB,33511
2000-01-05,51.1,52.8,50.5,51.0,XBRU:IBAB,52273
2000-01-06,51.0,52.0,51.0,52.0,XBRU:IBAB,23010
2000-01-07,51.55,51.95,51.05,51.95,XBRU:IBAB,26710
2000-01-10,53.85,55.0,53.0,53.3,XBRU:IBAB,30255
2000-01-11,53.85,53.85,53.85,53.85,XBRU:IBAB,0
2000-01-12,52.8,54.3,52.0,53.7,XBRU:IBAB,25051
2000-01-13,53.0,53.9,53.0,53.2,XBRU:IBAB,35751
2000-01-14,53.25,53.75,51.8,53.5,XBRU:IBAB,33664
2000-01-17,52.1,53.35,51.55,53.35,XBRU:IBAB,33188
2000-01-18,52.25,53.0,51.3,52.1,XBRU:IBAB,34853
2000-01-19,51.65,52.5,51.1,52.25,XBRU:IBAB,55434
2000-01-20,51.95,52.0,51.1,51.95,XBRU:IBAB,38515
2000-01-21,51.0,52.0,51.0,51.95,XBRU:IBAB,55678
2000-01-24,51.05,52.8,51.05,51.95,XBRU:IBAB,34200
2000-01-25,50.9,51.25,49.6,51.0,XBRU:IBAB,63464
2000-01-26,51.7,52.0,50.95,51.0,XBRU:IBAB,41854
2000-01-27,49.1,51.6,49.1,51.1,XBRU:IBAB,118678
2000-01-28,49.0,49.75,47.8,49.75,XBRU:IBAB,110932
2000-01-31,45.0,46.55,45.0,46.55,XBRU:IBAB,146812
2000-02-01,46.05,46.2,45.5,45.5,XBRU:IBAB,78540
2000-02-02,46.0,47.0,45.7,46.5,XBRU:IBAB,81606
2000-02-03,49.8,49.8,46.6,47.0,XBRU:IBAB,138012
2000-02-04,49.9,51.0,49.1,50.9,XBRU:IBAB,66851
2000-02-07,50.45,50.5,49.66,50.0,XBRU:IBAB,28743
2000-02-08,49.98,50.5,49.75,50.0,XBRU:IBAB,30866
2000-02-09,47.45,49.89,47.45,49.82,XBRU:IBAB,61463
2000-02-10,46.61,47.45,46.25,47.0,XBRU:IBAB,84251
2000-02-11,49.1,49.1,45.65,48.0,XBRU:IBAB,78233
2000-02-14,51.8,51.8,49.0,49.1,XBRU:IBAB,58339
2000-02-15,52.25,53.2,51.5,51.8,XBRU:IBAB,46272
2000-02-16,51.0,52.0,50.0,51.0,XBRU:IBAB,28521
2000-02-17,51.25,52.0,50.55,51.95,XBRU:IBAB,42187
2000-02-18,48.75,52.1,48.7,52.1,XBRU:IBAB,105760
2000-02-21,49.5,50.9,49.0,50.0,XBRU:IBAB,31630
