Symbol,Date,Close,High,Low,Open,Volume
XBRU:IEP,2000-01-04,35.0,35.0,35.0,35.0,1847
XBRU:IEP,2000-01-05,34.5,35.5,34.5,35.5,800
XBRU:IEP,2000-01-06,35.8,35.8,34.5,34.5,4390
XBRU:IEP,2000-01-07,37.5,37.5,37.5,37.5,6520
XBRU:IEP,2000-01-10,37.5,37.5,37.5,37.5,0
XBRU:IEP,2000-01-11,37.5,37.5,37.5,37.5,0
XBRU:IEP,2000-01-12,39.5,40.0,39.5,40.0,3987
XBRU:IEP,2000-01-13,38.5,39.0,38.5,39.0,1250
XBRU:IEP,2000-01-14,38.7,38.7,38.5,38.5,777
XBRU:IEP,2000-01-17,39.95,39.95,39.95,39.95,519
XBRU:IEP,2000-01-18,40.0,40.5,40.0,40.5,765
XBRU:IEP,2000-01-19,38.75,40.0,38.75,40.0,910
XBRU:IEP,2000-01-20,38.51,38.71,38.51,38.71,595
XBRU:IEP,2000-01-21,38.51,38.51,38.51,38.51,485
XBRU:IEP,2000-01-24,38.51,39.0,38.51,39.0,1668
XBRU:IEP,2000-01-25,38.51,38.51,38.51,38.51,545
XBRU:IEP,2000-01-26,38.5,38.51,38.5,38.51,828
XBRU:IEP,2000-01-27,37.5,38.0,37.5,38.0,1515
XBRU:IEP,2000-01-28,37.01,37.2,37.01,37.2,550
XBRU:IEP,2000-01-31,37.01,37.95,37.01,37.95,3126
XBRU:IEP,2000-02-01,37.01,37.01,37.01,37.01,550
XBRU:IEP,2000-02-02,37.0,37.01,37.0,37.01,2240
XBRU:IEP,2000-02-03,37.01,37.01,37.0,37.0,792
XBRU:IEP,2000-02-04,37.0,37.01,37.0,37.01,541
XBRU:IEP,2000-02-07,37.0,37.25,37.0,37.25,1065
XBRU:IEP,2000-02-08,36.11,36.99,36.11,36.99,506
XBRU:IEP,2000-02-09,35.8,35.9,35.8,35.9,1370
XBRU:IEP,2000-02-10,35.5,35.5,35.0,35.0,2278
XBRU:IEP,2000-02-11,34.0,35.0,34.0,35.0,778
XBRU:IEP,2000-02-14,34.0,34.0,34.0,34.0,988
XBRU:IEP,2000-02-15,34.0,34.0,34.0,34.0,720
XBRU:IEP,2000-02-16,32.01,33.0,32.01,33.0,1117
XBRU:IEP,2000-02-17,32.0,32.0,32.0,32.0,780
XBRU:IEP,2000-02-18,32.0,32.0,31.5,31.5,730
XBRU:IEP,2000-02-21,32.0,33.0,32.0,33.0,620
XBRU:IEP,2000-02-22,32.0,33.5,32.0,33.5,1367
XBRU:IEP,2000-02-23,32.0,32.0,32.0,32.0,1067
XBRU:IEP,2000-02-24,33.46,33.46,32.0,32.0,617
XBRU:IEP,2000-02-25,33.25,33.25,32.0,32.0,771
XBRU:IEP,2000-02-28,33.25,33.25,33.25,33.25,805
XBRU:IEP,2000-02-29,35.15,35.15,33.48,33.48,1540
XBRU:IEP,2000-03-01,36.9,36.9,36.0,36.0,1215
XBRU:IEP,2000-03-02,38.0,38.0,37.01,37.01,831
XBRU:IEP,2000-03-03,38.0,38.0,37.01,37.01,0
XBRU:IEP,2000-03-06,38.0,38.0,37.01,37.01,0
XBRU:IEP,2000-03-07,46.05,48.47,46.05,48.47,7051
XBRU:IEP,2000-03-08,42.76,45.01,42.76,45.01,2554
XBRU:IEP,2000-03-09,40.0,41.9,40.0,41.9,4109
XBRU:IEP,2000-03-10,38.51,40.0,38.51,40.0,1600
XBRU:IEP,2000-03-13,39.0,39.0,38.51,38.51,1410
XBRU:IEP,2000-03-14,41.91,41.91,40.1,40.1,948
XBRU:IEP,2000-03-15,44.9,44.9,44.9,44.9,1823
XBRU:IEP,2000-03-16,48.0,48.0,46.1,46.1,3624
XBRU:IEP,2000-03-17,46.5,48.5,46.5,48.5,3272
XBRU:IEP,2000-03-20,46.0,46.0,46.0,46.0,1833
XBRU:IEP,2000-03-21,43.0,43.0,43.0,43.0,988
XBRU:IEP,2000-03-22,40.0,42.0,40.0,42.0,1472
XBRU:IEP,2000-03-23,40.0,40.0,40.0,40.0,770
