Symbol,Date,Close,High,Low,Open,Volume
XBRU:MELE,2002-05-17,7.98,8.1,7.55,7.55,520800
XBRU:MELE,2002-05-20,8.8,9.0,8.25,8.39,29774
XBRU:MELE,2002-05-21,9.0,9.35,8.9,8.9,167412
XBRU:MELE,2002-05-22,8.95,9.04,8.6,9.0,161697
XBRU:MELE,2002-05-23,9.0,9.04,8.9,8.95,114520
XBRU:MELE,2002-05-24,9.1,9.1,9.0,9.01,39680
XBRU:MELE,2002-05-27,8.9,9.1,8.85,9.1,49758
XBRU:MELE,2002-05-28,8.75,8.9,8.53,8.8,16552
XBRU:MELE,2002-05-29,8.65,8.99,8.62,8.75,36094
XBRU:MELE,2002-05-30,8.6,8.7,8.55,8.66,28782
XBRU:MELE,2002-05-31,8.65,8.7,8.57,8.6,26197
XBRU:MELE,2002-06-03,8.7,8.75,8.65,8.69,21330
XBRU:MELE,2002-06-04,8.66,8.75,8.6,8.75,41647
XBRU:MELE,2002-06-05,9.0,9.0,8.7,8.75,26705
XBRU:MELE,2002-06-06,8.76,9.0,8.71,8.99,62783
XBRU:MELE,2002-06-07,9.05,9.2,8.75,8.75,271910
XBRU:MELE,2002-06-10,8.72,9.0,8.72,9.0,21195
XBRU:MELE,2002-06-11,8.8,9.08,8.75,8.75,42775
XBRU:MELE,2002-06-12,8.8,8.95,8.75,8.75,25538
XBRU:MELE,2002-06-13,8.75,8.9,8.71,8.9,57506
XBRU:MELE,2002-06-14,8.01,8.72,8.0,8.72,145328
XBRU:MELE,2002-06-17,8.5,8.55,8.1,8.1,47730
XBRU:MELE,2002-06-18,8.3,8.5,8.15,8.48,58905
XBRU:MELE,2002-06-19,8.0,8.12,7.85,8.12,6112
XBRU:MELE,2002-06-20,7.8,7.99,7.8,7.99,10265
XBRU:MELE,2002-06-21,7.88,8.05,7.61,8.05,6820
XBRU:MELE,2002-06-24,7.45,7.9,7.45,7.9,20895
XBRU:MELE,2002-06-25,7.0,7.7,7.0,7.7,87417
XBRU:MELE,2002-06-26,6.85,6.85,6.0,6.7,189266
XBRU:MELE,2002-06-27,6.95,7.15,6.9,7.09,31957
XBRU:MELE,2002-06-28,7.35,7.64,7.25,7.64,92315
XBRU:MELE,2002-07-01,7.45,7.48,7.25,7.48,20435
XBRU:MELE,2002-07-02,7.26,7.45,7.26,7.4,44315
XBRU:MELE,2002-07-03,7.25,7.45,7.25,7.3,21540
XBRU:MELE,2002-07-04,7.35,7.35,7.25,7.3,6200
XBRU:MELE,2002-07-05,7.45,7.5,7.35,7.4,6210
XBRU:MELE,2002-07-08,7.47,7.5,7.39,7.5,8944
XBRU:MELE,2002-07-09,7.39,7.5,7.39,7.45,23626
XBRU:MELE,2002-07-10,7.27,7.5,7.27,7.5,7889
XBRU:MELE,2002-07-11,6.95,7.25,6.9,7.25,27543
XBRU:MELE,2002-07-12,7.2,7.3,7.0,7.0,5305
XBRU:MELE,2002-07-15,7.24,7.25,7.0,7.24,5131
XBRU:MELE,2002-07-16,7.0,7.25,6.98,7.25,30005
XBRU:MELE,2002-07-17,7.3,7.35,7.0,7.0,14070
XBRU:MELE,2002-07-18,7.4,7.5,7.1,7.1,5453
XBRU:MELE,2002-07-19,7.35,7.35,7.25,7.35,1150
XBRU:MELE,2002-07-22,7.25,7.35,7.1,7.35,17509
XBRU:MELE,2002-07-23,7.0,7.34,7.0,7.3,12585
XBRU:MELE,2002-07-24,6.75,7.1,6.55,7.1,50390
XBRU:MELE,2002-07-25,6.5,7.04,6.4,6.9,57555
XBRU:MELE,2002-07-26,6.64,6.64,6.4,6.5,10041
XBRU:MELE,2002-07-29,6.65,6.65,6.45,6.45,32341
XBRU:MELE,2002-07-30,6.7,6.8,6.7,6.8,4770
XBRU:MELE,2002-07-31,6.6,6.8,6.6,6.71,7820
XBRU:MELE,2002-08-01,6.85,6.85,6.8,6.85,2530
XBRU:MELE,2002-08-02,6.8,6.85,6.6,6.6,4640
XBRU:MELE,2002-08-05,6.6,6.9,6.6,6.74,16292
XBRU:MELE,2002-08-06,6.9,6.9,6.5,6.8,71287
XBRU:MELE,2002-08-07,7.15,7.3,6.65,7.05,73752
XBRU:MELE,2002-08-08,7.2,7.3,7.15,7.24,21960
XBRU:MELE,2002-08-09,7.1,7.3,7.1,7.3,25490
XBRU:MELE,2002-08-12,7.0,7.29,7.0,7.29,15703
XBRU:MELE,2002-08-13,7.0,7.2,6.9,7.2,22835
XBRU:MELE,2002-08-14,6.9,7.15,6.9,6.99,20585
XBRU:MELE,2002-08-15,6.92,7.05,6.92,7.05,1802
XBRU:MELE,2002-08-16,7.0,7.22,7.0,7.22,9800
XBRU:MELE,2002-08-19,6.85,7.2,6.85,7.11,16122
XBRU:MELE,2002-08-20,7.13,7.15,7.01,7.01,11109
XBRU:MELE,2002-08-21,7.0,7.15,7.0,7.1,9891
XBRU:MELE,2002-08-22,7.1,7.1,7.02,7.09,30943
XBRU:MELE,2002-08-23,7.1,7.18,7.0,7.16,22967
XBRU:MELE,2002-08-26,7.1,7.1,7.05,7.1,8740
XBRU:MELE,2002-08-27,6.95,7.1,6.95,7.1,13412
XBRU:MELE,2002-08-28,7.0,7.1,6.95,7.1,12579
XBRU:MELE,2002-08-29,6.85,7.0,6.85,7.0,19440
XBRU:MELE,2002-08-30,6.95,7.0,6.95,7.0,16333
XBRU:MELE,2002-09-02,7.0,7.1,7.0,7.0,4761
XBRU:MELE,2002-09-03,6.85,7.0,6.85,6.98,15651
XBRU:MELE,2002-09-04,6.75,7.04,6.75,6.85,12291
XBRU:MELE,2002-09-05,6.9,6.95,6.85,6.86,7248
XBRU:MELE,2002-09-06,6.6,6.75,6.45,6.75,11995
XBRU:MELE,2002-09-09,6.46,6.65,6.46,6.65,25622
XBRU:MELE,2002-09-10,6.34,6.53,6.21,6.51,38730
XBRU:MELE,2002-09-11,6.23,6.43,6.0,6.26,39481
XBRU:MELE,2002-09-12,6.0,6.26,6.0,6.26,32771
XBRU:MELE,2002-09-13,5.7,6.0,5.55,6.0,67779
