Date,Close,High,Low,Open,Symbol,Volume
2000-01-04,36.5,37.0,36.5,37.0,XBRU:MIKO,360
2000-01-05,38.4,38.4,38.4,38.4,XBRU:MIKO,365
2000-01-06,35.2,35.2,35.2,35.2,XBRU:MIKO,1380
2000-01-07,37.0,37.0,37.0,37.0,XBRU:MIKO,700
2000-01-10,37.1,37.1,37.0,37.0,XBRU:MIKO,1950
2000-01-11,37.1,37.1,37.1,37.1,XBRU:MIKO,0
2000-01-12,40.0,40.0,40.0,40.0,XBRU:MIKO,22167
2000-01-13,40.0,40.0,39.9,39.9,XBRU:MIKO,410
2000-01-14,39.0,40.0,39.0,40.0,XBRU:MIKO,3362
2000-01-17,38.95,39.5,38.95,39.5,XBRU:MIKO,347
2000-01-18,38.2,38.2,38.2,38.2,XBRU:MIKO,355
2000-01-19,36.9,38.0,36.9,38.0,XBRU:MIKO,1358
2000-01-20,37.0,37.0,37.0,37.0,XBRU:MIKO,405
2000-01-21,35.2,35.2,35.2,35.2,XBRU:MIKO,2180
2000-01-24,36.0,36.0,35.0,35.0,XBRU:MIKO,7158
2000-01-25,34.75,35.0,34.75,35.0,XBRU:MIKO,750
2000-01-26,33.7,34.68,33.7,34.68,XBRU:MIKO,770
2000-01-27,34.91,34.91,34.5,34.5,XBRU:MIKO,875
2000-01-28,34.3,35.1,34.3,35.1,XBRU:MIKO,360
2000-01-31,34.0,34.1,34.0,34.1,XBRU:MIKO,711
2000-02-01,33.7,34.0,33.7,34.0,XBRU:MIKO,900
2000-02-02,33.59,34.0,33.59,34.0,XBRU:MIKO,460
2000-02-03,32.0,33.0,32.0,33.0,XBRU:MIKO,1055
2000-02-04,33.6,33.6,32.0,32.0,XBRU:MIKO,1205
2000-02-07,33.5,33.5,33.5,33.5,XBRU:MIKO,596
2000-02-08,31.0,32.0,31.0,32.0,XBRU:MIKO,1225
2000-02-09,32.45,32.45,32.45,32.45,XBRU:MIKO,480
2000-02-10,31.2,31.25,31.2,31.25,XBRU:MIKO,735
2000-02-11,32.5,32.5,31.0,31.0,XBRU:MIKO,1918
2000-02-14,33.0,33.0,33.0,33.0,XBRU:MIKO,941
