Symbol,Date,Close,High,Low,Open,Volume
XBRU:MITRA,2015-06-30,11.95,11.97,10.9,11.0,317730
XBRU:MITRA,2015-07-01,12.0,12.35,11.85,12.035,201015
XBRU:MITRA,2015-07-02,12.0,12.17,11.8,12.14,79909
XBRU:MITRA,2015-07-03,11.93,12.0,11.82,12.0,19987
XBRU:MITRA,2015-07-06,12.0,12.0,11.66,11.805,39813
XBRU:MITRA,2015-07-07,11.75,11.98,11.65,11.98,22422
XBRU:MITRA,2015-07-08,11.7,11.7,11.36,11.6,47669
XBRU:MITRA,2015-07-09,11.825,11.825,11.5,11.7,19090
XBRU:MITRA,2015-07-10,11.96,11.96,11.825,11.825,19643
XBRU:MITRA,2015-07-13,11.755,11.99,11.5,11.99,31693
XBRU:MITRA,2015-07-14,11.99,11.99,11.68,11.68,31961
XBRU:MITRA,2015-07-15,12.01,12.01,11.82,11.995,28976
XBRU:MITRA,2015-07-16,12.0,12.01,11.8,12.01,36603
XBRU:MITRA,2015-07-17,12.01,12.01,11.855,11.985,17598
XBRU:MITRA,2015-07-20,12.01,12.02,11.8,12.01,27603
XBRU:MITRA,2015-07-21,11.98,11.995,11.7,11.995,48108
XBRU:MITRA,2015-07-22,11.96,11.975,11.67,11.975,39614
XBRU:MITRA,2015-07-23,11.94,11.955,11.725,11.76,6380
XBRU:MITRA,2015-07-24,11.92,11.93,11.71,11.9,12342
XBRU:MITRA,2015-07-27,11.9,11.91,11.71,11.91,19181
XBRU:MITRA,2015-07-28,11.89,11.9,11.75,11.9,11653
XBRU:MITRA,2015-07-29,11.85,11.89,11.78,11.885,12548
XBRU:MITRA,2015-07-30,11.7,11.84,11.7,11.84,5840
XBRU:MITRA,2015-07-31,11.5,11.745,11.5,11.7,18508
XBRU:MITRA,2015-08-03,11.43,11.73,11.4,11.41,9231
XBRU:MITRA,2015-08-04,11.65,11.7,11.435,11.5,5877
XBRU:MITRA,2015-08-05,11.435,11.7,11.43,11.69,6791
XBRU:MITRA,2015-08-06,11.45,11.54,11.43,11.54,4185
XBRU:MITRA,2015-08-07,11.115,11.51,10.93,11.5,40847
XBRU:MITRA,2015-08-10,11.49,11.695,11.3,11.4,30995
XBRU:MITRA,2015-08-11,11.6,11.68,11.515,11.68,22904
XBRU:MITRA,2015-08-12,11.54,11.6,11.45,11.6,15817
