Date,Close,High,Low,Open,Symbol,Volume
2006-10-17,29.2835,29.5369,29.2835,29.5369,XBRU:MONT,78946
2006-10-18,29.7117,29.7117,29.6156,29.6156,XBRU:MONT,20667
2006-10-19,29.5369,29.7117,29.5369,29.7117,XBRU:MONT,10614
2006-10-20,29.7117,29.7117,29.66800000000001,29.66800000000001,XBRU:MONT,7116
2006-10-23,29.7554,29.7554,29.7117,29.7117,XBRU:MONT,5001
2006-10-24,29.7117,29.7117,29.7117,29.7117,XBRU:MONT,10234
2006-10-25,29.7117,29.7117,29.7117,29.7117,XBRU:MONT,1075
2006-10-26,29.7991,29.7991,29.7816,29.7816,XBRU:MONT,2393
2006-10-27,30.236,30.236,30.236,30.236,XBRU:MONT,2311
2006-10-30,30.2797,30.2797,30.2797,30.2797,XBRU:MONT,3556
2006-10-31,30.1487,30.2797,30.1487,30.2797,XBRU:MONT,3192
2006-11-01,30.1487,30.1487,30.1487,30.1487,XBRU:MONT,17
2006-11-02,30.1487,30.1487,30.1487,30.1487,XBRU:MONT,1429
2006-11-03,30.1487,30.1487,29.9826,29.9826,XBRU:MONT,1457
2006-11-06,30.0176,30.1487,30.0176,30.1487,XBRU:MONT,3379
2006-11-07,30.105,30.105,30.0176,30.0176,XBRU:MONT,1330
2006-11-08,30.0613,30.0613,30.0613,30.0613,XBRU:MONT,2292
2006-11-09,30.105,30.105,30.0176,30.0176,XBRU:MONT,1971
2006-11-10,30.105,30.105,30.105,30.105,XBRU:MONT,3412
2006-11-13,30.1487,30.1487,30.1487,30.1487,XBRU:MONT,3730
2006-11-14,30.1487,30.1487,30.1487,30.1487,XBRU:MONT,1862
2006-11-15,30.105,30.1487,30.105,30.1487,XBRU:MONT,4283
2006-11-16,30.0613,30.105,30.0613,30.105,XBRU:MONT,1138
2006-11-17,30.105,30.105,30.105,30.105,XBRU:MONT,2534
2006-11-20,30.105,30.105,30.0613,30.0613,XBRU:MONT,2693
2006-11-21,29.9739,29.9739,29.9739,29.9739,XBRU:MONT,760
2006-11-22,29.9302,29.9739,29.9302,29.9739,XBRU:MONT,692
2006-11-23,29.9302,29.9739,29.9302,29.9739,XBRU:MONT,10133
2006-11-24,29.9302,29.9739,29.9302,29.9739,XBRU:MONT,357
2006-11-27,29.9739,29.9739,29.9302,29.9302,XBRU:MONT,1103
2006-11-28,29.8952,29.9739,29.8952,29.9739,XBRU:MONT,1191
2006-11-29,29.7991,29.8865,29.7991,29.8865,XBRU:MONT,1683
2006-11-30,29.7117,29.7554,29.7117,29.7554,XBRU:MONT,2516
2006-12-01,29.7991,29.7991,29.7991,29.7991,XBRU:MONT,565
2006-12-04,29.7117,29.7117,29.7117,29.7117,XBRU:MONT,3648
2006-12-05,29.7117,29.7117,29.7117,29.7117,XBRU:MONT,1155
2006-12-06,29.7117,29.7117,29.7117,29.7117,XBRU:MONT,1212
2006-12-07,29.7117,29.7117,29.7117,29.7117,XBRU:MONT,1338
2006-12-08,29.7117,29.7117,29.7117,29.7117,XBRU:MONT,2054
2006-12-11,29.7117,29.7117,29.7117,29.7117,XBRU:MONT,1176
2006-12-12,29.5632,29.7117,29.5632,29.7117,XBRU:MONT,5487
