Date,Close,High,Low,Open,Volume
2000-01-04,67.0,67.0,67.0,67.0,20
2000-01-05,67.0,67.0,67.0,67.0,0
2000-01-06,67.0,67.0,67.0,67.0,0
2000-01-07,67.0,67.0,67.0,67.0,0
2000-01-10,67.0,67.0,67.0,67.0,0
2000-01-11,67.0,67.0,67.0,67.0,0
2000-01-12,67.0,67.0,67.0,67.0,0
2000-01-13,67.0,67.0,67.0,67.0,0
2000-01-14,67.0,67.0,67.0,67.0,0
2000-01-17,67.1,67.1,67.1,67.1,125
2000-01-18,67.1,67.1,67.1,67.1,0
2000-01-19,68.5,68.5,68.5,68.5,30
2000-01-20,68.5,68.5,68.5,68.5,60
2000-01-21,68.5,68.5,68.5,68.5,0
2000-01-24,68.5,68.5,68.0,68.0,161
2000-01-25,68.5,68.5,68.0,68.0,0
2000-01-26,68.5,68.5,68.0,68.0,0
2000-01-27,68.5,68.5,68.0,68.0,0
2000-01-28,68.5,68.5,68.0,68.0,0
2000-01-31,68.5,68.5,68.5,68.5,50
2000-02-01,68.5,68.5,68.5,68.5,0
2000-02-02,68.5,68.5,68.5,68.5,0
2000-02-03,68.5,68.5,68.5,68.5,0
2000-02-04,68.5,68.5,68.5,68.5,144
2000-02-07,68.5,68.5,68.5,68.5,0
2000-02-08,65.0,65.0,65.0,65.0,6
2000-02-09,65.0,65.0,65.0,65.0,0
2000-02-10,65.0,65.0,65.0,65.0,0
2000-02-11,65.0,65.0,65.0,65.0,0
2000-02-14,65.0,65.0,65.0,65.0,0
2000-02-15,65.0,65.0,65.0,65.0,0
2000-02-16,65.0,65.0,65.0,65.0,15
2000-02-17,65.0,65.0,65.0,65.0,0
2000-02-18,65.0,65.0,65.0,65.0,0
2000-02-21,65.0,65.0,65.0,65.0,0
2000-02-22,65.0,65.0,65.0,65.0,0
2000-02-23,65.0,65.0,65.0,65.0,0
2000-02-24,65.0,65.0,65.0,65.0,9
2000-02-25,65.0,65.0,65.0,65.0,0
2000-02-28,65.0,65.0,65.0,65.0,0
2000-02-29,65.0,65.0,65.0,65.0,0
2000-03-01,65.0,65.0,65.0,65.0,0
2000-03-02,65.0,65.0,65.0,65.0,0
2000-03-03,65.0,65.0,65.0,65.0,0
2000-03-06,65.0,65.0,65.0,65.0,0
2000-03-07,65.0,65.0,65.0,65.0,0
2000-03-08,65.0,65.0,65.0,65.0,0
2000-03-09,65.0,65.0,65.0,65.0,0
2000-03-10,65.0,65.0,65.0,65.0,0
2000-03-13,65.0,65.0,65.0,65.0,0
2000-03-14,65.0,65.0,65.0,65.0,0
2000-03-15,68.0,68.0,68.0,68.0,50
2000-03-16,68.0,68.0,68.0,68.0,0
2000-03-17,68.0,68.0,68.0,68.0,0
2000-03-20,68.0,68.0,68.0,68.0,0
2000-03-21,68.0,68.0,68.0,68.0,0
2000-03-22,68.0,68.0,68.0,68.0,0
2000-03-23,68.0,68.0,68.0,68.0,0
2000-03-24,68.0,68.0,68.0,68.0,0
2000-03-27,68.0,68.0,68.0,68.0,0
2000-03-28,68.0,68.0,68.0,68.0,0
2000-03-29,68.0,68.0,68.0,68.0,0
2000-03-30,68.0,68.0,68.0,68.0,0
2000-03-31,68.0,68.0,68.0,68.0,0
2000-04-03,68.0,68.0,68.0,68.0,0
2000-04-04,68.0,68.0,68.0,68.0,0
2000-04-05,68.0,68.0,68.0,68.0,0
2000-04-06,68.0,68.0,68.0,68.0,0
2000-04-07,68.0,68.0,68.0,68.0,0
2000-04-10,68.0,68.0,68.0,68.0,0
2000-04-11,68.0,68.0,68.0,68.0,0
2000-04-12,68.0,68.0,68.0,68.0,0
2000-04-13,68.0,68.0,68.0,68.0,0
2000-04-14,68.0,68.0,68.0,68.0,0
2000-04-17,68.0,68.0,68.0,68.0,0
2000-04-18,68.0,68.0,68.0,68.0,0
2000-04-19,68.0,68.0,68.0,68.0,0
2000-04-20,68.0,68.0,68.0,68.0,0
2000-04-21,68.0,68.0,68.0,68.0,0
2000-04-24,68.0,68.0,68.0,68.0,0
2000-04-25,68.0,68.0,68.0,68.0,0
2000-04-26,68.0,68.0,68.0,68.0,0
2000-04-27,68.0,68.0,68.0,68.0,0
2000-04-28,68.0,68.0,68.0,68.0,0
2000-05-01,68.0,68.0,68.0,68.0,0
2000-05-02,68.0,68.0,68.0,68.0,0
2000-05-03,68.0,68.0,68.0,68.0,0
2000-05-04,68.0,68.0,68.0,68.0,0
2000-05-05,68.0,68.0,68.0,68.0,0
2000-05-08,68.0,68.0,68.0,68.0,0
2000-05-09,68.0,68.0,68.0,68.0,0
2000-05-10,68.0,68.0,68.0,68.0,0
2000-05-11,68.0,68.0,68.0,68.0,0
2000-05-12,68.0,68.0,68.0,68.0,0
2000-05-15,65.0,65.0,65.0,65.0,12
2000-05-16,65.0,65.0,65.0,65.0,0
2000-05-17,65.0,65.0,65.0,65.0,0
2000-05-18,65.0,65.0,65.0,65.0,0
2000-05-19,65.0,65.0,65.0,65.0,0
2000-05-22,65.0,65.0,65.0,65.0,15
2000-05-23,65.0,65.0,65.0,65.0,0
2000-05-24,65.0,65.0,65.0,65.0,0
2000-05-25,65.0,65.0,65.0,65.0,0
2000-05-26,65.0,65.0,65.0,65.0,0
2000-05-29,65.0,65.0,65.0,65.0,0
2000-05-30,65.0,65.0,65.0,65.0,0
2000-05-31,68.0,68.0,68.0,68.0,10
2000-06-01,68.0,68.0,68.0,68.0,0
2000-06-02,68.0,68.0,68.0,68.0,0
2000-06-05,68.0,68.0,68.0,68.0,16
2000-06-06,68.0,68.0,68.0,68.0,0
2000-06-07,68.0,68.0,68.0,68.0,0
2000-06-08,70.05,70.05,70.05,70.05,32
2000-06-09,70.05,70.05,70.05,70.05,32
2000-06-12,70.05,70.05,70.05,70.05,0
2000-06-13,70.05,70.05,70.05,70.05,0
2000-06-14,70.05,70.05,70.05,70.05,0
2000-06-15,70.05,70.05,70.05,70.05,0
2000-06-16,73.5,73.5,73.5,73.5,50
2000-06-19,73.5,73.5,73.5,73.5,0
2000-06-20,73.5,73.5,73.5,73.5,0
2000-06-21,73.5,73.5,73.5,73.5,0
2000-06-22,73.5,73.5,73.5,73.5,0
2000-06-23,73.5,73.5,73.5,73.5,0
2000-06-26,73.5,73.5,73.5,73.5,0
2000-06-27,73.5,73.5,73.5,73.5,0
2000-06-28,73.5,73.5,73.5,73.5,0
2000-06-29,73.5,73.5,73.5,73.5,0
2000-06-30,73.5,73.5,73.5,73.5,0
2000-07-03,79.0,79.0,79.0,79.0,25
2000-07-04,79.0,79.0,79.0,79.0,0
2000-07-05,79.0,79.0,79.0,79.0,0
2000-07-06,79.0,79.0,79.0,79.0,0
2000-07-07,79.0,79.0,79.0,79.0,0
2000-07-10,79.0,79.0,79.0,79.0,0
2000-07-11,79.0,79.0,79.0,79.0,0
2000-07-12,79.0,79.0,79.0,79.0,0
2000-07-13,79.0,79.0,79.0,79.0,0
2000-07-14,79.0,79.0,79.0,79.0,0
2000-07-17,79.0,79.0,79.0,79.0,0
2000-07-18,79.0,79.0,79.0,79.0,0
2000-07-19,77.0,77.0,77.0,77.0,17
2000-07-20,77.0,77.0,77.0,77.0,0
2000-07-21,77.0,77.0,77.0,77.0,0
2000-07-24,77.0,77.0,77.0,77.0,0
2000-07-25,77.0,77.0,77.0,77.0,0
2000-07-26,77.0,77.0,77.0,77.0,0
2000-07-27,77.0,77.0,77.0,77.0,0
2000-07-28,77.0,77.0,77.0,77.0,0
2000-07-31,77.0,77.0,77.0,77.0,0
2000-08-01,77.0,77.0,77.0,77.0,0
2000-08-02,77.0,77.0,77.0,77.0,0
2000-08-03,77.0,77.0,77.0,77.0,0
2000-08-04,84.5,84.5,84.5,84.5,16
2000-08-07,84.5,84.5,84.5,84.5,0
2000-08-08,84.5,84.5,84.5,84.5,0
2000-08-09,84.5,84.5,84.5,84.5,0
2000-08-10,84.5,84.5,84.5,84.5,0
2000-08-11,84.5,84.5,84.5,84.5,0
2000-08-14,84.5,84.5,84.5,84.5,0
2000-08-15,84.5,84.5,84.5,84.5,0
2000-08-16,84.5,84.5,84.5,84.5,0
2000-08-17,84.5,84.5,84.5,84.5,0
2000-08-18,84.5,84.5,84.5,84.5,0
2000-08-21,84.5,84.5,84.5,84.5,0
2000-08-22,84.5,84.5,84.5,84.5,0
2000-08-23,84.5,84.5,84.5,84.5,0
2000-08-24,84.5,84.5,84.5,84.5,0
2000-08-25,84.5,84.5,84.5,84.5,0
2000-08-28,84.5,84.5,84.5,84.5,0
2000-08-29,84.5,84.5,84.5,84.5,0
2000-08-30,84.5,84.5,84.5,84.5,0
2000-08-31,84.5,84.5,84.5,84.5,0
2000-09-01,84.5,84.5,84.5,84.5,0
2000-09-04,84.5,84.5,84.5,84.5,0
2000-09-05,84.5,84.5,84.5,84.5,0
2000-09-06,84.5,84.5,84.5,84.5,0
2000-09-07,84.5,84.5,84.5,84.5,0
2000-09-08,85.0,85.0,85.0,85.0,54
2000-09-11,90.0,90.0,87.0,87.0,122
2000-09-12,90.0,90.0,87.0,87.0,0
2000-09-13,90.0,90.0,90.0,90.0,94
2000-09-14,90.0,90.0,90.0,90.0,0
2000-09-15,90.0,90.0,90.0,90.0,0
2000-09-18,90.0,90.0,90.0,90.0,0
2000-09-19,90.0,90.0,90.0,90.0,0
2000-09-20,90.0,90.0,90.0,90.0,0
2000-09-21,90.0,90.0,90.0,90.0,0
2000-09-22,90.0,90.0,90.0,90.0,0
2000-09-25,90.0,90.0,90.0,90.0,0
2000-09-26,90.0,90.0,90.0,90.0,0
2000-09-27,90.0,90.0,90.0,90.0,0
2000-09-28,90.0,90.0,90.0,90.0,0
2000-09-29,90.0,90.0,90.0,90.0,0
2000-10-02,90.0,90.0,90.0,90.0,0
2000-10-03,90.0,90.0,90.0,90.0,0
2000-10-04,90.0,90.0,90.0,90.0,0
2000-10-05,90.0,90.0,90.0,90.0,0
2000-10-06,90.0,90.0,90.0,90.0,0
2000-10-09,90.0,90.0,90.0,90.0,0
2000-10-10,90.0,90.0,90.0,90.0,0
2000-10-11,90.0,90.0,90.0,90.0,0
2000-10-12,90.0,90.0,90.0,90.0,0
2000-10-13,90.0,90.0,90.0,90.0,0
2000-10-16,90.0,90.0,90.0,90.0,0
2000-10-17,90.0,90.0,90.0,90.0,0
2000-10-18,90.0,90.0,90.0,90.0,0
2000-10-19,90.0,90.0,90.0,90.0,0
2000-10-20,90.0,90.0,90.0,90.0,0
2000-10-23,90.0,90.0,90.0,90.0,0
2000-10-24,90.0,90.0,90.0,90.0,0
2000-10-25,90.0,90.0,90.0,90.0,0
2000-10-26,90.0,90.0,90.0,90.0,0
2000-10-27,90.0,90.0,90.0,90.0,0
2000-10-30,90.0,90.0,90.0,90.0,0
2000-10-31,90.0,90.0,90.0,90.0,0
2000-11-01,90.0,90.0,90.0,90.0,0
2000-11-02,90.0,90.0,90.0,90.0,0
2000-11-03,90.0,90.0,90.0,90.0,0
2000-11-06,90.0,90.0,90.0,90.0,0
2000-11-07,90.0,90.0,90.0,90.0,0
2000-11-08,90.0,90.0,90.0,90.0,0
2000-11-09,90.0,90.0,90.0,90.0,0
2000-11-10,90.0,90.0,90.0,90.0,0
2000-11-13,90.0,90.0,90.0,90.0,0
2000-11-14,90.0,90.0,90.0,90.0,0
2000-11-15,75.0,75.0,75.0,75.0,7
2000-11-16,75.0,75.0,75.0,75.0,0
2000-11-17,75.0,75.0,75.0,75.0,0
2000-11-20,75.0,75.0,75.0,75.0,370
