Symbol,Date,Close,High,Low,Open,Volume
XBRU:MOUR,2000-01-04,69.8,69.8,69.8,69.8,243
XBRU:MOUR,2000-01-05,67.0,67.0,67.0,67.0,85
XBRU:MOUR,2000-01-06,67.4,67.4,67.4,67.4,10
XBRU:MOUR,2000-01-07,66.9,68.0,66.9,68.0,0
XBRU:MOUR,2000-01-10,66.8,66.8,66.8,66.8,156
XBRU:MOUR,2000-01-11,66.8,66.8,66.8,66.8,0
XBRU:MOUR,2000-01-12,66.1,66.1,66.1,66.1,178
XBRU:MOUR,2000-01-13,66.0,66.0,66.0,66.0,127
XBRU:MOUR,2000-01-14,65.0,65.0,65.0,65.0,150
XBRU:MOUR,2000-01-17,66.7,66.7,66.7,66.7,120
XBRU:MOUR,2000-01-18,66.5,66.5,66.5,66.5,100
XBRU:MOUR,2000-01-19,66.5,66.5,66.5,66.5,250
XBRU:MOUR,2000-01-20,65.0,65.0,65.0,65.0,155
XBRU:MOUR,2000-01-21,65.95,66.0,65.95,66.0,126
XBRU:MOUR,2000-01-24,65.0,65.0,65.0,65.0,474
XBRU:MOUR,2000-01-25,63.5,63.5,63.5,63.5,180
XBRU:MOUR,2000-01-26,64.0,64.0,64.0,64.0,73
XBRU:MOUR,2000-01-27,64.0,65.0,64.0,65.0,0
XBRU:MOUR,2000-01-28,63.0,63.0,63.0,63.0,0
XBRU:MOUR,2000-01-31,63.0,63.0,63.0,63.0,150
XBRU:MOUR,2000-02-01,63.2,65.0,63.2,65.0,0
XBRU:MOUR,2000-02-02,63.25,66.0,63.25,66.0,0
XBRU:MOUR,2000-02-03,65.0,65.0,65.0,65.0,60
XBRU:MOUR,2000-02-04,63.2,65.0,63.2,65.0,140
XBRU:MOUR,2000-02-07,63.2,63.2,63.2,63.2,70
XBRU:MOUR,2000-02-08,62.9,63.0,62.9,63.0,230
XBRU:MOUR,2000-02-09,64.0,64.0,62.5,62.5,150
XBRU:MOUR,2000-02-10,62.5,62.5,62.5,62.5,55
XBRU:MOUR,2000-02-11,61.5,61.5,61.5,61.5,100
XBRU:MOUR,2000-02-14,61.55,61.55,61.5,61.5,130
XBRU:MOUR,2000-02-15,62.5,62.5,62.5,62.5,40
XBRU:MOUR,2000-02-16,61.5,62.6,61.5,62.6,0
XBRU:MOUR,2000-02-17,62.5,62.5,62.5,62.5,50
XBRU:MOUR,2000-02-18,61.0,62.0,61.0,62.0,525
XBRU:MOUR,2000-02-21,62.5,62.5,62.5,62.5,50
XBRU:MOUR,2000-02-22,61.0,61.0,61.0,61.0,142
XBRU:MOUR,2000-02-23,59.5,59.5,59.5,59.5,425
XBRU:MOUR,2000-02-24,61.0,61.0,61.0,61.0,20
XBRU:MOUR,2000-02-25,60.0,60.0,59.55,59.55,190
XBRU:MOUR,2000-02-28,59.2,59.2,59.2,59.2,332
XBRU:MOUR,2000-02-29,61.5,61.5,61.5,61.5,40
XBRU:MOUR,2000-03-01,59.0,61.4,59.0,61.4,0
XBRU:MOUR,2000-03-02,60.0,60.0,60.0,60.0,100
XBRU:MOUR,2000-03-03,54.15,54.15,54.15,54.15,550
XBRU:MOUR,2000-03-06,56.7,56.7,56.7,56.7,200
XBRU:MOUR,2000-03-07,56.6,59.2,56.6,59.2,0
XBRU:MOUR,2000-03-08,56.6,56.6,56.6,56.6,50
XBRU:MOUR,2000-03-09,56.6,59.2,56.6,59.2,0
XBRU:MOUR,2000-03-10,56.5,56.5,56.5,56.5,70
XBRU:MOUR,2000-03-13,56.5,56.5,56.5,56.5,0
XBRU:MOUR,2000-03-14,58.0,58.0,58.0,58.0,192
XBRU:MOUR,2000-03-15,57.0,57.0,57.0,57.0,55
XBRU:MOUR,2000-03-16,55.0,55.0,55.0,55.0,448
XBRU:MOUR,2000-03-17,57.5,57.5,57.5,57.5,90
XBRU:MOUR,2000-03-20,57.6,57.6,57.5,57.5,370
XBRU:MOUR,2000-03-21,59.0,59.0,58.0,58.0,225
XBRU:MOUR,2000-03-22,58.0,59.0,58.0,59.0,152
XBRU:MOUR,2000-03-23,56.8,56.8,56.8,56.8,193
XBRU:MOUR,2000-03-24,57.5,57.5,57.5,57.5,63
XBRU:MOUR,2000-03-27,59.5,59.5,59.1,59.1,850
XBRU:MOUR,2000-03-28,58.8,58.8,57.0,57.0,605
XBRU:MOUR,2000-03-29,58.0,58.0,58.0,58.0,95
XBRU:MOUR,2000-03-30,58.4,58.4,58.4,58.4,60
XBRU:MOUR,2000-03-31,58.6,58.6,58.6,58.6,255
XBRU:MOUR,2000-04-03,57.0,57.0,57.0,57.0,55
XBRU:MOUR,2000-04-04,57.0,58.6,57.0,58.6,0
XBRU:MOUR,2000-04-05,58.0,58.0,58.0,58.0,50
XBRU:MOUR,2000-04-06,60.0,60.0,59.0,59.0,260
XBRU:MOUR,2000-04-07,60.0,61.0,60.0,61.0,0
XBRU:MOUR,2000-04-10,60.0,60.0,60.0,60.0,10
XBRU:MOUR,2000-04-11,60.0,61.0,60.0,61.0,0
XBRU:MOUR,2000-04-12,60.0,61.0,60.0,61.0,0
XBRU:MOUR,2000-04-13,60.0,60.0,60.0,60.0,150
XBRU:MOUR,2000-04-14,60.0,61.0,60.0,61.0,0
XBRU:MOUR,2000-04-17,60.0,60.0,60.0,60.0,5
XBRU:MOUR,2000-04-18,58.0,60.0,58.0,60.0,0
XBRU:MOUR,2000-04-19,60.0,60.0,60.0,60.0,30
XBRU:MOUR,2000-04-20,60.0,60.0,60.0,60.0,90
XBRU:MOUR,2000-04-21,60.0,60.0,60.0,60.0,0
XBRU:MOUR,2000-04-24,60.0,60.0,60.0,60.0,0
XBRU:MOUR,2000-04-25,59.7,60.0,59.7,60.0,50
XBRU:MOUR,2000-04-26,59.7,59.7,59.7,59.7,0
XBRU:MOUR,2000-04-27,59.7,59.7,59.7,59.7,50
XBRU:MOUR,2000-04-28,59.7,59.7,59.7,59.7,60
XBRU:MOUR,2000-05-01,59.7,59.7,59.7,59.7,0
XBRU:MOUR,2000-05-02,59.0,59.0,59.0,59.0,20
XBRU:MOUR,2000-05-03,58.0,58.0,58.0,58.0,8
XBRU:MOUR,2000-05-04,57.0,57.0,57.0,57.0,100
XBRU:MOUR,2000-05-05,56.5,56.5,56.5,56.5,60
XBRU:MOUR,2000-05-08,57.0,57.0,57.0,57.0,5
XBRU:MOUR,2000-05-09,57.0,57.0,57.0,57.0,0
XBRU:MOUR,2000-05-10,57.0,57.0,57.0,57.0,30
XBRU:MOUR,2000-05-11,57.0,59.0,57.0,59.0,0
XBRU:MOUR,2000-05-12,57.0,57.0,57.0,57.0,280
XBRU:MOUR,2000-05-15,56.6,57.0,56.6,57.0,0
XBRU:MOUR,2000-05-16,57.0,57.0,57.0,57.0,140
XBRU:MOUR,2000-05-17,57.0,57.0,57.0,57.0,64
XBRU:MOUR,2000-05-18,56.5,57.0,56.5,57.0,260
XBRU:MOUR,2000-05-19,56.3,57.9,56.3,57.9,106
XBRU:MOUR,2000-05-22,56.2,58.0,56.2,58.0,0
XBRU:MOUR,2000-05-23,58.0,58.0,58.0,58.0,50
XBRU:MOUR,2000-05-24,59.3,59.3,59.3,59.3,192
XBRU:MOUR,2000-05-25,56.2,56.2,56.2,56.2,0
XBRU:MOUR,2000-05-26,56.2,56.2,56.2,56.2,200
XBRU:MOUR,2000-05-29,58.6,58.6,58.25,58.25,120
XBRU:MOUR,2000-05-30,60.0,60.0,60.0,60.0,200
XBRU:MOUR,2000-05-31,61.0,61.0,61.0,61.0,165
XBRU:MOUR,2000-06-01,61.0,61.0,61.0,61.0,0
XBRU:MOUR,2000-06-02,62.6,62.6,62.6,62.6,12
XBRU:MOUR,2000-06-05,63.0,63.0,62.6,62.6,123
XBRU:MOUR,2000-06-06,65.0,65.0,64.5,64.5,130
XBRU:MOUR,2000-06-07,65.0,65.0,65.0,65.0,50
XBRU:MOUR,2000-06-08,65.0,65.0,65.0,65.0,60
XBRU:MOUR,2000-06-09,64.0,64.0,64.0,64.0,200
XBRU:MOUR,2000-06-12,64.0,64.0,64.0,64.0,0
XBRU:MOUR,2000-06-13,64.0,64.0,64.0,64.0,25
XBRU:MOUR,2000-06-14,64.3,66.0,64.3,66.0,0
XBRU:MOUR,2000-06-15,66.0,66.0,66.0,66.0,10
XBRU:MOUR,2000-06-16,67.3,67.3,67.3,67.3,87
XBRU:MOUR,2000-06-19,67.3,67.3,67.3,67.3,0
XBRU:MOUR,2000-06-20,69.0,69.0,69.0,69.0,40
XBRU:MOUR,2000-06-21,69.0,69.0,69.0,69.0,50
XBRU:MOUR,2000-06-22,65.6,65.6,65.6,65.6,110
XBRU:MOUR,2000-06-23,67.9,67.9,67.9,67.9,10
XBRU:MOUR,2000-06-26,65.0,65.0,65.0,65.0,0
XBRU:MOUR,2000-06-27,65.0,67.5,65.0,67.5,97
XBRU:MOUR,2000-06-28,65.0,65.0,65.0,65.0,0
XBRU:MOUR,2000-06-29,67.4,67.4,65.0,65.0,245
XBRU:MOUR,2000-06-30,65.0,65.0,65.0,65.0,20
XBRU:MOUR,2000-07-03,64.8,64.8,64.8,64.8,100
XBRU:MOUR,2000-07-04,62.9,64.5,62.9,64.5,0
XBRU:MOUR,2000-07-05,62.9,62.9,62.9,62.9,70
XBRU:MOUR,2000-07-06,61.2,62.6,61.2,62.6,0
XBRU:MOUR,2000-07-07,61.2,61.2,61.2,61.2,0
XBRU:MOUR,2000-07-10,61.2,62.6,61.2,62.6,0
XBRU:MOUR,2000-07-11,61.2,62.6,61.2,62.6,0
XBRU:MOUR,2000-07-12,61.2,62.6,61.2,62.6,0
XBRU:MOUR,2000-07-13,61.2,62.6,61.2,62.6,0
XBRU:MOUR,2000-07-14,61.2,61.2,61.2,61.2,0
XBRU:MOUR,2000-07-17,61.2,61.2,61.2,61.2,100
XBRU:MOUR,2000-07-18,60.9,62.6,60.9,62.6,0
XBRU:MOUR,2000-07-19,60.9,62.6,60.9,62.6,0
XBRU:MOUR,2000-07-20,60.9,60.9,60.9,60.9,0
XBRU:MOUR,2000-07-21,60.9,60.9,60.9,60.9,0
XBRU:MOUR,2000-07-24,60.9,60.9,60.9,60.9,0
XBRU:MOUR,2000-07-25,60.9,62.0,60.9,62.0,0
XBRU:MOUR,2000-07-26,60.9,62.0,60.9,62.0,0
XBRU:MOUR,2000-07-27,60.9,60.9,60.9,60.9,0
XBRU:MOUR,2000-07-28,62.0,62.6,62.0,62.6,0
XBRU:MOUR,2000-07-31,62.6,62.6,62.6,62.6,50
XBRU:MOUR,2000-08-01,62.0,62.0,62.0,62.0,60
XBRU:MOUR,2000-08-02,62.0,63.1,62.0,63.1,0
XBRU:MOUR,2000-08-03,62.0,63.1,62.0,63.1,0
XBRU:MOUR,2000-08-04,62.0,63.1,62.0,63.1,0
XBRU:MOUR,2000-08-07,62.0,62.0,62.0,62.0,90
XBRU:MOUR,2000-08-08,60.9,62.0,60.9,62.0,0
XBRU:MOUR,2000-08-09,60.9,60.9,60.9,60.9,0
XBRU:MOUR,2000-08-10,60.9,62.0,60.9,62.0,0
XBRU:MOUR,2000-08-11,62.0,62.0,62.0,62.0,50
XBRU:MOUR,2000-08-14,60.9,60.9,60.9,60.9,8
XBRU:MOUR,2000-08-15,60.9,62.0,60.9,62.0,0
XBRU:MOUR,2000-08-16,60.9,62.0,60.9,62.0,0
XBRU:MOUR,2000-08-17,60.9,60.9,60.9,60.9,30
XBRU:MOUR,2000-08-18,60.9,62.0,60.9,62.0,0
XBRU:MOUR,2000-08-21,60.9,60.9,60.9,60.9,50
XBRU:MOUR,2000-08-22,61.0,62.0,61.0,62.0,0
XBRU:MOUR,2000-08-23,62.0,62.0,62.0,62.0,50
XBRU:MOUR,2000-08-24,62.0,62.0,62.0,62.0,0
XBRU:MOUR,2000-08-25,60.9,62.0,60.9,62.0,0
XBRU:MOUR,2000-08-28,60.9,62.0,60.9,62.0,0
