Date,Close,High,Low,Open,Symbol,Volume
2000-01-04,54.7,59.25,53.8,59.25,XBRU:OBEL,95727
2000-01-05,53.0,55.5,52.3,55.0,XBRU:OBEL,86287
2000-01-06,52.75,54.0,52.0,53.5,XBRU:OBEL,73629
2000-01-07,52.9,53.5,52.3,53.4,XBRU:OBEL,25873
2000-01-10,55.0,55.0,52.4,52.4,XBRU:OBEL,70506
2000-01-11,55.0,55.0,55.0,55.0,XBRU:OBEL,0
2000-01-12,50.85,53.95,50.5,53.0,XBRU:OBEL,39768
2000-01-13,52.9,53.5,51.5,51.5,XBRU:OBEL,43671
2000-01-14,53.0,53.6,52.5,52.6,XBRU:OBEL,23057
2000-01-17,51.5,53.8,51.4,53.25,XBRU:OBEL,21407
2000-01-18,49.5,52.0,49.5,52.0,XBRU:OBEL,53361
2000-01-19,50.0,50.95,48.55,49.0,XBRU:OBEL,88944
2000-01-20,48.0,50.8,47.05,50.8,XBRU:OBEL,56031
2000-01-21,47.8,47.9,46.05,47.9,XBRU:OBEL,75932
2000-01-24,45.7,47.8,45.6,47.5,XBRU:OBEL,57273
2000-01-25,44.0,46.0,43.8,45.0,XBRU:OBEL,64180
2000-01-26,43.0,44.2,41.5,44.0,XBRU:OBEL,95195
2000-01-27,42.81,44.0,42.25,43.0,XBRU:OBEL,85213
2000-01-28,43.3,44.24,42.9,43.0,XBRU:OBEL,65882
2000-01-31,42.32,44.0,42.32,43.7,XBRU:OBEL,239165
2000-02-01,43.68,43.85,43.0,43.85,XBRU:OBEL,45680
2000-02-02,44.5,45.7,44.0,44.0,XBRU:OBEL,45458
2000-02-03,46.9,47.96,45.11,45.9,XBRU:OBEL,101207
2000-02-04,49.54,51.5,48.3,48.3,XBRU:OBEL,81086
2000-02-07,50.9,52.5,49.7,52.0,XBRU:OBEL,46098
2000-02-08,50.55,51.5,50.0,51.5,XBRU:OBEL,27952
2000-02-09,50.2,50.6,50.0,50.25,XBRU:OBEL,39998
2000-02-10,50.0,50.2,49.5,50.1,XBRU:OBEL,96015
2000-02-11,49.98,50.0,49.0,50.0,XBRU:OBEL,72380
2000-02-14,49.5,51.5,49.5,50.0,XBRU:OBEL,85102
2000-02-15,48.01,49.98,47.91,49.5,XBRU:OBEL,70152
2000-02-16,47.0,48.42,46.55,48.0,XBRU:OBEL,52768
2000-02-17,48.95,48.99,47.5,48.0,XBRU:OBEL,33364
2000-02-18,48.5,49.35,48.1,48.95,XBRU:OBEL,77829
2000-02-21,47.6,48.7,47.0,47.0,XBRU:OBEL,24317
2000-02-22,45.5,47.5,45.15,47.0,XBRU:OBEL,37179
2000-02-23,45.05,46.5,45.01,46.05,XBRU:OBEL,26893
2000-02-24,48.0,48.5,45.4,45.4,XBRU:OBEL,81619
2000-02-25,46.21,48.5,46.0,48.5,XBRU:OBEL,44874
2000-02-28,47.6,47.95,47.2,47.9,XBRU:OBEL,14515
2000-02-29,47.99,48.5,47.7,48.0,XBRU:OBEL,33208
2000-03-01,48.25,48.75,47.95,48.25,XBRU:OBEL,18252
2000-03-02,51.15,51.15,48.75,48.75,XBRU:OBEL,88959
2000-03-03,55.0,56.0,50.5,51.15,XBRU:OBEL,190942
2000-03-06,53.1,56.0,52.3,55.0,XBRU:OBEL,41059
2000-03-07,52.15,52.9,51.35,52.0,XBRU:OBEL,47336
2000-03-08,51.15,51.2,50.5,51.0,XBRU:OBEL,28825
2000-03-09,50.35,52.0,50.15,52.0,XBRU:OBEL,56432
2000-03-10,48.0,50.8,48.0,50.8,XBRU:OBEL,90559
2000-03-13,48.0,48.0,48.0,48.0,XBRU:OBEL,0
2000-03-14,49.5,50.25,47.2,47.5,XBRU:OBEL,40984
2000-03-15,49.9,50.0,48.05,48.5,XBRU:OBEL,36813
2000-03-16,50.25,51.0,49.9,50.0,XBRU:OBEL,71059
2000-03-17,52.45,52.5,50.0,52.0,XBRU:OBEL,101659
2000-03-20,52.8,53.0,50.55,52.0,XBRU:OBEL,25271
2000-03-21,51.5,53.0,50.5,53.0,XBRU:OBEL,51140
2000-03-22,51.85,53.3,50.5,50.5,XBRU:OBEL,100250
2000-03-23,51.8,52.9,51.25,51.85,XBRU:OBEL,9052
2000-03-24,50.9,52.85,50.8,50.8,XBRU:OBEL,19557
2000-03-27,48.7,51.0,48.5,51.0,XBRU:OBEL,26188
2000-03-28,50.3,51.0,49.1,50.4,XBRU:OBEL,11086
2000-03-29,49.64,50.0,49.0,49.5,XBRU:OBEL,10778
2000-03-30,48.0,49.9,48.0,49.0,XBRU:OBEL,25987
2000-03-31,47.26,48.9,47.25,47.5,XBRU:OBEL,12594
2000-04-03,46.8,49.0,46.5,48.6,XBRU:OBEL,17708
2000-04-04,45.0,46.0,44.0,45.7,XBRU:OBEL,101189
2000-04-05,43.2,44.0,42.75,43.2,XBRU:OBEL,112234
2000-04-06,44.75,45.0,43.0,43.5,XBRU:OBEL,90142
2000-04-07,46.5,46.5,45.0,45.25,XBRU:OBEL,45371
2000-04-10,46.7,47.0,44.5,45.3,XBRU:OBEL,21107
2000-04-11,46.5,47.41,45.6,46.0,XBRU:OBEL,21640
2000-04-12,47.0,47.2,46.0,46.9,XBRU:OBEL,15447
2000-04-13,47.07,47.5,47.0,47.0,XBRU:OBEL,17925
2000-04-14,47.3,47.6,45.2,47.5,XBRU:OBEL,15677
2000-04-17,44.5,45.0,44.3,44.95,XBRU:OBEL,49835
2000-04-18,43.99,45.4,43.2,44.6,XBRU:OBEL,27184
2000-04-19,43.0,44.74,42.9,44.05,XBRU:OBEL,53621
2000-04-20,43.9,43.9,43.01,43.9,XBRU:OBEL,11144
2000-04-21,43.9,43.9,43.9,43.9,XBRU:OBEL,0
2000-04-24,43.9,43.9,43.9,43.9,XBRU:OBEL,0
2000-04-25,43.0,43.9,42.7,43.5,XBRU:OBEL,16815
2000-04-26,42.9,43.8,42.72,43.8,XBRU:OBEL,31039
2000-04-27,41.55,43.25,41.05,43.0,XBRU:OBEL,32172
2000-04-28,40.35,41.55,40.0,41.25,XBRU:OBEL,40701
2000-05-01,40.35,40.35,40.35,40.35,XBRU:OBEL,0
2000-05-02,40.6,40.9,40.0,40.4,XBRU:OBEL,17287
2000-05-03,40.8,41.85,40.5,40.5,XBRU:OBEL,11331
2000-05-04,40.0,42.0,40.0,42.0,XBRU:OBEL,21001
2000-05-05,39.0,40.3,39.0,40.0,XBRU:OBEL,35780
2000-05-08,37.7,40.35,37.4,39.5,XBRU:OBEL,38165
2000-05-09,37.7,37.7,37.7,37.7,XBRU:OBEL,0
2000-05-10,36.5,37.2,36.01,36.89,XBRU:OBEL,49377
2000-05-11,37.0,37.75,36.5,36.5,XBRU:OBEL,27645
2000-05-12,38.2,38.94,37.53,38.0,XBRU:OBEL,20189
