Date,Close,High,Low,Open,Volume
2010-09-30,0.62,0.62,0.61,0.61,775
2010-10-01,0.66,0.66,0.64,0.64,140
2010-10-04,0.71,0.71,0.67,0.67,125
2010-10-05,0.82,0.82,0.81,0.81,3800
2010-10-06,0.82,0.82,0.82,0.82,0
2010-10-07,0.82,0.82,0.82,0.82,0
2010-10-08,1.33,1.33,1.33,1.33,400
2010-10-11,1.33,1.33,1.33,1.33,0
2010-10-12,1.75,1.81,1.55,1.55,32140
2010-10-13,3.74,3.99,1.9,1.9,267683
2010-10-14,4.81,5.39,3.81,3.81,433779
2010-10-15,4.4,5.38,3.5,4.95,421226
2010-10-18,3.35,4.36,3.15,4.23,253269
2010-10-19,2.7,3.34,2.52,3.22,182034
2010-10-20,2.47,2.7,2.43,2.65,48374
2010-10-21,2.42,2.59,2.4,2.57,32554
2010-10-22,1.86,2.48,1.81,2.48,105405
2010-10-25,2.8,3.3,1.67,1.72,502026
2010-10-26,2.9,3.4,2.56,3.01,351140
2010-10-27,2.58,2.98,2.57,2.95,92367
2010-10-28,2.5,2.58,2.3,2.58,87019
2010-10-29,2.45,2.58,2.45,2.58,24460
2010-11-01,2.6,2.75,2.54,2.55,31363
2010-11-02,2.55,2.66,2.46,2.66,34971
2010-11-03,2.53,2.6,2.45,2.54,18910
2010-11-04,2.45,2.58,2.45,2.58,8111
2010-11-05,2.48,2.5,2.41,2.5,20618
2010-11-08,2.37,2.48,2.37,2.41,27386
2010-11-09,2.4,2.48,2.31,2.37,21047
2010-11-10,2.44,2.45,2.16,2.36,121079
2010-11-11,2.44,2.44,2.24,2.43,35319
2010-11-12,2.4,2.5,2.31,2.45,59450
2010-11-15,2.35,2.44,2.25,2.44,29664
2010-11-16,2.29,2.33,2.18,2.33,24844
2010-11-17,2.0,2.25,1.91,2.25,93488
2010-11-18,2.0,2.17,1.95,2.04,49013
2010-11-19,2.03,2.05,1.94,1.95,12889
2010-11-22,1.94,2.07,1.93,2.07,5528
2010-11-23,1.86,1.94,1.82,1.94,32380
2010-11-24,1.87,1.92,1.73,1.86,36798
2010-11-25,1.96,1.96,1.74,1.74,18159
2010-11-26,2.0,2.0,1.89,1.89,17667
2010-11-29,2.05,2.05,1.9,1.9,23551
2010-11-30,2.03,2.03,1.8,1.8,6918
2010-12-01,2.0,2.04,1.88,1.98,27880
2010-12-02,2.02,2.05,2.0,2.0,38269
2010-12-03,1.96,2.03,1.96,2.0,16309
2010-12-06,1.99,2.0,1.83,1.91,22274
2010-12-07,1.93,1.97,1.86,1.97,21401
2010-12-08,1.85,1.89,1.85,1.86,20842
2010-12-09,1.89,1.9,1.81,1.85,18892
2010-12-10,1.83,1.89,1.77,1.89,19755
2010-12-13,1.8,1.87,1.76,1.87,8247
2010-12-14,1.8,1.83,1.75,1.8,4595
2010-12-15,1.77,1.8,1.72,1.8,10295
2010-12-16,1.75,1.75,1.69,1.75,25829
2010-12-17,1.66,1.72,1.6,1.71,31995
