Date,Close,High,Low,Open,Symbol,Volume
2003-08-05,1.5,1.5,1.25,1.25,XBRU:OPTI,117600
2003-08-06,1.6875,1.885,1.625,1.6875,XBRU:OPTI,1334224
2003-08-07,1.5725,1.765,1.5125,1.765,XBRU:OPTI,486560
2003-08-08,1.5,1.5575,1.4025,1.55,XBRU:OPTI,187248
2003-08-11,1.58,1.5825,1.525,1.55,XBRU:OPTI,240416
2003-08-12,1.7125,1.7125,1.575,1.59,XBRU:OPTI,485936
2003-08-13,1.75,1.7875,1.69,1.725,XBRU:OPTI,600960
2003-08-14,1.745,1.75,1.7,1.75,XBRU:OPTI,174432
2003-08-15,1.7475,1.7475,1.7375,1.7475,XBRU:OPTI,28208
2003-08-18,1.7125,1.745,1.7,1.705,XBRU:OPTI,101968
2003-08-19,1.7,1.7425,1.675,1.7425,XBRU:OPTI,250479
2003-08-20,1.6625,1.7125,1.65,1.71,XBRU:OPTI,138560
2003-08-21,1.6225,1.6625,1.5,1.6625,XBRU:OPTI,453760
2003-08-22,1.575,1.6125,1.55,1.6125,XBRU:OPTI,174400
2003-08-25,1.5725,1.6,1.54,1.575,XBRU:OPTI,142656
2003-08-26,1.575,1.575,1.5275,1.5525,XBRU:OPTI,450032
2003-08-27,1.5625,1.6225,1.5625,1.5875,XBRU:OPTI,4240
2003-08-28,1.5675,1.6,1.5675,1.5875,XBRU:OPTI,60000
2003-08-29,1.5875,1.6,1.5675,1.575,XBRU:OPTI,70304
2003-09-01,1.6,1.62,1.565,1.5875,XBRU:OPTI,194576
2003-09-02,1.62,1.62,1.6025,1.62,XBRU:OPTI,47520
2003-09-03,1.6,1.625,1.5275,1.6175,XBRU:OPTI,239600
2003-09-04,1.62,1.62,1.5525,1.575,XBRU:OPTI,41472
2003-09-05,1.6225,1.6225,1.62,1.62,XBRU:OPTI,6400
2003-09-08,1.6225,1.625,1.575,1.6225,XBRU:OPTI,69440
2003-09-09,1.625,1.625,1.62,1.62,XBRU:OPTI,45920
2003-09-10,1.665,1.665,1.5875,1.625,XBRU:OPTI,211904
2003-09-11,1.735,1.7475,1.6775,1.6875,XBRU:OPTI,278080
2003-09-12,1.68,1.7425,1.675,1.6825,XBRU:OPTI,306560
2003-09-15,1.7175,1.7325,1.7125,1.7325,XBRU:OPTI,73616
2003-09-16,1.7325,1.7325,1.725,1.73,XBRU:OPTI,142880
2003-09-17,1.7475,1.7475,1.725,1.7275,XBRU:OPTI,149440
2003-09-18,1.8125,1.8125,1.7375,1.7475,XBRU:OPTI,796144
2003-09-19,1.8275,1.8625,1.8275,1.8275,XBRU:OPTI,234768
2003-09-22,1.8125,1.8375,1.8025,1.8375,XBRU:OPTI,140608
2003-09-23,1.85,1.8525,1.8,1.8525,XBRU:OPTI,147248
2003-09-24,1.8475,1.875,1.8125,1.875,XBRU:OPTI,308240
2003-09-25,1.85,1.85,1.7775,1.825,XBRU:OPTI,25216
2003-09-26,1.81,1.8125,1.74,1.8,XBRU:OPTI,66368
2003-09-29,1.805,1.82,1.75,1.81,XBRU:OPTI,39040
2003-09-30,1.7975,1.8125,1.6625,1.81,XBRU:OPTI,198224
2003-10-01,1.7125,1.775,1.7125,1.725,XBRU:OPTI,155584
2003-10-02,1.7375,1.7625,1.7375,1.7625,XBRU:OPTI,24384
2003-10-03,1.74,1.7875,1.7375,1.7375,XBRU:OPTI,158960
