Date,Close,High,Low,Open,Volume
2001-01-03,0.52,0.52,0.52,0.52,2500
2001-01-04,0.52,0.52,0.52,0.52,0
2001-01-05,0.68,0.68,0.68,0.68,5000
2001-01-08,0.66,0.66,0.66,0.66,5780
2001-01-09,0.68,0.68,0.68,0.68,12822
2001-01-10,0.68,0.68,0.68,0.68,15028
2001-01-11,0.74,0.74,0.68,0.74,18872
2001-01-12,0.87,0.87,0.87,0.87,4078
2001-01-15,0.82,0.85,0.82,0.82,301
2001-01-16,0.8,0.8,0.8,0.8,3
2001-01-17,0.81,0.81,0.8,0.81,5998
2001-01-18,0.82,0.82,0.82,0.82,501
2001-01-19,0.82,0.82,0.82,0.82,1400
2001-01-22,0.77,0.82,0.77,0.77,1201
2001-01-23,0.81,0.81,0.77,0.81,2460
2001-01-24,0.81,0.81,0.77,0.81,0
2001-01-25,0.8,0.82,0.8,0.8,2802
2001-01-26,0.8,0.82,0.8,0.8,0
2001-01-29,0.77,0.8,0.77,0.77,10010
2001-01-30,0.77,0.8,0.77,0.77,8000
2001-01-31,0.77,0.77,0.77,0.77,8076
2001-02-01,0.82,0.82,0.82,0.82,3
2001-02-02,0.82,0.82,0.82,0.82,3
2001-02-05,0.82,0.82,0.81,0.82,1892
2001-02-06,0.82,0.82,0.82,0.82,3
2001-02-07,0.85,0.85,0.82,0.85,1909
2001-02-08,0.86,0.86,0.85,0.86,1237
2001-02-09,0.87,0.87,0.87,0.87,3
2001-02-12,0.87,0.87,0.87,0.87,96
2001-02-13,0.87,0.87,0.87,0.87,3
2001-02-14,0.86,0.87,0.86,0.86,3
2001-02-15,0.86,0.86,0.82,0.75,422
2001-02-16,0.75,0.75,0.75,0.75,10000
2001-02-19,0.87,0.87,0.87,0.87,1
2001-02-20,0.87,0.87,0.87,0.87,3
2001-02-21,0.87,0.87,0.87,0.87,3
2001-02-22,0.87,0.87,0.87,0.87,3
2001-02-23,0.75,0.75,0.75,0.75,1200
2001-02-26,0.75,0.75,0.75,0.75,1321
2001-02-27,0.83,0.83,0.83,0.83,320
